# iterations;evaluations;p_advantages;m_advantages;p_dist_sup;p_dist_mean;m_dist_sup;m_dist_mean;alfa;beta;p_change;m_change;bound;average_reward;w_current[0];w_current[1];w_target[0];w_target[1];theta_current[0];theta_current[1];theta_target[0];theta_target[1]
1.000000000000000000000000000000e+01;2.039671117869403360600699670613e+02;1.493239824818740180134568618087e+00;nan;1.599051823756802992448911027168e+00;1.599051823756809653787058778107e+00;nan;nan;5.937891144512730468496206071016e-05;nan;1.000000000000000000000000000000e+00;nan;4.433347766212470151625871239709e-05;2.058590254658903440088124625618e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.005215630999180043136931317349e-01;7.994784369000820234418824838940e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.100000000000000000000000000000e+01;2.039759253208711129445873666555e+02;1.493529907957337643509276858822e+00;nan;1.598956873800164046883764967788e+00;1.598956873800172262534147193946e+00;nan;nan;5.939750035417788400935942827452e-05;nan;1.000000000000000000000000000000e+00;nan;4.435597161843560823054136155186e-05;2.058680551071685904673813638510e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.005690501206569276160252002228e-01;7.994309498793430446283991841483e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.200000000000000000000000000000e+01;2.039847433266715768240828765556e+02;1.493820019678551158648360797088e+00;nan;1.598861899758686089256798368297e+00;1.598861899758689197881267318735e+00;nan;nan;5.941609618713786651307898201146e-05;nan;1.000000000000000000000000000000e+00;nan;4.437847698774648170063142349484e-05;2.058770893128120782478163164342e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.006165491868699413124943475850e-01;7.993834508131301141986568836728e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.300000000000000000000000000000e+01;2.039935658066091832552046980709e+02;1.494110159966852702240203143447e+00;nan;1.598766901626260228397313767346e+00;1.598766901626266667690856593254e+00;nan;nan;5.943469894727959119311647140371e-05;nan;1.000000000000000000000000000000e+00;nan;4.440099377585082399784097151318e-05;2.058861280851321584606239412096e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.006640603016124624335958515076e-01;7.993359396983875653219797641214e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.400000000000000000000000000000e+01;2.040023927629495688051974866539e+02;1.494400328806608113652032443497e+00;nan;1.598671879396775130643959528243e+00;1.598671879396789341498674730246e+00;nan;nan;5.945330863787449580341176735843e-05;nan;1.000000000000000000000000000000e+00;nan;4.442352198854019240583518302046e-05;2.058951714264416033017823792761e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.007115834679407129215178429149e-01;7.992884165320592870784821570851e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.500000000000000000000000000000e+01;2.040112241979686302784102736041e+02;1.494690526182194778570533344464e+00;nan;1.598576833064118574156964314170e+00;1.598576833064120350513803714421e+00;nan;nan;5.947192526219784668682633022030e-05;nan;1.000000000000000000000000000000e+00;nan;4.444606163161131449738927567950e-05;2.059042193390542951902943968889e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.007591186889116363634144590833e-01;7.992408813110882803698586940300e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.600000000000000000000000000000e+01;2.040200601139403886463696835563e+02;1.494980752078118424464037161670e+00;nan;1.598481762622176560739717388060e+00;1.598481762622168123044730236870e+00;nan;nan;5.949054882353086652190671257401e-05;nan;1.000000000000000000000000000000e+00;nan;4.446861271087109579317267482601e-05;2.059132718252852711771083704662e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.008066659675830645248595374142e-01;7.991933340324168799639892313280e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.700000000000000000000000000000e+01;2.040289005131340616117086028680e+02;1.495271006478505526615663256962e+00;nan;1.598386668064833759927978462656e+00;1.598386668064827098589830711717e+00;nan;nan;5.950917932514281788198423628344e-05;nan;1.000000000000000000000000000000e+00;nan;4.449117523210809169208548863317e-05;2.059223288874508117629602566012e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.008542253070134675496660747740e-01;7.991457746929864214280314627104e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.800000000000000000000000000000e+01;2.040377453978284734148473944515e+02;1.495561289367903778924073776579e+00;nan;1.598291549385972842856062925421e+00;1.598291549385956855644508323167e+00;nan;nan;5.952781677032352252408597959032e-05;nan;1.000000000000000000000000000000e+00;nan;4.451374920114068670529833271488e-05;2.059313905278682632626896520378e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.009017967102621760044911525256e-01;7.990982032897376852176307693298e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
1.900000000000000000000000000000e+01;2.040465947702973608102183789015e+02;1.495851600730589758825317403534e+00;nan;1.598196406579475592479866463691e+00;1.598196406579465378428039912251e+00;nan;nan;5.954646116235280044019784195797e-05;nan;1.000000000000000000000000000000e+00;nan;4.453633462377366538298070763879e-05;2.059404567488561710320027486887e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.009493801803892698565334740124e-01;7.990506198196105636100128322141e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.000000000000000000000000000000e+01;2.040554486328177574705478036776e+02;1.496141940550802074128000640485e+00;nan;1.598101239639221349264630589460e+00;1.598101239639197368447298686078e+00;nan;nan;5.956511250451388685914905218866e-05;nan;1.000000000000000000000000000000e+00;nan;4.455893150581512586819177279551e-05;2.059495275527342794674723336357e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.009969757204556339846845958164e-01;7.990030242795441717262860947812e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.100000000000000000000000000000e+01;2.040643069876661570560827385634e+02;1.496432308812842837397738549043e+00;nan;1.598006048559088565497177114594e+00;1.598006048559068803527338786807e+00;nan;nan;5.958377080009244968839335343525e-05;nan;1.000000000000000000000000000000e+00;nan;4.458153985307879060276045612987e-05;2.059586029418236208243797591422e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.010445833335229026683776965001e-01;7.989554166664769585537442253553e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.200000000000000000000000000000e+01;2.040731698371278071135748177767e+02;1.496722705501057681942711496959e+00;nan;1.597910833332953917107488450711e+00;1.597910833332935709449884598143e+00;nan;nan;5.960243605238066204841940187720e-05;nan;1.000000000000000000000000000000e+00;nan;4.460415967138647966349143669795e-05;2.059676829184462043542680476094e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.010922030226534595875875766069e-01;7.989077969773463738789587296196e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.300000000000000000000000000000e+01;2.040820371834749948902754113078e+02;1.497013130599672114939835410041e+00;nan;1.597815593954692969802522384271e+00;1.597815593954677426680177632079e+00;nan;nan;5.962110826466766806989647231596e-05;nan;1.000000000000000000000000000000e+00;nan;4.462679096655605578925982146465e-05;2.059767674849253271673887866200e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.011398347909105210895575055474e-01;7.988601652090893123769888006791e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.400000000000000000000000000000e+01;2.040909090289969185505469795316e+02;1.497303584092908312896952338633e+00;nan;1.597720330418178846798582526390e+00;1.597720330418164413899262399354e+00;nan;nan;5.963978744024534271771578741728e-05;nan;1.000000000000000000000000000000e+00;nan;4.464943374440927807049808717643e-05;2.059858566435853965970181889134e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.011874786413580806776479903419e-01;7.988125213586417805444739315135e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.500000000000000000000000000000e+01;2.040997853759708959842100739479e+02;1.497594065965017318120544587146e+00;nan;1.597625042717283783133552788058e+00;1.597625042717270016368047436117e+00;nan;nan;5.965847358240917948151924021793e-05;nan;1.000000000000000000000000000000e+00;nan;4.467208801077336048981902827393e-05;2.059949503967521522440620174166e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.012351345770608812557611599914e-01;7.987648654229390077219363774930e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.600000000000000000000000000000e+01;2.041086662266839937274198746309e+02;1.497884576200286588232302165125e+00;nan;1.597529730845878237488477680017e+00;1.597529730845871576150329929078e+00;nan;nan;5.967716669445856142624251550188e-05;nan;1.000000000000000000000000000000e+00;nan;4.469475377148145981299337536896e-05;2.060040487467523107056877051946e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.012828026010844151283407654773e-01;7.987171973989155571160836188938e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.700000000000000000000000000000e+01;2.041175515834192140118830138817e+02;1.498175114782778871713730950432e+00;nan;1.597434394797831114232167237788e+00;1.597434394797840662150179014134e+00;nan;nan;5.969586677968672554575602084981e-05;nan;1.000000000000000000000000000000e+00;nan;4.471743103235732057568196928798e-05;2.060131516959139652556132205063e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.013304827164949795115234110199e-01;7.986695172835049927329009733512e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.800000000000000000000000000000e+01;2.041264414484641633862338494509e+02;1.498465681696816043100284332468e+00;nan;1.597339034567009985465801946702e+00;1.597339034567007098885937921295e+00;nan;nan;5.971457384140132872282422105137e-05;nan;1.000000000000000000000000000000e+00;nan;4.474011979924515162955131475364e-05;2.060222592465661861638182017487e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.013781749263597042887141697065e-01;7.986218250736403234668614459224e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
2.900000000000000000000000000000e+01;2.041353358241075000023556640372e+02;1.498756276926465513810171614750e+00;nan;1.597243650147280646933722891845e+00;1.597243650147281535112142591970e+00;nan;nan;5.973328788289949075034773740001e-05;nan;1.000000000000000000000000000000e+00;nan;4.476282007797558219405753554554e-05;2.060313714010392871500698674936e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.014258792337463854771328897186e-01;7.985741207662536700340183415392e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
3.000000000000000000000000000000e+01;2.041442347126334198037511669099e+02;1.499046900455908160054718791798e+00;nan;1.597148241532507118023431758047e+00;1.597148241532527768171689785959e+00;nan;nan;5.975200890748715411640579198149e-05;nan;1.000000000000000000000000000000e+00;nan;4.478553187439121514639914223288e-05;2.060404881616649586106859715073e+00;8.000000000000000444089209850063e-01;2.000000000000000111022302462516e-01;nan;nan;2.014735956417236795168435037340e-01;7.985264043582763759943077275238e-01;1.000000000000000000000000000000e+00;0.000000000000000000000000000000e+00
