Omega,RewardStd,ReturnsMean,RewardMean,TimestepsMean,TimestepsStd,ConfortViolation,Theta,OmegaBefore,ITERATIONS,NormDeltaOmega,Wins,ReturnsStd,NormDeltaVar,DeltaOmega,Traj
0.81085792,2.412004510775219,1168.4,2.3368,500.0,0.0,0,0.21131879,0.8,0,0.010857918412555345,0.0,54.72330399381968,0.9899997660897952,0.01085792,20
0.82115912,2.3992402047314894,1161.9,2.3238,500.0,0.0,0,0.22221441,0.81085792,1,0.010301197464761547,0.0,56.67265654616872,0.9169456724850846,0.0103012,20
0.82874357,2.4322667534627036,1178.1,2.3562,500.0,0.0,0,0.22385726,0.82115912,2,0.007584451651080237,0.0,67.19367529760521,0.13543376630365955,0.00758445,20
0.83693007,2.435531514885406,1171.6,2.3432,500.0,0.0,0,0.22859344,0.82874357,3,0.00818650091743045,0.0,49.70150903141674,0.3865334193914123,0.0081865,20
0.84462489,2.4136526262078393,1170.5,2.341,500.0,0.0,0,0.23277596,0.83693007,4,0.007694825598221766,0.0,55.526119979699644,0.33668681311099036,0.00769483,20
0.85234405,2.421901533919164,1173.2,2.3464,500.0,0.0,0,0.23653418,0.84462489,5,0.007719156867514676,0.0,59.07757611818548,0.298953495926245,0.00771916,20
0.8600691,2.3869417755781144,1158.2,2.3164,500.0,0.0,0,0.24083364,0.85234405,6,0.007725045346341108,0.0,51.98038091434113,0.3380160873454052,0.00772505,20
0.86749654,2.41984355692677,1167.3,2.3346,500.0,0.0,0,0.24708428,0.8600691,7,0.007427439365942368,0.0,59.7135662977853,0.4841532361502221,0.00742744,20
0.87375306,2.3628912459103995,1156.8,2.3136,500.0,0.0,0,0.24600155,0.86749654,8,0.006256527894367148,0.0,52.965649245525164,0.08326648236182344,0.00625653,20
0.87987081,2.45377390156469,1197.1,2.3942,500.0,0.0,0,0.24323454,0.87375306,9,0.006117743416678922,0.0,70.79399692064293,0.21392483330439305,0.00611774,20
0.88609629,2.4258975740949986,1178.2,2.3564,500.0,0.0,0,0.2413869,0.87987081,10,0.006225484787535374,0.0,59.349473460174856,0.14376635143247185,0.00622548,20
0.8919755,2.418501486458092,1179.2,2.3584,500.0,0.0,0,0.23701728,0.88609629,11,0.005879205573658619,0.0,68.51394018738084,0.3430217351283318,0.00587921,20
0.89680313,2.3964765803153596,1165.0,2.33,500.0,0.0,0,0.23281348,0.8919755,12,0.004827635355081017,0.0,46.473648447265255,0.334142223654851,0.00482764,20
0.90059886,2.451688193877843,1197.5,2.395,500.0,0.0,0,0.22675912,0.89680313,13,0.0037957288260741517,0.0,69.7276846023156,0.4887140029409025,0.00379573,20
0.90493592,2.4748808375354154,1201.1,2.4022,500.0,0.0,0,0.22429629,0.90059886,14,0.0043370620885268,0.0,65.74944866688998,0.20143442191436023,0.00433706,20
0.90949125,2.40513084051575,1162.9,2.3258,500.0,0.0,0,0.22184038,0.90493592,15,0.0045553224857645125,0.0,46.653938740475056,0.20244091896842065,0.00455532,20
0.91425055,2.5170280570545893,1216.2,2.4324,500.0,0.0,0,0.21975766,0.90949125,16,0.004759301659309378,0.0,49.73891836379235,0.17293748163087486,0.0047593,20
0.91765065,2.4680327712573025,1193.4,2.3868,500.0,0.0,0,0.2156984,0.91425055,17,0.0034000987798938898,0.0,73.93267207398904,0.34047607171990535,0.0034001,20
0.91983359,2.4533536231045048,1192.0,2.384,500.0,0.0,0,0.21064096,0.91765065,18,0.002182939073572032,0.0,55.11442642357807,0.4307671012447756,0.00218294,20
0.92218939,2.4542282778910365,1196.7,2.3934,500.0,0.0,0,0.2061424,0.91983359,19,0.0023558012267579365,0.0,65.41337783664744,0.3895810409333684,0.0023558,20
