NormDeltaVar,Omega,Theta,ITERATIONS,RewardMean,ReturnsMean,Traj,Wins,NormDeltaOmega,RewardStd,DeltaOmega,ReturnsStd,TimestepsMean,TimestepsStd,OmegaBefore,ConfortViolation
0.989999551180933,0.81085792,0.18914209,0,2.37,1185.0,20,0.0,0.010857918414848622,2.4370268771599544,0.01085792,49.07748974835612,500.0,0.0,0.8,0
0.4444426042165581,0.82121339,0.1939597,1,2.34,1170.0,20,0.0,0.01035546809708443,2.4247886505837988,0.01035547,54.125779440115224,500.0,0.0,0.81085792,0
0.7046254428767114,0.83103737,0.20178752,2,2.3578,1178.9,20,0.0,0.009823986192927348,2.4490772058063013,0.00982399,55.134290600315154,500.0,0.0,0.82121339,0
0.8088699122030967,0.84041692,0.21106152,3,2.37,1185.0,20,0.0,0.009379548959836725,2.445219826518671,0.00937955,88.84030616786505,500.0,0.0,0.83103737,0
0.39915439226630056,0.84679293,0.21575163,4,2.4124,1206.2,20,0.0,0.006376006696858338,2.489724129296256,0.00637601,60.10291174310942,500.0,0.0,0.84041692,0
0.39674379611159694,0.85338883,0.22048783,5,2.3544,1177.2,20,0.0,0.006595896888110686,2.4154504010639504,0.0065959,44.40450427603037,500.0,0.0,0.84679293,0
0.2511510858000534,0.8580246,0.2235243,6,2.3624,1181.2,20,0.0,0.004635775043058676,2.443576526323659,0.00463578,39.58484558514786,500.0,0.0,0.85338883,0
0.3962300311386677,0.86360696,0.2283751,7,2.3836,1191.8,20,0.0,0.0055823594722347325,2.456186279580602,0.00558236,55.095916364100894,500.0,0.0,0.8580246,0
0.5569958129792454,0.86973996,0.23531851,8,2.363,1181.5,20,0.0,0.006132995389276585,2.437997333878772,0.006133,64.64634560437271,500.0,0.0,0.86360696,0
0.5902679926128158,0.87602329,0.24283469,9,2.3384,1169.2,20,0.0,0.006283331487003996,2.417082009365839,0.00628333,64.7376242999386,500.0,0.0,0.86973996,0
0.44741429500259144,0.88157398,0.24863947,10,2.3478,1173.9,20,0.0,0.005550692745054597,2.4002156486449295,0.00555069,52.49942856831872,500.0,0.0,0.87602329,0
0.4947503180383723,0.88723566,0.25516561,11,2.3522,1176.1,20,0.0,0.005661678605315523,2.42758216338809,0.00566168,59.55661172363653,500.0,0.0,0.88157398,0
0.48443109945703533,0.8927445,0.26166377,12,2.355,1177.5,20,0.0,0.005508842173790662,2.3978271413928067,0.00550884,53.23861380614638,500.0,0.0,0.88723566,0
0.25770812091732864,0.89726246,0.26516389,13,2.2976,1148.8,20,0.0,0.0045179581235493815,2.354789638163035,0.00451796,42.550675670311044,500.0,0.0,0.8927445,0
0.3840293744069925,0.90217672,0.27043487,14,2.3378,1168.9,20,0.0,0.004914261711266854,2.382412886130362,0.00491426,42.28699563695676,500.0,0.0,0.89726246,0
0.21144208450344948,0.90612799,0.273365,15,2.292,1146.0,20,0.0,0.003951273970735691,2.3329672093709335,0.00395127,49.8998997994986,500.0,0.0,0.90217672,0
0.11356389454347315,0.90936629,0.2749469,16,2.3492,1174.6,20,0.0,0.0032382994560856693,2.397427654800036,0.0032383,69.98314082691631,500.0,0.0,0.90612799,0
0.07062888677869417,0.91145358,0.2739624,17,2.2696,1134.8,20,0.0,0.0020872870230875806,2.312945273887819,0.00208729,44.539420741630664,500.0,0.0,0.90936629,0
0.1254336825102058,0.9127312,0.2722194,18,2.3072,1153.6,20,0.0,0.0012776231735603938,2.3583104460609086,0.00127762,50.933682372277,500.0,0.0,0.91145358,0
0.053520575451864616,0.91467112,0.27296226,19,2.3306,1165.3,20,0.0,0.0019399178251378046,2.383758301506258,0.00193992,59.87077751290692,500.0,0.0,0.9127312,0
