Omega,TimestepsMean,ReturnsMean,NormDeltaOmega,TimestepsStd,DeltaOmega,ITERATIONS,OmegaBefore,ConfortViolation,ReturnsStd,Wins,RewardStd,NormDeltaVar,RewardMean,Theta,Traj
0.81085792,500.0,1155.2,0.010857918620458817,0.0,0.01085792,0,0.8,0,44.019995456610395,0.0,2.3882319485343126,0.9899998394437866,2.3104,0.21131879,20
0.81936088,500.0,1167.6,0.008502960350132094,0.0,0.00850296,1,0.81085792,0,40.750950909150575,0.0,2.405585367431387,0.16118490527001583,2.3352,0.21320536,20
0.82672977,500.0,1166.9,0.007368886068145342,0.0,0.00736889,2,0.81936088,0,47.97280479605086,0.0,2.397368882754592,0.47275780658937094,2.3338,0.20770673,20
0.83460044,500.0,1193.9,0.007870677546072624,0.0,0.00787068,3,0.82672977,0,48.20570505655944,0.0,2.4485937106837468,0.38632053625496354,2.3878,0.20329167,20
0.84174056,500.0,1175.7,0.007140115597620511,0.0,0.00714012,4,0.83460044,0,68.18584897176245,0.0,2.4234104150968734,0.6147596321742768,2.3514,0.19641076,20
0.84929585,500.0,1167.2,0.007555295058893963,0.0,0.0075553,5,0.84174056,0,51.066231503802975,0.0,2.3936951852731796,0.2273142244473867,2.3344,0.19391144,20
0.85691348,500.0,1195.8,0.007617622107898181,0.0,0.00761762,6,0.84929585,0,62.6,0.0,2.4532935902577986,0.042839503196013595,2.3916,0.1943806,20
0.86442359,500.0,1209.0,0.007510113449984646,0.0,0.00751011,7,0.85691348,0,42.19715630229127,0.0,2.5028935255020337,0.27637522830305983,2.418,0.19742809,20
0.87183364,500.0,1202.6,0.007410050295452497,0.0,0.00741005,8,0.86442359,0,37.470521747101415,0.0,2.4867273594023134,0.3440583363948413,2.4052,0.20127204,20
0.87793714,500.0,1183.5,0.006103504180949182,0.0,0.0061035,9,0.87183364,0,51.601841052427574,0.0,2.435099792616311,0.04564569755473258,2.367,0.20075887,20
0.88361786,500.0,1198.3,0.005680720689008378,0.0,0.00568072,10,0.87793714,0,59.12791219043676,0.0,2.4867465572510605,0.14981643880265239,2.3966,0.19908143,20
0.88837716,500.0,1206.0,0.004759297007947305,0.0,0.0047593,11,0.88361786,0,58.96100406200695,0.0,2.487379343807454,0.30639314476864143,2.412,0.19568373,20
0.8935257,500.0,1195.0,0.005148534393956017,0.0,0.00514853,12,0.88837716,0,66.39427686178982,0.0,2.459735758165905,0.2299497622777018,2.39,0.19316268,20
0.89885813,500.0,1198.9,0.005332435341371733,0.0,0.00533244,13,0.8935257,0,48.41683591479312,0.0,2.474783861269505,0.19260293649618276,2.3978,0.19107016,20
0.9030384,500.0,1206.9,0.004180267809658966,0.0,0.00418027,14,0.89885813,0,58.70425878929058,0.0,2.4818480130741287,0.1098058089060352,2.4138,0.18988495,20
0.9074884,500.0,1213.7,0.004450000308254376,0.0,0.00445,15,0.9030384,0,53.577140647854655,0.0,2.5147821456340904,0.06335861939886911,2.4274,0.19056813,20
0.91138239,500.0,1197.9,0.003893987183307801,0.0,0.00389399,16,0.9074884,0,57.839346469336945,0.0,2.483010745043203,0.03310048619215067,2.3958,0.19021098,20
0.91390766,500.0,1212.3,0.002525275476783717,0.0,0.00252528,17,0.91138239,0,56.90790806206111,0.0,2.5163693767012822,0.3119618221231377,2.4246,0.18687009,20
0.91701111,500.0,1223.2,0.0031034472494444465,0.0,0.00310345,18,0.91390766,0,49.462713229259876,0.0,2.5150600469968905,0.15422867301883159,2.4464,0.18523519,20
0.91935264,500.0,1214.8,0.002341530872549513,0.0,0.00234153,19,0.91701111,0,54.23430648583975,0.0,2.506201077327994,0.1734447890930504,2.4296,0.18340981,20
