TimestepsStd,Epsilon,DualBefore,DualReg,DualAfter,RewardStd,WeightMedian,Primal,Omega,ITERATIONS,LossReg,WeightMax,NormDeltaOmega,NormDeltaVar,ReturnsStd,RewardMean,WeightMin,TimestepsMean,Wins,OmegaBefore,ReturnsMean,ConfortViolation,DeltaOmega,Traj,Eta,WeightMean
0.0,1.9501,8.466310860335271,0.0,8.376794567649384,2.419129045255751,0.00314844144242788,8.376794733768932,[[0.98424358]],0,0.0,1.0,0.18424357699117833,39.26187072383031,57.81691123691271,2.34568,0.0007457950995557073,500.0,0.0,[[0.8]],1173.1515151515152,0,[[0.18424358]],100,1.3886845090605493,0.0007457950995557073
0.0,1.9501,8.506699524811834,0.0,8.199046354214897,2.9367250633316018,2.8811189338969842e-11,8.199046161258138,[[0.99999751]],1,0.0,1.0,0.015753933403330977,125.26797851611674,86.48684223751208,2.90468,6.675003275573415e-14,500.0,0.0,[[0.98424358]],1452.3838383838383,0,[[0.01575393]],100,0.32962155719588737,6.675003275573415e-14
0.0,1.9501,8.549185656677379,0.0,8.00231195203692,2.9823751887379966,0.0,8.000000000000286,[[0.99999999]],2,0.0,1.0,2.4829916376312156e-06,84.72450892121125,87.38377241374404,2.96656,0.0,500.0,0.0,[[0.99999751]],1483.5555555555557,0,[[2.48299164e-06]],100,0.004251739271205578,0.0
0.0,1.9501,8.576671475643803,0.0,8.001807314515379,3.008423618840937,0.0,7.999999999999745,[[0.99999999]],3,0.0,1.0,0.0,0.0,90.0853997438853,3.01036,0.0,500.0,0.0,[[0.99999999]],1505.4545454545455,0,[[0.]],100,0.003162646946585127,0.0
0.0,1.9501,8.565582322567963,0.0,8.002361217788712,2.9970056779392324,0.0,8.00000000000006,[[0.99999999]],4,0.0,1.0,0.0,0.0,93.19939228215539,2.99392,0.0,500.0,0.0,[[0.99999999]],1496.7878787878788,0,[[0.]],100,0.004214357454620146,0.0
0.0,1.9501,8.569798485204549,0.0,8.00237376956665,3.00077306706122,0.0,7.999999999999476,[[0.99999999]],5,0.0,1.0,0.0,0.0,79.78413381986921,3.001,0.0,500.0,0.0,[[0.99999999]],1501.1313131313132,0,[[0.]],100,0.004204894326402761,0.0
0.0,1.9501,8.552101791175332,0.0,8.002320751468325,2.9845234918827495,0.0,7.999999999999745,[[0.99999999]],6,0.0,1.0,0.0,0.0,81.64057540646503,2.97208,0.0,500.0,0.0,[[0.99999999]],1486.6262626262626,0,[[0.]],100,0.004245016906024089,0.0
0.0,1.9501,8.549692442649228,0.0,8.002313378815687,2.979668220725254,0.0,8.000000000000597,[[0.99999999]],7,0.0,1.0,0.0,0.0,85.42655892459307,2.97212,0.0,500.0,0.0,[[0.99999999]],1485.3333333333333,0,[[0.]],100,0.004250536057213235,0.0
0.0,1.9501,8.563266077710377,0.0,8.002354311229377,2.995204946310019,0.0,7.999999999999754,[[0.99999999]],8,0.0,1.0,0.0,0.0,79.93700202934461,2.98964,0.0,500.0,0.0,[[0.99999999]],1494.9292929292928,0,[[0.]],100,0.0042195850468900445,0.0
0.0,1.9501,8.567961247517026,0.0,8.002368358517552,3.000663425044535,0.0,8.000000000000222,[[0.99999999]],9,0.0,1.0,0.0,0.0,81.81487959416584,2.99564,0.0,500.0,0.0,[[0.99999999]],1496.888888888889,0,[[0.]],100,0.00420903075497503,0.0
