ConfortViolation,RewardStd,WeightMin,WeightMedian,RewardMean,Eta,Primal,Epsilon,WeightMax,ReturnsMean,NormDeltaOmega,DualReg,WeightMean,DeltaOmega,ITERATIONS,Traj,NormDeltaVar,LossReg,TimestepsStd,OmegaBefore,DualBefore,Wins,DualAfter,Omega,ReturnsStd,TimestepsMean
0,2.4337528998647335,0.009585149598429625,0.024281701523132835,2.34832,2.1516758037905124,6.972824657614062,1.1401,1.0,1173.3333333333333,0.1131259269717938,0.0,0.009585149598429625,[[0.11312593]],0,100,13.801711470001504,0.0,0.0,[[0.8]],7.664409550259975,0.0,6.972824651262558,[[0.91312593]],62.815426272355886,500.0
0,2.6896537769757654,0.005394243698451064,0.015330081026992114,2.6016,1.9148200438627854,7.244786305385445,1.1401,1.0,1300.6868686868686,0.04735224157287998,0.0,0.005394243698451064,[[0.04735224]],1,100,11.973769633872053,0.0,0.0,[[0.91312593]],7.540557372218224,0.0,7.244786312432301,[[0.96047817]],67.67191298734353,500.0
0,2.8514873525232405,0.0035122726876971543,0.01087603461707654,2.79472,1.769444257876613,7.474353019348789,1.1401,1.0,1397.8181818181818,0.016572983436187294,0.0,0.0035122726876971543,[[0.01657298]],2,100,8.009903263591838,0.0,0.0,[[0.96047817]],7.633991191972421,0.0,7.474350164878518,[[0.97705115]],68.108108305078,500.0
0,2.910599396962763,0.002820728240394528,0.009126179305760226,2.87252,1.7033569219338032,7.558933068024738,1.1401,1.0,1435.919191919192,0.00496948223169702,0.0,0.002820728240394528,[[0.00496948]],3,100,3.558804264697379,0.0,0.0,[[0.97705115]],7.677729114163503,0.0,7.558931810099057,[[0.98202063]],77.32858877395377,500.0
0,2.923881573251557,0.0026539300252622806,0.008691837019930529,2.88884,1.6858534464530175,7.575630827653162,1.1401,1.0,1443.111111111111,0.0011261590952184042,0.0,0.0026539300252622806,[[0.00112616]],4,100,0.9404275534473285,0.0,0.0,[[0.98202063]],7.684719652124031,0.0,7.575629479946903,[[0.98314679]],71.35696137833555,500.0
0,2.942553687122803,0.002485373409347937,0.008247328969643511,2.91272,1.6674080058839458,7.603615980001288,1.1401,1.0,1456.6464646464647,0.0012782491890748204,0.0,0.002485373409347937,[[0.00127825]],5,100,1.1453703898627126,0.0,0.0,[[0.98314679]],7.704327318883928,0.0,7.603615685535928,[[0.98442504]],85.6201752316193,500.0
0,2.9271544309106754,0.002614676848142219,0.008588838115434474,2.89376,1.6816290267009026,7.58059023271815,1.1401,1.0,1446.040404040404,0.0010187085480313218,0.0,0.002614676848142219,[[-0.00101871]],6,100,0.9198869278047184,0.0,0.0,[[0.98442504]],7.6875889735420735,0.0,7.580589910020051,[[0.98340633]],78.29340300033013,500.0
0,2.9389952762126037,0.0024989370458337896,0.00828331643332739,2.91108,1.6689225439315782,7.599630090003697,1.1401,1.0,1454.8080808080808,0.0007895406186043674,0.0,0.0024989370458337896,[[0.00078954]],7,100,0.707894157513131,0.0,0.0,[[0.98340633]],7.700991291344195,0.0,7.599629777558343,[[0.98419587]],69.91938745999816,500.0
0,2.926034244775683,0.0026330648529446186,0.008637125792961706,2.89228,1.6836131398386127,7.579378277760989,1.1401,1.0,1445.79797979798,0.0009185639934865542,0.0,0.0026330648529446186,[[-0.00091856]],8,100,0.8204169471527365,0.0,0.0,[[0.98419587]],7.687488041426144,0.0,7.579376951829454,[[0.98327731]],70.5965890093648,500.0
0,2.932495667515981,0.002563886609167601,0.008455105895779101,2.9054,1.676100046830885,7.592568705145882,1.1401,1.0,1453.6565656565656,0.00038986207501034986,0.0,0.002563886609167601,[[0.00038986]],9,100,0.34265470029123435,0.0,0.0,[[0.98327731]],7.697681629111774,0.0,7.5925674594157755,[[0.98366717]],73.8417857691634,500.0
0,2.9358181412342286,0.0025511192498299164,0.008421406047235331,2.90196,1.6746987747000128,7.592042650065781,1.1401,1.0,1450.6868686868686,0.00031638943118417195,0.0,0.0025511192498299164,[[0.00031639]],10,100,0.2840436665513906,0.0,0.0,[[0.98366717]],7.695800660095699,0.0,7.592042319090402,[[0.98398356]],84.23735662882021,500.0
0,2.900735310641079,0.0029178486072141585,0.009376703939574188,2.85476,1.713235634197915,7.5398490021162035,1.1401,1.0,1427.2121212121212,0.0025767999279712184,0.0,0.0029178486072141585,[[-0.0025768]],11,100,2.1686367281010632,0.0,0.0,[[0.98398356]],7.663071914499167,0.0,7.5398476819101585,[[0.98140676]],85.88496802039398,500.0
0,2.9278710528983347,0.002583700047618741,0.00850733774000053,2.90176,1.6782655006652933,7.5862148287429845,1.1401,1.0,1448.7070707070707,0.0019708496471119163,0.0,0.002583700047618741,[[0.00197085]],12,100,1.6293379887646537,0.0,0.0,[[0.98140676]],7.69213338411212,0.0,7.586213549075052,[[0.98337761]],68.83874474660277,500.0
0,2.935687392349532,0.0025703828162154923,0.008472239950173318,2.89812,1.6768112530553276,7.5898371259950475,1.1401,1.0,1448.6060606060605,0.0006132085000954968,0.0,0.0025703828162154923,[[0.00061321]],13,100,0.5458794846865302,0.0,0.0,[[0.98337761]],7.694437930593432,0.0,7.58983679131158,[[0.98399082]],85.94781340985774,500.0
0,2.94024542077698,0.00250010698314672,0.008286418714712406,2.91284,1.669052924215714,7.602415635463677,1.1401,1.0,1457.1313131313132,0.000214865118808083,0.0,0.00250010698314672,[[0.00021487]],14,100,0.19615124836978026,0.0,0.0,[[0.98399082]],7.704151949201168,0.0,7.602414455205465,[[0.98420569]],78.70731441689604,500.0
0,2.926366287121282,0.0026877120042310904,0.008780235910000858,2.88244,1.6894560195486739,7.574631084483126,1.1401,1.0,1440.969696969697,0.0008822564636248309,0.0,0.0026877120042310904,[[-0.00088226]],15,100,0.7893083005712143,0.0,0.0,[[0.98420569]],7.685313078329894,0.0,7.5746297280958315,[[0.98332343]],81.59934820316215,500.0
0,2.951753389157028,0.0023326776413585375,0.007839417270334074,2.93464,1.6499639526207435,7.621408414288411,1.1401,1.0,1467.4747474747476,0.0017687252801167341,0.0,0.0023326776413585375,[[0.00176873]],16,100,1.6273467602020162,0.0,0.0,[[0.98332343]],7.714473342193763,0.0,7.621408188356068,[[0.98509215]],79.33286776465674,500.0
0,2.9257490626504516,0.002657180301661777,0.008700351913470553,2.88832,1.6862013783775718,7.577196592689147,1.1401,1.0,1444.5050505050506,0.00182400878518707,0.0,0.002657180301661777,[[-0.00182401]],17,100,1.6754293362935684,0.0,0.0,[[0.98509215]],7.686490365123809,0.0,7.5771952527871305,[[0.98326815]],78.75359523457445,500.0
0,2.9264599053463893,0.002661896463402368,0.008712703349088516,2.88832,1.6867057275375095,7.578178069749844,1.1401,1.0,1445.2525252525252,1.9206879336319815e-05,0.0,0.002661896463402368,[[1.92068793e-05]],18,100,0.016687368747106746,0.0,0.0,[[0.98326815]],7.687836947041333,0.0,7.578176738258026,[[0.98328735]],80.47464541226113,500.0
0,2.9431964294623625,0.0024756937197189717,0.008221622498450352,2.91424,1.6663237840444816,7.604921874152548,1.1401,1.0,1457.7575757575758,0.0011675013370344711,0.0,0.0024756937197189717,[[0.0011675]],19,100,1.0514851712990918,0.0,0.0,[[0.98328735]],7.70516690228186,0.0,7.604921582194245,[[0.98445485]],89.57284614122865,500.0
