DeltaOmega,OmegaBefore,NormDeltaVar,ITERATIONS,TimestepsStd,Epsilon,WeightMax,DualAfter,Omega,ReturnsMean,DualReg,Traj,WeightMedian,Primal,WeightMean,Wins,WeightMin,ConfortViolation,LossReg,DualBefore,RewardStd,NormDeltaOmega,ReturnsStd,RewardMean,Eta,TimestepsMean
[[0.]],[[2.81598989e-09]],0.0,10,0.0,0.7001,1.0,10.002086217549376,[[2.81598989e-09]],4990.0,0.0,100,1.0,9.999999999997792,0.0,0.0,0.0,0,0.0,10.698098088311145,0.4467661580737735,0.0,0.0,9.98,0.0029884307895974506,500.0
[[0.]],[[2.81598989e-09]],0.0,11,0.0,0.7001,1.0,10.002086217549376,[[2.81598989e-09]],4990.0,0.0,100,1.0,9.999999999997792,0.0,0.0,0.0,0,0.0,10.698098088311145,0.4467661580737735,0.0,0.0,9.98,0.0029884307895974506,500.0
[[0.]],[[2.81598989e-09]],0.0,12,0.0,0.7001,1.0,10.002086217549376,[[2.81598989e-09]],4990.0,0.0,100,1.0,9.999999999997792,0.0,0.0,0.0,0,0.0,10.698098088311145,0.4467661580737735,0.0,0.0,9.98,0.0029884307895974506,500.0
[[0.]],[[2.81598989e-09]],0.0,13,0.0,0.7001,1.0,10.002086217549376,[[2.81598989e-09]],4990.0,0.0,100,1.0,9.999999999997792,0.0,0.0,0.0,0,0.0,10.698098088311145,0.4467661580737735,0.0,0.0,9.98,0.0029884307895974506,500.0
[[0.]],[[2.81598989e-09]],0.0,14,0.0,0.7001,1.0,10.002086217549376,[[2.81598989e-09]],4990.0,0.0,100,1.0,9.999999999997792,0.0,0.0,0.0,0,0.0,10.698098088311145,0.4467661580737735,0.0,0.0,9.98,0.0029884307895974506,500.0
[[0.]],[[2.81598989e-09]],0.0,15,0.0,0.7001,1.0,10.002086217549376,[[2.81598989e-09]],4990.0,0.0,100,1.0,9.999999999997792,0.0,0.0,0.0,0,0.0,10.698098088311145,0.4467661580737735,0.0,0.0,9.98,0.0029884307895974506,500.0
[[0.]],[[2.81598989e-09]],0.0,16,0.0,0.7001,1.0,10.002086217549376,[[2.81598989e-09]],4990.0,0.0,100,1.0,9.999999999997792,0.0,0.0,0.0,0,0.0,10.698098088311145,0.4467661580737735,0.0,0.0,9.98,0.0029884307895974506,500.0
[[0.]],[[2.81598989e-09]],0.0,17,0.0,0.7001,1.0,10.002086217549376,[[2.81598989e-09]],4990.0,0.0,100,1.0,9.999999999997792,0.0,0.0,0.0,0,0.0,10.698098088311145,0.4467661580737735,0.0,0.0,9.98,0.0029884307895974506,500.0
[[0.]],[[2.81598989e-09]],0.0,18,0.0,0.7001,1.0,10.002086217549376,[[2.81598989e-09]],4990.0,0.0,100,1.0,9.999999999997792,0.0,0.0,0.0,0,0.0,10.698098088311145,0.4467661580737735,0.0,0.0,9.98,0.0029884307895974506,500.0
[[0.]],[[2.81598989e-09]],0.0,19,0.0,0.7001,1.0,10.002086217549376,[[2.81598989e-09]],4990.0,0.0,100,1.0,9.999999999997792,0.0,0.0,0.0,0,0.0,10.698098088311145,0.4467661580737735,0.0,0.0,9.98,0.0029884307895974506,500.0
