ReturnsMean,RewardStd,DualReg,ConfortViolation,OmegaBefore,DualAfter,RewardMean,ReturnsStd,LossReg,NormDeltaOmega,Wins,ITERATIONS,Traj,Omega,DeltaOmega,Eta,TimestepsStd,TimestepsMean,NormDeltaVar,WeightMedian,DualBefore,WeightMax,Primal,WeightMean,Epsilon,WeightMin
147.58883551800096,1.3745783942805292,0.0001,0,8.0,6.5108352975805355,6.41861446944219,83.83760907923444,0.0,0.0342271002110035,0.0,0,2173,7.9657728997889965,-0.0342271002110035,13.722729323267204,12.444516722264694,22.994935543278086,0.19604649146909814,0.9746866013756414,6.676212647630498,1.0,6.529665214463432,0.596970951698532,0.001,0.596970951698532
146.41438080020353,1.3881984133740677,0.0001,0,7.9657728997889965,6.534230043847827,6.440852112269597,80.54439108796794,0.0,0.034106982658162366,0.0,1,2200,7.931665917130834,-0.034106982658162366,13.828439978928923,11.904830224984714,22.732150977717144,0.12071503198503972,0.9725149650613889,6.702692361554865,1.0,6.553351213523976,0.5967181641771866,0.001,0.5967181641771866
149.4273388302596,1.38258538552048,0.0001,0,7.931665917130834,6.56303351759902,6.470187220558409,86.12172164431038,0.0,0.03243014750098627,0.0,2,2165,7.899235769629848,-0.03243014750098627,13.774355845555153,12.704359054559056,23.0956561922366,0.13796298683712843,0.9709367937143853,6.728996676468486,1.0,6.582005413650047,0.5935043427018001,0.001,0.5935043427018001
153.3683499906824,1.375005951564366,0.0001,0,7.899235769629848,6.595184060636992,6.503044568232616,85.85080174345502,0.0,0.033364169226056895,0.0,3,2121,7.865871600403791,-0.033364169226056895,13.703167671850201,12.595167063483778,23.583962264150944,0.13247631671204455,0.9726409850497185,6.7580290863560695,1.0,6.613959989404636,0.5918173900924655,0.001,0.5918173900924655
151.0481492238967,1.3917572038908408,0.0001,0,7.865871600403791,6.61460229257169,6.521026123377406,85.1016601481092,0.0,0.03281392827811036,0.0,4,2159,7.833057672125681,-0.03281392827811036,13.835771072888054,12.438664790749257,23.163113994439296,0.03143723852607584,0.9742162468219099,6.781532759965916,1.0,6.6337437745337855,0.5945284696913865,0.001,0.5945284696913865
156.30811374049213,1.3778970473607435,0.0001,0,7.833057672125681,6.647470131442133,6.555151231706502,88.78406201897243,0.0,0.032640465323702905,0.0,5,2097,7.800417206801978,-0.032640465323702905,13.712820945807824,12.935909175538225,23.845419847328245,0.10976473817834924,0.9726172766273504,6.809542753808705,1.0,6.666272530923542,0.5897643571963168,0.001,0.5897643571963168
160.60731830010482,1.3681822029197006,0.0001,0,7.800417206801978,6.6774984137018025,6.5860683875282815,95.0066355245763,0.0,0.03151800499869051,0.0,6,2050,7.768899201803287,-0.03151800499869051,13.624381467794102,13.797847991229279,24.386530014641288,0.12931067134803698,0.9738283361298093,6.8359766125599775,1.0,6.6960590314268025,0.5874647525328199,0.001,0.5874647525328199
163.03014764206466,1.3663606612368577,0.0001,0,7.768899201803287,6.704086833642744,6.612852184889942,96.99402689870665,0.0,0.03154859554550704,0.0,7,2029,7.73735060625778,-0.03154859554550704,13.60210023868662,14.029718162371877,24.65335305719921,0.08475589603456467,0.9714852653526725,6.861290370879808,1.0,6.7225867900663925,0.584490834031113,0.001,0.584490834031113
166.72151315103994,1.3588842723064054,0.0001,0,7.73735060625778,6.72974704662778,6.639196721078579,97.74593135272728,0.0,0.030602737568655947,0.0,8,1992,7.706747868689124,-0.030602737568655947,13.533462014156473,14.12093932706055,25.1115017579106,0.09370385559190848,0.9725324449619042,6.884267228474762,1.0,6.748060741994471,0.5826517512384675,0.001,0.5826517512384675
171.06906160641125,1.3499725194076555,0.0001,0,7.706747868689124,6.758453674763249,6.668716367813612,104.26928524408605,0.0,0.030383457506101053,0.0,9,1950,7.676364411183023,-0.030383457506101053,13.451654917728106,14.99618805101053,25.652129297075422,0.18994024571859705,0.9731126120225372,6.909748252264408,1.0,6.776546609192112,0.5801273075478361,0.001,0.5801273075478361
172.83657247508168,1.3503293745767562,0.0001,0,7.676364411183023,6.783086908439881,6.6933521176092095,105.02745147846728,0.0,0.03077990456957469,0.0,10,1937,7.6455845066134485,-0.03077990456957469,13.448007039864423,15.055742159572574,25.821797520661157,0.04840155263291366,0.9723815395565681,6.933814225211099,1.0,6.801170035949717,0.5785743477197831,0.001,0.5785743477197831
174.4299207915155,1.3503290783981214,0.0001,0,7.6455845066134485,6.80603715952911,6.716334618846933,109.55399598366623,0.0,0.029040464773053998,0.0,11,1925,7.6165440418403945,-0.029040464773053998,13.441616961106577,15.6688613526545,25.97141372141372,0.1479184966010824,0.972022474316423,6.9560875232466595,1.0,6.824103111479888,0.5772546911070655,0.001,0.5772546911070655
176.41250486628977,1.3504291009133276,0.0001,0,7.6165440418403945,6.831971156676977,6.742295921527575,107.77894044645045,0.0,0.030367338631058338,0.0,12,1911,7.586176703209336,-0.030367338631058338,13.435319603489845,15.344110853710518,26.16544502617801,0.009299142499742143,0.9746851853066659,6.981306741558097,1.0,6.850020190699591,0.5776030002998247,0.001,0.5776030002998247
175.03710558434017,1.361153673954414,0.0001,0,7.586176703209336,6.850506832448083,6.759927433870004,101.71986324123439,0.0,0.029687254165025934,0.0,13,1931,7.55648944904431,-0.029687254165025934,13.519154920804022,14.436877530956433,25.89378238341969,0.12026945803664368,0.9711731080431442,7.002141402406164,1.0,6.868781860107184,0.5765017334685951,0.001,0.5765017334685951
