OmegaBefore,Primal,Eta,WeightMedian,TimestepsMean,NormDeltaVar,WeightMin,Epsilon,WeightMean,Traj,DualBefore,RewardMean,ConfortViolation,ReturnsStd,Omega,Wins,RewardStd,ReturnsMean,DualReg,DualAfter,NormDeltaOmega,WeightMax,DeltaOmega,TimestepsStd,ITERATIONS,LossReg
[[0.8]],8.059366198633018,1.5635244067745346,0.005996103584983533,500.0,31.747887932169935,0.0016685391781086712,1.7301,0.0016685391781086712,100,8.241926777345087,2.35296,0,56.99346878489036,[[0.97362595]],0.0,2.437092373793,1175.1313131313132,0.0,8.059366185926075,0.17362594726745517,1.0,[[0.17362595]],0.0,0,0.0
[[0.97362595]],8.156739658960413,0.5045123391770708,1.2984860936893412e-07,500.0,125.46223279781978,2.4648848106138623e-09,1.7301,2.4648848106138623e-09,100,8.247000761113307,2.84356,0,82.52246573685669,[[0.99999584]],0.0,2.8858840112520117,1420.888888888889,0.0,8.156729321036103,0.02636989693819225,1.0,[[0.0263699]],0.0,1,0.0
[[0.99999584]],7.999999999999955,0.00475836136557975,0.0,500.0,84.72460452479743,0.0,1.7301,0.0,100,8.362162280689933,3.01668,0,86.89093443091122,[[0.99999999]],0.0,3.0153543369892697,1507.8383838383838,0.0,8.0016987265979,4.144754179646881e-06,1.0,[[4.14475418e-06]],0.0,2,0.0
[[0.99999999]],7.9999999999997895,0.004802947133125288,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.349025219608675,3.00456,0,74.05305609375493,[[0.99999999]],0.0,2.996794822205885,1501.2323232323233,0.0,8.001650896056471,0.0,1.0,[[0.]],0.0,3,0.0
[[0.99999999]],7.999999999999862,0.004769117369552447,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.358957419382826,3.01476,0,79.45229304889493,[[0.99999999]],0.0,3.0101066662827747,1507.858585858586,0.0,8.001687103739838,0.0,1.0,[[0.]],0.0,4,0.0
[[0.99999999]],8.000000000000496,0.004798670308096912,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.350187364293731,2.9998,0,80.94347243618566,[[0.99999999]],0.0,3.002372388628699,1499.8181818181818,0.0,8.001655181414314,0.0,1.0,[[0.]],0.0,5,0.0
[[0.99999999]],7.999999999999551,0.004822267184113312,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.343336999068148,2.98768,0,93.516467321209,[[0.99999999]],0.0,2.996666183878345,1493.939393939394,0.0,8.001630066086962,0.0,1.0,[[0.]],0.0,6,0.0
[[0.99999999]],8.000000000000142,0.004791215952386045,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.352421115987005,3.00692,0,85.05176706758205,[[0.99999999]],0.0,3.002097952032878,1502.9292929292928,0.0,8.001663318562096,0.0,1.0,[[0.]],0.0,7,0.0
[[0.99999999]],7.999999999999865,0.004771727824630443,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.358168727298207,3.013,0,75.1471053338526,[[0.99999999]],0.0,3.0096895188706765,1507.6767676767677,0.0,8.001684246119853,0.0,1.0,[[0.]],0.0,8,0.0
[[0.99999999]],7.999999999999809,0.004763921428922456,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.36053327713358,3.01836,0,87.49580542950841,[[0.99999999]],0.0,3.010884074553519,1509.171717171717,0.0,8.001692806479683,0.0,1.0,[[0.]],0.0,9,0.0
