OmegaBefore,Primal,Eta,WeightMedian,TimestepsMean,NormDeltaVar,WeightMin,Epsilon,WeightMean,Traj,DualBefore,RewardMean,ConfortViolation,ReturnsStd,Omega,Wins,RewardStd,ReturnsMean,DualReg,DualAfter,NormDeltaOmega,WeightMax,DeltaOmega,TimestepsStd,ITERATIONS,LossReg
[[0.99999999]],7.9999999999997895,0.004804625512710572,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.348436593085294,2.99604,0,66.99025843380558,[[0.99999999]],0.0,3.0013570794558917,1499.111111111111,0.0,8.001648781399242,0.0,1.0,[[0.]],0.0,10,0.0
[[0.99999999]],7.999999999999754,0.004822683198116776,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.343275170121336,2.99176,0,72.25059836701277,[[0.99999999]],0.0,2.9937956013061413,1497.050505050505,0.0,8.001629818646318,0.0,1.0,[[0.]],0.0,11,0.0
[[0.99999999]],7.999999999999551,0.004822315510794748,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.343343346158877,2.98916,0,74.73159536488595,[[0.99999999]],0.0,2.995683977725287,1494.5656565656566,0.0,8.00163008242278,0.0,1.0,[[0.]],0.0,12,0.0
[[0.99999999]],8.000000000000222,0.004738815605632202,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.368205564993518,3.03272,0,78.17176350661217,[[0.99999999]],0.0,3.016840963922361,1516.7272727272727,0.0,8.001720470108953,0.0,1.0,[[0.]],0.0,13,0.0
[[0.99999999]],8.000000000000517,0.0048536302242799595,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.334530442838657,2.97784,0,79.33799144188134,[[0.99999999]],0.0,2.985536624193379,1488.2626262626263,0.0,8.001597517065852,0.0,1.0,[[0.]],0.0,14,0.0
[[0.99999999]],7.999999999999693,0.004775997813788635,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.356917607767066,3.01304,0,78.13660896301266,[[0.99999999]],0.0,3.007109901283955,1505.939393939394,0.0,8.001679691877996,0.0,1.0,[[0.]],0.0,15,0.0
[[0.99999999]],8.00000000000057,0.004824264813364588,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.3427836331783,2.98816,0,73.69368568795065,[[0.99999999]],0.0,2.995226170825836,1494.6262626262626,0.0,8.001628023338435,0.0,1.0,[[0.]],0.0,16,0.0
[[0.99999999]],8.00000000000037,0.004779977675426986,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.355736493317057,3.01148,0,77.74108540247651,[[0.99999999]],0.0,3.0057591735865996,1505.979797979798,0.0,8.001675397281533,0.0,1.0,[[0.]],0.0,17,0.0
[[0.99999999]],8.00000000000037,0.004785777990429448,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.35399100604092,3.00668,0,82.96626594937912,[[0.99999999]],0.0,3.0054542714205454,1502.4848484848485,0.0,8.001669056243411,0.0,1.0,[[0.]],0.0,18,0.0
[[0.99999999]],7.999999999999648,0.004750493403880038,0.0,500.0,0.0,0.0,1.7301,0.0,100,8.364608679161478,3.02528,0,64.56608639444289,[[0.99999999]],0.0,3.0145249910392184,1511.7373737373737,0.0,8.001707530363824,0.0,1.0,[[0.]],0.0,19,0.0
