ReturnsStd,NormDeltaVar,WeightMin,Primal,Eta,RewardStd,ReturnsMean,Wins,LossReg,DualBefore,DualReg,WeightMedian,Epsilon,DeltaOmega,DualAfter,TimestepsMean,ConfortViolation,Traj,WeightMax,WeightMean,OmegaBefore,RewardMean,ITERATIONS,Omega,TimestepsStd,NormDeltaOmega
59.39446162073718,27.436838296142465,0.00250671311021607,7.849221317026385,1.6697883633273043,2.4287666809308797,1175.2929292929293,0.0,0.0,8.105515188704533,0.0,0.008303930504778095,1.6101,[[0.16466385]],7.84921883755204,500.0,0,100,1.0,0.00250671311021607,[[0.8]],2.34936,0,[[0.96466385]],0.0,0.16466384530995715
64.90447879944597,88.26388175610441,2.9933290274290487e-07,8.086827375807417,0.6657031946189835,2.8644697600777707,1404.5454545454545,0.0,0.0,8.107982125425911,0.0,6.0384234599724355e-06,1.6101,[[0.0352602]],8.086827714216282,500.0,0,100,1.0,2.9933290274290487e-07,[[0.96466385]],2.81044,1,[[0.99992405]],0.0,0.03526020358039372
83.79694728721118,134.24019358255057,0.0,8.000000000000417,0.00528901925176084,3.002158529858142,1498.969696969697,0.0,0.0,8.229470223694232,0.0,0.0,1.6101,[[7.59448061e-05]],8.001185827517382,500.0,0,100,1.0,0.0,[[0.99992405]],2.99796,2,[[0.99999999]],0.0,7.594480613337673e-05
67.19422726041861,0.0,0.0,7.999999999999671,0.005221794911969977,3.0125862643250563,1512.080808080808,0.0,0.0,8.24257381149715,0.0,0.0,1.6101,[[0.]],8.00123961710205,500.0,0,100,1.0,0.0,[[0.99999999]],3.022,3,[[0.99999999]],0.0,0.0
82.657132856641,0.0,0.0,7.999999999999806,0.00527508929144836,3.0049820815439148,1501.979797979798,0.0,0.0,8.232084191668434,0.0,0.0,1.6101,[[0.]],8.001196606674624,500.0,0,100,1.0,0.0,[[0.99999999]],3.00164,4,[[0.99999999]],0.0,0.0
82.74775094650875,0.0,0.0,7.999999999999765,0.005272134371829538,3.003378843635947,1501.959595959596,0.0,0.0,8.23273141661026,0.0,0.0,1.6101,[[0.]],8.001199299244501,500.0,0,100,1.0,0.0,[[0.99999999]],3.00596,5,[[0.99999999]],0.0,0.0
88.36716033118553,0.0,0.0,7.999999999999551,0.005322756823532005,2.9940091478818163,1496.949494949495,0.0,0.0,8.22335415327473,0.0,0.0,1.6101,[[0.]],8.001160515273506,500.0,0,100,1.0,0.0,[[0.99999999]],2.99168,6,[[0.99999999]],0.0,0.0
78.73753377245772,0.0,0.0,7.999999999999825,0.005339718265380232,2.991104790140258,1491.6565656565656,0.0,0.0,8.220314675478363,0.0,0.0,1.6101,[[0.]],8.001147861562178,500.0,0,100,1.0,0.0,[[0.99999999]],2.98688,7,[[0.99999999]],0.0,0.0
75.90318128572036,0.0,0.0,7.999999999999955,0.005223660358907624,3.012809414748965,1510.0,0.0,0.0,8.242178273278974,0.0,0.0,1.6101,[[0.]],8.001237998273108,500.0,0,100,1.0,0.0,[[0.99999999]],3.02048,8,[[0.99999999]],0.0,0.0
86.39483162750953,0.0,0.0,8.000000000000318,0.005441879229575148,2.976504773320547,1479.3535353535353,0.0,0.0,8.203009940617095,0.0,0.0,1.6101,[[0.]],8.001075009478702,500.0,0,100,1.0,0.0,[[0.99999999]],2.95688,9,[[0.99999999]],0.0,0.0
92.70622766840023,0.0,0.0,7.999999999999499,0.005288613262263158,3.0021320594537477,1499.858585858586,0.0,0.0,8.229550253404568,0.0,0.0,1.6101,[[0.]],8.001186159395262,500.0,0,100,1.0,0.0,[[0.99999999]],2.99824,10,[[0.99999999]],0.0,0.0
81.81242528695465,0.0,0.0,7.999999999999751,0.005342021088176909,2.9904883280160113,1492.5858585858587,0.0,0.0,8.219915568490663,0.0,0.0,1.6101,[[0.]],8.00114620037798,500.0,0,100,1.0,0.0,[[0.99999999]],2.9866,11,[[0.99999999]],0.0,0.0
77.43528949238528,0.0,0.0,8.000000000000622,0.005265562585497431,3.0066823643344835,1502.909090909091,0.0,0.0,8.233903692658634,0.0,0.0,1.6101,[[0.]],8.001204096049054,500.0,0,100,1.0,0.0,[[0.99999999]],3.0046,12,[[0.99999999]],0.0,0.0
83.77168577276268,0.0,0.0,8.000000000000602,0.005174296191980278,3.022085082587848,1517.959595959596,0.0,0.0,8.252317777406248,0.0,0.0,1.6101,[[0.]],8.0012791357781,500.0,0,100,1.0,0.0,[[0.99999999]],3.03744,13,[[0.99999999]],0.0,0.0
83.99225019030878,0.0,0.0,7.999999999999798,0.005335975387352608,2.9924679952173254,1492.2222222222222,0.0,0.0,8.220950473792437,0.0,0.0,1.6101,[[0.]],8.001150501199525,500.0,0,100,1.0,0.0,[[0.99999999]],2.98676,14,[[0.99999999]],0.0,0.0
79.49491612438815,0.0,0.0,8.000000000000616,0.005314701901200237,2.9961488881562612,1495.8181818181818,0.0,0.0,8.224785747270442,0.0,0.0,1.6101,[[0.]],8.001166451006403,500.0,0,100,1.0,0.0,[[0.99999999]],2.9928,15,[[0.99999999]],0.0,0.0
81.50983172657818,0.0,0.0,7.99999999999942,0.005423926951953943,2.980541081347479,1479.8383838383838,0.0,0.0,8.2058499523203,0.0,0.0,1.6101,[[0.]],8.001087031869325,500.0,0,100,1.0,0.0,[[0.99999999]],2.95932,16,[[0.99999999]],0.0,0.0
82.47992771375196,0.0,0.0,7.999999999999911,0.005295594140455522,2.997598693354399,1501.030303030303,0.0,0.0,8.228380711120431,0.0,0.0,1.6101,[[0.]],8.001181369628796,500.0,0,100,1.0,0.0,[[0.99999999]],3.00144,17,[[0.99999999]],0.0,0.0
67.87287732804675,0.0,0.0,7.99999999999979,0.005292030085883145,2.999066297099815,1499.858585858586,0.0,0.0,8.229010721008544,0.0,0.0,1.6101,[[0.]],8.001183962795002,500.0,0,100,1.0,0.0,[[0.99999999]],3.00116,18,[[0.99999999]],0.0,0.0
85.6670805438664,0.0,0.0,8.000000000000062,0.005376968085884678,2.987632738875379,1486.141414141414,0.0,0.0,8.213705612863945,0.0,0.0,1.6101,[[0.]],8.00112016468402,500.0,0,100,1.0,0.0,[[0.99999999]],2.97224,19,[[0.99999999]],0.0,0.0
