Primal,NormDeltaVar,NormDeltaOmega,WeightMax,Eta,WeightMean,Wins,RewardStd,ConfortViolation,Omega,TimestepsStd,ReturnsStd,TimestepsMean,ITERATIONS,DualAfter,RewardMean,WeightMedian,DualReg,Traj,WeightMin,ReturnsMean,OmegaBefore,LossReg,DualBefore,DeltaOmega,Epsilon
2.4419736722478276,20.023011086597528,0.30382902888013125,1.0,78.83207610652788,0.8808641036616096,0.0,2.450316216328007,0,[[0.49617097]],0.0,70.5842652731834,500.0,0,2.4419736710757176,2.3638,0.903497863313759,0.0,20,0.8808641036616096,1182.421052631579,[[0.8]],0.0,6.532941287688196,[[-0.30382903]],0.0005001
2.6635738293907814,0.3468081107935884,0.006067923950928811,1.0,93.38569182365005,0.8984512912329283,0.0,2.900613555784362,0,[[0.49010305]],0.0,79.23736212663003,500.0,1,2.663573754534303,2.571,0.917900549281843,0.0,20,0.8984512912329283,1283.578947368421,[[0.49617097]],0.0,7.731680555782089,[[-0.00606792]],0.0005001
2.6699969977860345,0.08133989729589053,0.0014228064737127344,1.0,93.40236650315346,0.8984684670720358,0.0,2.9015529014650068,0,[[0.48868024]],0.0,96.1169647571511,500.0,2,2.6699969216640165,2.5774,0.9179145873779896,0.0,20,0.8984684670720358,1289.0526315789473,[[0.49010305]],0.0,7.7203293552920975,[[-0.00142281]],0.0005001
2.7047985331880793,0.19646042396233143,0.0034357062513094005,1.0,94.99794532637506,0.9000855770287688,0.0,2.952349511829519,0,[[0.48524453]],0.0,65.9671705473844,500.0,3,2.704798276075392,2.6106,0.919236037735664,0.0,20,0.9000855770287688,1304.7368421052631,[[0.48868024]],0.0,7.773166166738502,[[-0.00343571]],0.0005001
2.71213485068504,0.022218054984008972,0.0003884683269979594,1.0,95.33761087034483,0.9004232048765733,0.0,2.9628652078688966,0,[[0.48485607]],0.0,67.11135163298039,500.0,4,2.712134507910683,2.6176,0.9195118764362693,0.0,20,0.9004232048765733,1312.5263157894738,[[0.48524453]],0.0,7.795253509150666,[[-0.00038847]],0.0005001
2.692349443751251,0.06162390623249625,0.0010774978532717139,1.0,94.34804141555784,0.8994331553156052,0.0,2.9318660542391766,0,[[0.48593356]],0.0,64.92185799427926,500.0,5,2.6923492701747547,2.5988,0.9187029568380256,0.0,20,0.8994331553156052,1306.3157894736842,[[0.48485607]],0.0,7.744930266238018,[[0.0010775]],0.0005001
2.6980802355780105,0.06021784856513779,0.0010530393785759817,1.0,94.88847655874619,0.8999762770757809,0.0,2.948352760440989,0,[[0.4869866]],0.0,88.38269844851735,500.0,6,2.6980802354237596,2.604,0.9191467362928694,0.0,20,0.8999762770757809,1302.842105263158,[[0.48593356]],0.0,7.78557564023712,[[0.00105304]],0.0005001
2.7127012616767168,0.170341590827651,0.0029784605313351586,1.0,95.09915300387074,0.9001864165388157,0.0,2.9556693725787397,0,[[0.48400814]],0.0,102.16460565283579,500.0,7,2.7127012614828523,2.6184,0.9193184248113637,0.0,20,0.9001864165388157,1309.157894736842,[[0.4869866]],0.0,7.775771947438805,[[-0.00297846]],0.0005001
2.6676061959928687,0.40399674427950183,0.0070654415262793036,1.0,94.21885654804127,0.8993024545107502,0.0,2.9268915866495635,0,[[0.49107358]],0.0,84.74122250855109,500.0,8,2.6676060392037817,2.5742,0.918596154494668,0.0,20,0.8993024545107502,1289.3684210526317,[[0.48400814]],0.0,7.760402021219937,[[0.00706544]],0.0005001
2.7223124802152974,0.4822813890195754,0.008433843054058643,1.0,95.30838622121925,0.9003942452058308,0.0,2.9624090129487515,0,[[0.48263974]],0.0,71.39775829251697,500.0,9,2.722312479970542,2.6278,0.919488217475295,0.0,20,0.9003942452058308,1315.7894736842106,[[0.49107358]],0.0,7.782599439014405,[[-0.00843384]],0.0005001
