Traj,OmegaBefore,Omega,ConfortViolation,ReturnsStd,TimestepsMean,TimestepsStd,NormDeltaOmega,Wins,ITERATIONS,DeltaOmega,ReturnsMean,RewardMean,RewardStd,NormDeltaVar
250,8.0,7.899999998510826,0,82.59392861378595,22.22,12.225367070153762,0.10000000148917376,0.0,0,-0.10000000148917376,142.35141956256084,6.406454525767815,1.3974359792198938,0.3162277677536236
250,7.899999998510826,7.800225599419545,0,96.934474495062,26.752,14.233569334499341,0.09977439909128094,0.0,1,-0.09977439909128094,174.6946624929452,6.530153352756624,1.294029353976088,0.28405345952311606
250,7.800225599419545,7.701185035056168,0,125.36672189948953,30.248,18.16971370165199,0.09904056436337694,0.0,2,-0.09904056436337694,200.74341631985953,6.636584776509505,1.2345496169979016,0.291049144616589
250,7.701185035056168,7.603111145379564,0,130.40224848972989,34.736,18.687811642886388,0.09807388967660469,0.0,3,-0.09807388967660469,234.04421120463255,6.737799723763027,1.1681053776636312,0.270067842433778
250,7.603111145379564,7.505108678829421,0,143.12771632196274,41.04,20.24742946647796,0.09800246655014266,0.0,4,-0.09800246655014266,280.93530703445197,6.845402218188401,1.0899159462819143,0.26490766074538924
250,7.505108678829421,7.406455672901869,0,137.578098911498,41.856,19.2238202238785,0.09865300592755233,0.0,5,-0.09865300592755233,289.73862323305593,6.922272152930426,1.0911753024329558,0.26308790777441693
250,7.406455672901869,7.307520262829893,0,142.87329674353387,49.196,19.76232739330062,0.09893541007197548,0.0,6,-0.09893541007197548,345.6003363211333,7.024968215325093,1.0203502211386777,0.24144573634036917
250,7.307520262829893,7.20780444628989,0,160.97170278392838,51.68,22.020027247939545,0.09971581654000339,0.0,7,-0.09971581654000339,367.20346939366556,7.105330290125107,1.006305841043795,0.22894858218444725
250,7.20780444628989,7.106993900333029,0,158.80421345938765,52.192,21.515090889884707,0.10081054595686112,0.0,8,-0.10081054595686112,374.4156945710309,7.173813890462732,1.0109058681333547,0.204133701786883
250,7.106993900333029,7.00508954271439,0,135.3084651193115,53.18,18.14859774197445,0.10190435761863892,0.0,9,-0.10190435761863892,385.3753403560545,7.2466216689743215,1.0114006523052066,0.20397461433513348
250,7.00508954271439,6.902125364185578,0,167.47670405716644,54.532,22.243582804935002,0.10296417852881135,0.0,10,-0.10296417852881135,399.26399739307914,7.321645958209476,1.0088252868744971,0.21167690579920628
250,6.902125364185578,6.7981214110460355,0,179.51612434097265,59.84,23.615215434122128,0.10400395313954292,0.0,11,-0.10400395313954292,443.21920550990245,7.406738059991687,0.9738260673380329,0.21891008236075168
250,6.7981214110460355,6.693095424470146,0,201.85293418435398,64.412,26.298636010257262,0.1050259865758898,0.0,12,-0.1050259865758898,482.3178643172551,7.488012549171818,0.948702145641641,0.23000563428640658
250,6.693095424470146,6.587248402229822,0,214.46912326121372,68.452,27.672218848513033,0.10584702224032405,0.0,13,-0.10584702224032405,517.8177893750488,7.564684587375807,0.9297114478645475,0.24376585999920403
250,6.587248402229822,6.48045501592574,0,205.32548767443876,68.128,26.290827602036416,0.10679338630408175,0.0,14,-0.10679338630408175,519.6197055595175,7.627109346517108,0.9396753806923767,0.2578982809979975
250,6.48045501592574,6.3726046322588985,0,225.7817542112038,77.048,28.606672228695178,0.10785038366684141,0.0,15,-0.10785038366684141,594.2135510465589,7.712251467222496,0.8930998487815651,0.26188029723866496
250,6.3726046322588985,6.263838940683035,0,252.2621869970011,80.932,31.669028655770294,0.10876569157586324,0.4,16,-0.10876569157586324,629.9519399993234,7.783718924520872,0.8779927545033989,0.2714524526523706
250,6.263838940683035,6.154299864374489,0,321.79979940415876,98.9,40.05129211398803,0.10953907630854598,2.0,17,-0.10953907630854598,778.7270606646002,7.873883323201214,0.797307017753594,0.2639873723304768
250,6.154299864374489,6.044038772044895,0,369.03280390312386,115.32,45.43498211730693,0.11026109232959413,7.199999999999999,18,-0.11026109232959413,917.7294419346931,7.95811170598936,0.7270713944485511,0.2602932210960519
250,6.044038772044895,5.9329259916289185,0,394.0112330044556,134.06,47.8936363204967,0.11111278041597661,18.0,19,-0.11111278041597661,1078.2236176265421,8.042843634391634,0.6418620058362016,0.27027679849103314
250,5.9329259916289185,5.820429266796462,0,350.81425246296135,160.8,42.207677026815865,0.11249672483245643,32.0,20,-0.11249672483245643,1309.8955910052744,8.146116859485536,0.5400635594493325,0.28447659879122383
250,5.820429266796462,5.706604136271854,0,308.7741327597741,169.388,36.78050374858941,0.1138251305246083,43.6,21,-0.1138251305246083,1391.8588860622085,8.216986363037572,0.4855783629804529,0.2663702028139006
250,5.706604136271854,5.591741658617886,0,321.48693330766326,165.376,38.06671280791132,0.11486247765396751,40.8,22,-0.11486247765396751,1368.5418550363509,8.275335326990318,0.5074426306391249,0.250089220331735
250,5.591741658617886,5.475935966405931,0,323.8847381562101,169.488,38.05661382729683,0.11580569221195525,46.400000000000006,23,-0.11580569221195525,1414.710609482786,8.346966212845665,0.4813063050362498,0.2400072833784311
250,5.475935966405931,5.358743083932804,0,310.0764179215659,173.772,36.15854001477383,0.11719288247312676,51.6,24,-0.11719288247312676,1462.4704152420318,8.416030288205416,0.45620930087815836,0.2370832135927331
250,5.358743083932804,5.240864343377409,0,305.815531170938,174.98,35.374165714543715,0.11787874055539493,51.6,25,-0.11787874055539493,1483.3947721026009,8.477510413204943,0.45826420656605993,0.23158806699004394
250,5.240864343377409,5.122437329773103,0,267.6616910394083,182.828,30.66265507094909,0.11842701360430663,62.0,26,-0.11842701360430663,1562.6380987497355,8.547039286923969,0.40284651607221833,0.22748742127767901
