Primal,LossReg,Eta,DualReg,Omega,ReturnsMean,RewardMean,DualAfter,DeltaOmega,Epsilon,NormDeltaVar,TimestepsStd,Traj,OmegaBefore,RewardStd,WeightMax,WeightMean,DualBefore,ConfortViolation,ReturnsStd,WeightMin,TimestepsMean,NormDeltaOmega,WeightMedian,ITERATIONS,Wins
6.525554233530985,0.0,13.835643606905832,0.0001,7.965817537054213,144.61662789072844,6.412999634793771,6.50641315013467,-0.03418246294578697,0.001,0.16362626837950098,11.961007207538014,2218,8.0,1.3881615925337214,1.0,0.5975364527152114,6.675727584792246,0,80.5740230028957,0.5975364527152114,22.550293188994136,0.03418246294578697,0.9717265697422619,0,0.0
6.555307393925778,0.0,13.765598510505725,0.0001,7.932175349485789,148.14740291831308,6.443646781325712,6.536359627595074,-0.0336421875684243,0.001,0.12135709588251853,12.146999696690132,2175,7.965817537054213,1.3806219631388257,1.0,0.5958843978504827,6.702646006276659,0,82.12409205221759,0.5958843978504827,22.991260349586017,0.0336421875684243,0.9732562366579764,1,0.0
6.587917241205607,0.0,13.676205623503414,0.0001,7.898747580354887,152.46799246633918,6.47739790392069,6.569214776239823,-0.03342776913090173,0.001,0.02537685999678652,12.44830807589634,2125,7.932175349485789,1.37089320423702,1.0,0.5922915396277353,6.731687709402514,0,84.57683932860499,0.5922915396277353,23.538606403013183,0.03342776913090173,0.9725456506751045,2,0.0
6.612814844311503,0.0,13.688582311414768,0.0001,7.866153160770861,153.70643746352175,6.502095832828359,6.594078508764761,-0.03259441958402576,0.001,0.09126812499114834,12.866193959476186,2115,7.898747580354887,1.3731763967105903,1.0,0.5918154389346042,6.756525115387742,0,87.66130135165483,0.5918154389346042,23.639545884578997,0.03259441958402576,0.9731099212743405,3,0.0
6.646781789228027,0.0,13.482027866408822,0.0001,7.835532395530532,161.62295016529703,6.538742985375908,6.628607081189004,-0.03062076524032964,0.001,0.10323433399598374,13.724175519020216,2023,7.866153160770861,1.3493719959918673,1.0,0.5872757794657097,6.783451357033198,0,93.81678421527873,0.5872757794657097,24.717606330365975,0.03062076524032964,0.9748204596162043,4,0.0
6.679312223093394,0.0,13.299876518312528,0.0001,7.804645105266634,169.08487656871836,6.573608172831269,6.661625378686187,-0.03088729026389725,0.001,0.06974762008490744,14.183298952820493,1944,7.835532395530532,1.3285243158705906,1.0,0.5788899561527264,6.810054618497351,0,97.27358275963353,0.5788899561527264,25.72259392691714,0.03088729026389725,0.9694776966366828,5,0.0
6.702740252477946,0.0,13.359928163925604,0.0001,7.77274014122368,168.83206416877474,6.596218324613677,6.6848932902469755,-0.03190496404295473,0.001,0.06436581234100795,14.536435504191806,1954,7.804645105266634,1.336527228333635,1.0,0.580562709002491,6.834695128298774,0,100.03201618119216,0.580562709002491,25.595494111623143,0.03190496404295473,0.9717874003404943,6,0.0
6.727327933919988,0.0,13.327959157336915,0.0001,7.7422889629877405,171.57595314907132,6.621188266194956,6.709566291378332,-0.030451178235939125,0.001,0.2667968866166026,14.531090862388467,1930,7.77274014122368,1.3334671147058645,1.0,0.579822627151283,6.8579469611135675,0,100.38375999132082,0.579822627151283,25.91290824261275,0.030451178235939125,0.973488888333745,7,0.0
6.7565162360448205,0.0,13.245467632004408,0.0001,7.711721822279046,176.03727118856952,6.651404521240542,6.738973804963466,-0.03056714070869493,0.001,0.10347496329130627,15.015575386402654,1890,7.7422889629877405,1.3245671548264377,1.0,0.5775363422644548,6.884151821248511,0,104.05792429845638,0.5775363422644548,26.46638433033351,0.03056714070869493,0.9745853048190449,8,0.0
6.781638193574612,0.0,13.206842121858001,0.0001,7.681851621314264,178.92243967127004,6.676989638230246,6.764197935116136,-0.029870200964781546,0.001,0.05629541977572836,15.413840641955833,1866,7.711721822279046,1.3207769208468478,1.0,0.5746149875967245,6.907692013914965,0,107.2464095974467,0.5746149875967245,26.79785522788204,0.029870200964781546,0.9728745136004372,9,0.0
