DeltaOmega,RewardStd,RewardMean,WeightMax,ConfortViolation,ITERATIONS,NormDeltaOmega,Omega,TimestepsStd,WeightMean,Traj,WeightMin,OmegaBefore,Epsilon,LossReg,DualBefore,ReturnsMean,Eta,Wins,Primal,WeightMedian,ReturnsStd,DualReg,TimestepsMean,DualAfter,NormDeltaVar
-0.0037747239654333242,0.08345882214712745,7.836178921079018,1.0,0,707,0.0037747239654333242,6.54589868391716,8.73071887125216,0.0065936067100605955,502,0.0065936067100605955,6.549673407882593,0.001,0.0,7.839933279968414,1570.1457766429003,1.6204328733686533,99.40239043824701,7.839560054444118,0.8316961690600952,69.22797551240639,0.0,200.3714859437751,7.839562890643763,0.005413916210166664
-0.00418896434477567,0.07633243373299074,7.838052762067766,1.0,0,708,0.00418896434477567,6.541709719572384,3.9024754135725153,0.006555626131455585,500,0.006555626131455585,6.54589868391716,0.001,0.0,7.841708248072844,1574.0754749474556,1.6160835429964493,99.8,7.841333876214928,0.8388067253193616,31.162167254521815,0.0,200.82459677419354,7.84133656947462,0.014778179216157298
-0.004015688234497716,0.0914422463574794,7.839939920113764,1.0,0,709,0.004015688234497716,6.537694031337886,8.15798434699156,0.007541282271061796,501,0.007541282271061796,6.541709719572384,0.001,0.0,7.843909656901168,1570.2674739036108,1.6620604780785042,99.00199600798403,7.843492758532219,0.8448420888887844,64.94104597658698,0.0,200.2917505030181,7.843497117219271,0.023127437501431244
-0.0035511092318856186,0.088142021969805,7.842353286081902,1.0,0,710,0.0035511092318856186,6.534142922106001,8.946740220776235,0.007326891429344184,502,0.007326891429344184,6.537694031337886,0.001,0.0,7.846263725063977,1571.0658401056774,1.6564634022058975,99.20318725099602,7.8458503431349005,0.8353474860682274,71.05412417670502,0.0,200.3293172690763,7.8458544967912704,0.019322840068770806
-0.0037210926704034364,0.0948477473727784,7.844309940430007,1.0,0,711,0.0037210926704034364,6.530421829435597,7.309917030166862,0.007801461044098489,501,0.007801461044098489,6.534142922106001,0.001,0.0,7.848357815413343,1573.1448534175904,1.6737020050212044,98.80239520958084,7.847930191936328,0.8478075766943486,58.06247832835551,0.0,200.5472837022133,7.847934967320768,0.019957904212709376
-0.00410438967223925,0.07130937954727487,7.848601019093603,1.0,0,712,0.00410438967223925,6.526317439763358,0.0,0.6416330029152808,500,0.6416330029152808,6.530421829435597,0.001,0.0,7.852128918807041,1577.5684677508673,1.5896608539569823,100.0,7.851782411967586,0.833348360487838,1.903496954994237,0.0,201.0,7.851784248231956,0.15708700049626276
-0.0038586292113178544,0.08682720605903115,7.8512882535255,1.0,0,713,0.0038586292113178544,6.52245881055204,3.55371438443196,0.006577431229622521,500,0.006577431229622521,6.526317439763358,0.001,0.0,7.855085897809327,1576.0559662872429,1.620193122282772,99.2,7.854716497324409,0.8380478533871868,28.88554043607877,0.0,200.73790322580646,7.854719330799153,0.01721902935985038
-0.0039080398550295214,0.08748679221957673,7.853083459740576,1.0,0,714,0.0039080398550295214,6.5185507706970105,9.806051294624247,0.006978320496999987,501,0.006978320496999987,6.52245881055204,0.001,0.0,7.85693441687768,1573.1542282637179,1.63725418689013,99.20159680638723,7.856544706601151,0.8464762786823223,77.67587037856951,0.0,200.32394366197184,7.8565481571115905,0.15568789248808318
-0.004011763721470274,0.08762640653628415,7.855507227570115,1.0,0,715,0.004011763721470274,6.51453900697554,5.723937677772343,0.007044068224399176,500,0.007044068224399176,6.5185507706970105,0.001,0.0,7.859369092291527,1576.112076405695,1.6407178200477757,99.2,7.858975147346914,0.84690937895997,45.6567794945904,0.0,200.63709677419354,7.858978723929251,0.20593977218555828
-0.0036730337924479883,0.08006187074635868,7.85847440185822,1.0,0,716,0.0036730337924479883,6.510865973183092,8.334298397481769,0.006554944262863485,501,0.006554944262863485,6.51453900697554,0.001,0.0,7.862181912748105,1575.4253128849175,1.6188453573386192,99.60079840319361,7.861807506285753,0.8422673116032326,66.1951185532355,0.0,200.4728370221328,7.861810293854728,0.032710055469648384
-0.004043987606967114,0.08371550640165475,7.8612566658020775,1.0,0,717,0.004043987606967114,6.506821985576125,7.750413696621389,0.006470827920940353,501,0.006470827920940353,6.510865973183092,0.001,0.0,7.865022567889317,1576.1801769925535,1.623603066014848,99.40119760479041,7.864646036125868,0.8213293417670886,61.5755365829146,0.0,200.4989939637827,7.864648998723601,0.16110119824010746
-0.003716446743954549,0.08700335239679789,7.86397188756322,1.0,0,718,0.003716446743954549,6.503105538832171,5.78575968049332,0.006753842213775982,501,0.006753842213775982,6.506821985576125,0.001,0.0,7.867779818022121,1577.785122621946,1.623257621690103,99.20159680638723,7.867407107170919,0.8594497665182106,46.206575960376156,0.0,200.63581488933602,7.867410059087502,0.010401951772518687
-0.004137814387252803,0.08298745342128717,7.867244742354317,1.0,0,719,0.004137814387252803,6.498967724444918,7.917359556263282,0.00625662308286285,501,0.00625662308286285,6.503105538832171,0.001,0.0,7.870952025021287,1577.3573346528701,1.60473407896984,99.40119760479041,7.870597719016331,0.8436197568288908,63.12905162809629,0.0,200.4949698189135,7.870600035873284,0.19179310060076998
-0.0036721450711905135,0.08672850286559243,7.869463938873683,1.0,0,720,0.0036721450711905135,6.495295579373727,6.665969893728106,0.006455711311122543,500,0.006455711311122543,6.498967724444918,0.001,0.0,7.873247633402336,1577.6727169654848,1.6153915832948942,99.2,7.872883908257737,0.8438865437890553,53.407188123139335,0.0,200.48185483870967,7.872886573640142,0.1992313325759612
-0.004132004800297295,0.08701263357313437,7.872298110728779,1.0,0,721,0.004132004800297295,6.49116357457343,8.178390610450078,0.006616304913263438,501,0.006616304913263438,6.495295579373727,0.001,0.0,7.876104639711576,1577.906474977591,1.6227198002680825,99.20159680638723,7.8757324703850555,0.8477261459683543,65.15926713273977,0.0,200.43863179074447,7.8757353994326404,0.23259065556530092
-0.0037510076002043036,0.0935758487673612,7.874874609331845,1.0,0,722,0.0037510076002043036,6.487412566973226,12.026089497402667,0.006609948736465835,502,0.006609948736465835,6.49116357457343,0.001,0.0,7.878792589448062,1573.8659096796796,1.6308753515302354,98.80478087649402,7.878417548731939,0.8277912373796138,95.74212440989324,0.0,199.859437751004,7.878420769405493,0.017856827332864717
