Traj,ConfortViolation,WeightMin,DualReg,OmegaBefore,Omega,WeightMean,LossReg,DeltaOmega,DualBefore,RewardMean,ITERATIONS,TimestepsStd,TimestepsMean,DualAfter,Epsilon,Primal,RewardStd,NormDeltaVar,Wins,ReturnsStd,WeightMax,Eta,WeightMedian,ReturnsMean,NormDeltaOmega
100,0,0.00390902244239004,0.0,[[0.8]],[[0.95066195]],0.00390902244239004,0.0,[[0.15066195]],7.977016545256456,2.31564,0,0.0,500.0,7.602212945606597,1.4901,7.602214935716551,2.39785975202888,22.459550358504526,0.0,54.204455985357,1.0,1.8035995677883772,0.01184825877777153,1158.2424242424242,0.15066194734648175
100,0,0.00021750165194718942,0.0,[[0.95066195]],[[0.99554336]],0.00021750165194718942,0.0,[[0.04488142]],7.957880681035759,2.74924,1,0.0,500.0,7.950312624747359,1.4901,7.950312793646588,2.8158408020340917,35.00616137684964,0.0,74.55690695198886,1.0,1.185774859631728,0.001174816528137688,1373.2929292929293,0.044881415417276305
100,0,7.253418353214525e-13,0.0,[[0.99554336]],[[0.99999707]],7.253418353214525e-13,0.0,[[0.0044537]],8.102661698909065,2.98852,2,0.0,500.0,8.042247654539771,1.4901,8.042247492207498,2.99381165232551,104.71620527589083,0.0,72.24997135910641,1.0,0.35775444662095324,1.942827228739631e-10,1494.888888888889,0.0044537029064652955
100,0,0.0,0.0,[[0.99999707]],[[0.99999999]],0.0,0.0,[[2.92653449e-06]],8.111538198529958,3.00272,3,0.0,500.0,8.000873598664658,1.4901,7.9999999999996625,3.003143786367879,84.72453443878518,0.0,83.71708884204781,1.0,0.008219585534025362,0.0,1502.7878787878788,2.926534485414578e-06
100,0,0.0,0.0,[[0.99999999]],[[0.99999999]],0.0,0.0,[[0.]],8.101269166866778,2.98692,4,0.0,500.0,8.000807759290922,1.4901,8.000000000000188,2.993003326693774,0.0,0.0,67.31003303284712,1.0,0.008419882651857493,0.0,1493.8383838383838,0.0
100,0,0.0,0.0,[[0.99999999]],[[0.99999999]],0.0,0.0,[[0.]],8.117692575364273,3.01132,5,0.0,500.0,8.000912495318786,1.4901,8.000000000000144,3.0098557868442803,0.0,0.0,86.30483673817844,1.0,0.008111946364737188,0.0,1507.979797979798,0.0
100,0,0.0,0.0,[[0.99999999]],[[0.99999999]],0.0,0.0,[[0.]],8.111377089257605,3.00184,6,0.0,500.0,8.000872557385282,1.4901,8.000000000000377,3.0034108301063314,0.0,0.0,80.49738756731637,1.0,0.008222136401156361,0.0,1499.7777777777778,0.0
100,0,0.0,0.0,[[0.99999999]],[[0.99999999]],0.0,0.0,[[0.]],8.107988396733747,3.002,7,0.0,500.0,8.000851099967267,1.4901,8.000000000000222,2.9964238685473057,0.0,0.0,78.36110260706988,1.0,0.008288453759968664,0.0,1500.888888888889,0.0
100,0,0.0,0.0,[[0.99999999]],[[0.99999999]],0.0,0.0,[[0.]],8.1108366689858,3.00432,8,0.0,500.0,8.000869210306096,1.4901,7.999999999999697,3.000636822009621,0.0,0.0,69.49715758765967,1.0,0.008233958067486136,0.0,1501.939393939394,0.0
100,0,0.0,0.0,[[0.99999999]],[[0.99999999]],0.0,0.0,[[0.]],8.100554200853153,2.98708,9,0.0,500.0,8.000803165343822,1.4901,7.999999999999879,2.99145333802819,0.0,0.0,80.3544387888949,1.0,0.008435831711160593,0.0,1492.949494949495,0.0
100,0,0.0,0.0,[[0.99999999]],[[0.99999999]],0.0,0.0,[[0.]],8.104703450932458,2.99208,10,0.0,500.0,8.000829905595673,1.4901,7.999999999999671,2.9964674658003547,0.0,0.0,81.73144673108789,1.0,0.008349492704620272,0.0,1496.969696969697,0.0
100,0,0.0,0.0,[[0.99999999]],[[0.99999999]],0.0,0.0,[[0.]],8.109083965102617,2.99984,11,0.0,500.0,8.000857993195874,1.4901,8.0,3.000106660503923,0.0,0.0,88.48966362988199,1.0,0.008265381390928493,0.0,1499.939393939394,0.0
100,0,0.0,0.0,[[0.99999999]],[[0.99999999]],0.0,0.0,[[0.]],8.107251564453643,2.99592,12,0.0,500.0,8.000846251262484,1.4901,7.999999999999585,2.99903707106131,0.0,0.0,74.88408482845911,1.0,0.008299514801798852,0.0,1498.989898989899,0.0
100,0,0.0,0.0,[[0.99999999]],[[0.99999999]],0.0,0.0,[[0.]],8.102454605740537,2.98548,13,0.0,500.0,8.000815330632232,1.4901,8.000000000000563,2.996362656555444,0.0,0.0,80.36968963190934,1.0,0.008393054252206511,0.0,1492.3838383838383,0.0
100,0,0.0,0.0,[[0.99999999]],[[0.99999999]],0.0,0.0,[[0.]],8.118471336000445,3.01064,14,0.0,500.0,8.000917342534493,1.4901,7.999999999999547,3.0119041801491626,0.0,0.0,76.1894598515448,1.0,0.00809796610934237,0.0,1505.878787878788,0.0
100,0,0.0,0.0,[[0.99999999]],[[0.99999999]],0.0,0.0,[[0.]],8.10925414135624,3.00276,15,0.0,500.0,8.000859151387003,1.4901,7.999999999999703,2.9984783444940866,0.0,0.0,74.87106899021529,1.0,0.008263802367997007,0.0,1502.141414141414,0.0
100,0,0.0,0.0,[[0.99999999]],[[0.99999999]],0.0,0.0,[[0.]],8.100945315176551,2.98556,16,0.0,500.0,8.000805639865185,1.4901,7.999999999999798,2.9932643529097125,0.0,0.0,89.97687693979151,1.0,0.008426123128388129,0.0,1492.6666666666667,0.0
100,0,0.0,0.0,[[0.99999999]],[[0.99999999]],0.0,0.0,[[0.]],8.090158646687115,2.9684,17,0.0,500.0,8.000735079812012,1.4901,8.000000000000274,2.9830925966184823,0.0,0.0,79.6206545294062,1.0,0.008674005913272888,3.88139958575744e-301,1484.3838383838383,0.0
