TimestepsStd,DualAfter,NormDeltaOmega,Omega,ITERATIONS,OmegaBefore,DualReg,LossReg,ConfortViolation,WeightMax,ReturnsStd,Epsilon,NormDeltaVar,Traj,RewardMean,WeightMean,DeltaOmega,Eta,Primal,TimestepsMean,WeightMedian,RewardStd,ReturnsMean,Wins,WeightMin,DualBefore
0.0,4.096953692343303,0.07655340132928395,[[0.33317472]],1,[[0.40972812]],0.0,0.0,0,1.0,72.11590394409058,0.0601,4.696737198770317,100,2.87648,0.39436643378477654,[[-0.0765534]],10.747201703477637,4.096953927085691,500.0,0.47502881504745853,3.281820045279753,1438.3232323232323,0.0,0.39436643378477654,8.1603128023092
0.0,4.7574847697713905,0.06832111332811142,[[0.26485361]],2,[[0.33317472]],0.0,0.0,0,1.0,97.82424390529836,0.0601,4.671876883258889,100,3.39928,0.4264252884208907,[[-0.06832111]],11.732708700260904,4.757484797246266,500.0,0.5056783514603,3.7314575545756914,1699.4747474747476,0.0,0.4264252884208907,8.54789232894462
0.0,5.587560966860425,0.06516087450942515,[[0.19969273]],3,[[0.26485361]],0.0,0.0,0,1.0,121.47544125576506,0.0601,5.247478325298276,100,4.11684,0.44737448026145815,[[-0.06516087]],12.432255526204244,5.587560970136121,500.0,0.5254567380735619,4.1348311228392385,2058.0,0.0,0.44737448026145815,8.900840223389359
0.0,6.572029963872275,0.060947002321556476,[[0.13874573]],4,[[0.19969273]],0.0,0.0,0,1.0,138.7229819012728,0.0601,6.250441546592011,100,5.045,0.4516445653608385,[[-0.060947]],12.580835511664812,6.572029964470292,500.0,0.5294652126165152,4.404640166914887,2523.070707070707,0.0,0.4516445653608385,9.21241281115402
0.0,7.593383606353451,0.050089278657547906,[[0.08865645]],5,[[0.13874573]],0.0,0.0,0,1.0,143.3952913119953,0.0601,7.205776092391353,100,6.09812,0.4329394618904142,[[-0.05008928]],11.945185384344766,7.593383607853748,500.0,1.0,4.437284357081479,3047.4949494949497,0.0,0.4329394618904142,9.47139582828367
0.0,8.60632223185579,0.04046910401621595,[[0.04818735]],6,[[0.08865645]],0.0,0.0,0,1.0,132.0671961987719,0.0601,9.330294166326006,100,7.26072,0.3779134376439622,[[-0.0404691]],10.276540570905594,8.606321814804641,500.0,1.0,4.144763573667381,3631.252525252525,0.0,0.3779134376439622,9.690314899715105
0.0,9.462562197565694,0.030156085476247076,[[0.01803126]],7,[[0.04818735]],0.0,0.0,0,1.0,89.9120317404106,0.0601,14.48829523450027,100,8.40828,0.2578842005449756,[[-0.03015609]],7.378741652445116,9.462562579043226,500.0,1.0,3.4490038332248925,4203.737373737374,0.0,0.2578842005449756,9.863907327132488
0.0,9.967505148573093,0.0167953470927905,[[0.00123592]],8,[[0.01803126]],0.0,0.0,0,1.0,64.75087527905026,0.0601,38.53219634598181,100,9.34964,0.03227233597996672,[[-0.01679535]],2.9124419016707006,9.967505114957302,500.0,1.0,2.346195190174935,4674.969696969697,0.0,0.03227233597996672,9.985066735107962
0.0,10.00068810050351,0.001235914501028753,[[1.60107512e-09]],9,[[0.00123592]],0.0,0.0,0,1.0,22.657013735284654,0.0601,193.68406227590577,100,9.9336,0.0,[[-0.00123591]],0.013004069397658352,9.999999999998346,500.0,1.0,0.7861240614559513,4966.747474747474,0.0,0.0,10.052915331194184
0.0,10.000753012422003,0.0,[[1.60107512e-09]],10,[[1.60107512e-09]],0.0,0.0,0,1.0,0.0,0.0601,0.0,100,9.98,0.0,[[0.]],0.012961073644820353,9.999999999997792,500.0,1.0,0.4467661580737735,4990.0,0.0,0.0,10.058098088311146
0.0,10.000753012422003,0.0,[[1.60107512e-09]],11,[[1.60107512e-09]],0.0,0.0,0,1.0,0.0,0.0601,0.0,100,9.98,0.0,[[0.]],0.012961073644820353,9.999999999997792,500.0,1.0,0.4467661580737735,4990.0,0.0,0.0,10.058098088311146
0.0,10.000753012422003,0.0,[[1.60107512e-09]],12,[[1.60107512e-09]],0.0,0.0,0,1.0,0.0,0.0601,0.0,100,9.98,0.0,[[0.]],0.012961073644820353,9.999999999997792,500.0,1.0,0.4467661580737735,4990.0,0.0,0.0,10.058098088311146
0.0,10.000753012422003,0.0,[[1.60107512e-09]],13,[[1.60107512e-09]],0.0,0.0,0,1.0,0.0,0.0601,0.0,100,9.98,0.0,[[0.]],0.012961073644820353,9.999999999997792,500.0,1.0,0.4467661580737735,4990.0,0.0,0.0,10.058098088311146
0.0,10.000753012422003,0.0,[[1.60107512e-09]],14,[[1.60107512e-09]],0.0,0.0,0,1.0,0.0,0.0601,0.0,100,9.98,0.0,[[0.]],0.012961073644820353,9.999999999997792,500.0,1.0,0.4467661580737735,4990.0,0.0,0.0,10.058098088311146
0.0,10.000753012422003,0.0,[[1.60107512e-09]],15,[[1.60107512e-09]],0.0,0.0,0,1.0,0.0,0.0601,0.0,100,9.98,0.0,[[0.]],0.012961073644820353,9.999999999997792,500.0,1.0,0.4467661580737735,4990.0,0.0,0.0,10.058098088311146
0.0,10.000753012422003,0.0,[[1.60107512e-09]],16,[[1.60107512e-09]],0.0,0.0,0,1.0,0.0,0.0601,0.0,100,9.98,0.0,[[0.]],0.012961073644820353,9.999999999997792,500.0,1.0,0.4467661580737735,4990.0,0.0,0.0,10.058098088311146
0.0,10.000753012422003,0.0,[[1.60107512e-09]],17,[[1.60107512e-09]],0.0,0.0,0,1.0,0.0,0.0601,0.0,100,9.98,0.0,[[0.]],0.012961073644820353,9.999999999997792,500.0,1.0,0.4467661580737735,4990.0,0.0,0.0,10.058098088311146
0.0,10.000753012422003,0.0,[[1.60107512e-09]],18,[[1.60107512e-09]],0.0,0.0,0,1.0,0.0,0.0601,0.0,100,9.98,0.0,[[0.]],0.012961073644820353,9.999999999997792,500.0,1.0,0.4467661580737735,4990.0,0.0,0.0,10.058098088311146
0.0,10.000753012422003,0.0,[[1.60107512e-09]],19,[[1.60107512e-09]],0.0,0.0,0,1.0,0.0,0.0601,0.0,100,9.98,0.0,[[0.]],0.012961073644820353,9.999999999997792,500.0,1.0,0.4467661580737735,4990.0,0.0,0.0,10.058098088311146
