WeightMin,ReturnsStd,ConfortViolation,DualBefore,LossReg,TimestepsMean,Traj,RewardMean,DeltaOmega,WeightMedian,WeightMax,DualAfter,ITERATIONS,ReturnsMean,OmegaBefore,Eta,DualReg,Omega,Primal,Epsilon,NormDeltaOmega,Wins,WeightMean,RewardStd,TimestepsStd,NormDeltaVar
0.1542915073752765,58.395364281197196,0,6.662442280050135,0.0,500.0,100,2.33916,[[-0.4554186]],0.22421962277249854,1.0,3.8959859559869576,0,1170.4040404040404,[[0.8]],5.350707978715215,0.0,[[0.3445814]],3.8959859542250594,0.1601,0.45541859973038257,0.0,0.1542915073752765,2.417918628572931,0.0,28.989116119943855
0.2553486930907331,99.32379063540155,0,8.605194881355617,0.0,500.0,100,3.32916,[[-0.12455786]],0.33551111441388326,1.0,5.569042874615764,1,1664.5656565656566,[[0.3445814]],7.32533519826892,0.0,[[0.22002354]],5.569042822082041,0.1601,0.1245578569435401,0.0,0.2553486930907331,3.6783003812086905,0.0,8.894077320866291
0.26521645921809356,130.7122944017299,0,9.203951960507018,0.0,500.0,100,4.68772,[[-0.10028268]],0.345844105587515,1.0,7.150999415315722,2,2343.252525252525,[[0.22002354]],7.534608571495087,0.0,[[0.11974086]],7.1509994474118415,0.1601,0.10028267878777915,0.0,0.26521645921809356,4.32866737017295,0.0,10.419388727210997
0.20325048618073935,139.36071042969112,0,9.653826015448885,0.0,500.0,100,6.50436,[[-0.074634]],1.0,1.0,8.78947416012041,3,3252.080808080808,[[0.11974086]],6.276218358814968,0.0,[[0.04510687]],8.789474166516987,0.1601,0.07463399865962694,0.0,0.20325048618073935,4.374135456338772,0.0,15.1096938633751
0.014019901730484568,103.64769662570758,0,9.9773585843095,0.0,500.0,100,8.50732,[[-0.04341055]],1.0,1.0,9.958633274036634,4,4254.323232323232,[[0.04510687]],2.343414558529528,0.0,[[0.00169631]],9.958633536551037,0.1601,0.04341055232609134,0.0,0.014019901730484568,3.36254463429112,0.0,47.50050237146232
0.0,22.919634863569687,0,10.151242290103854,0.0,500.0,100,9.91872,[[-0.00169631]],1.0,1.0,10.001056833515248,5,4959.232323232323,[[0.00169631]],0.0069877506676986135,0.0,[[2.19646628e-09]],9.999999999997407,0.1601,0.001696311356113668,0.0,0.0,0.8665065271537197,0.0,193.6973696460135
0.0,0.0,0,10.158098088311146,0.0,500.0,100,9.98,[[0.]],1.0,1.0,10.001100283199243,6,4990.0,[[2.19646628e-09]],0.006959501181727353,0.0,[[2.19646628e-09]],9.999999999997792,0.1601,0.0,0.0,0.0,0.4467661580737735,0.0,0.0
0.0,0.0,0,10.158098088311146,0.0,500.0,100,9.98,[[0.]],1.0,1.0,10.001100283199243,7,4990.0,[[2.19646628e-09]],0.006959501181727353,0.0,[[2.19646628e-09]],9.999999999997792,0.1601,0.0,0.0,0.0,0.4467661580737735,0.0,0.0
0.0,0.0,0,10.158098088311146,0.0,500.0,100,9.98,[[0.]],1.0,1.0,10.001100283199243,8,4990.0,[[2.19646628e-09]],0.006959501181727353,0.0,[[2.19646628e-09]],9.999999999997792,0.1601,0.0,0.0,0.0,0.4467661580737735,0.0,0.0
0.0,0.0,0,10.158098088311146,0.0,500.0,100,9.98,[[0.]],1.0,1.0,10.001100283199243,9,4990.0,[[2.19646628e-09]],0.006959501181727353,0.0,[[2.19646628e-09]],9.999999999997792,0.1601,0.0,0.0,0.0,0.4467661580737735,0.0,0.0
0.0,0.0,0,10.158098088311146,0.0,500.0,100,9.98,[[0.]],1.0,1.0,10.001100283199243,10,4990.0,[[2.19646628e-09]],0.006959501181727353,0.0,[[2.19646628e-09]],9.999999999997792,0.1601,0.0,0.0,0.0,0.4467661580737735,0.0,0.0
0.0,0.0,0,10.158098088311146,0.0,500.0,100,9.98,[[0.]],1.0,1.0,10.001100283199243,11,4990.0,[[2.19646628e-09]],0.006959501181727353,0.0,[[2.19646628e-09]],9.999999999997792,0.1601,0.0,0.0,0.0,0.4467661580737735,0.0,0.0
0.0,0.0,0,10.158098088311146,0.0,500.0,100,9.98,[[0.]],1.0,1.0,10.001100283199243,12,4990.0,[[2.19646628e-09]],0.006959501181727353,0.0,[[2.19646628e-09]],9.999999999997792,0.1601,0.0,0.0,0.0,0.4467661580737735,0.0,0.0
0.0,0.0,0,10.158098088311146,0.0,500.0,100,9.98,[[0.]],1.0,1.0,10.001100283199243,13,4990.0,[[2.19646628e-09]],0.006959501181727353,0.0,[[2.19646628e-09]],9.999999999997792,0.1601,0.0,0.0,0.0,0.4467661580737735,0.0,0.0
