Epsilon,WeightMean,Primal,DeltaOmega,Wins,ReturnsStd,OmegaBefore,DualReg,NormDeltaVar,ConfortViolation,Eta,RewardMean,RewardStd,WeightMin,WeightMedian,WeightMax,Omega,NormDeltaOmega,LossReg,ITERATIONS,DualAfter,TimestepsMean,ReturnsMean,Traj,TimestepsStd,DualBefore
1.0701,0.011296004165515725,6.815971201092738,[[0.10245248]],0.0,60.653314911336054,[[0.8]],0.0,11.978314375423277,0,2.2304967557792206,2.34892,2.434012085754711,0.011296004165515725,0.027691078774191885,1.0,[[0.90245248]],0.10245247790477974,0.0,0,6.815971037208929,500.0,1174.6060606060605,100,0.0,7.584099913726925
1.0701,0.0076074881898753,7.006733287699472,[[0.0425687]],0.0,65.67532909820812,[[0.90245248]],0.0,8.84975494598261,0,2.0497590367467566,2.53432,2.623177869988995,0.0076074881898753,0.020183339686043467,1.0,[[0.94502117]],0.042568696579155185,0.0,1,7.006730794446094,500.0,1267.2727272727273,100,0.0,7.422745386606281
1.0701,0.0057502630869606655,7.245156889102486,[[0.02021918]],0.0,68.94428887051068,[[0.94502117]],0.0,6.852299534241006,0,1.9385443932158515,2.71396,2.787274855194586,0.0057502630869606655,0.016134301639161505,1.0,[[0.96524036]],0.02021918473041251,0.0,2,7.245155549913848,500.0,1356.909090909091,100,0.0,7.508721710755669
1.0701,0.004912657340610723,7.351276859656132,[[0.00707631]],0.0,72.5012537317405,[[0.96524036]],0.0,3.356153629968915,0,1.8811347541878591,2.79976,2.858234409981099,0.004912657340610723,0.014225029588435481,1.0,[[0.97231667]],0.007076305900583502,0.0,3,7.3512767076138354,500.0,1398.949494949495,100,0.0,7.5599856481578325
1.0701,0.004401491753415719,7.4211195749992855,[[0.00365901]],0.0,77.18070707592884,[[0.97231667]],0.0,2.0788537378710785,0,1.8430421918658557,2.85952,2.90132820783861,0.004401491753415719,0.013028064919312559,1.0,[[0.97597567]],0.0036590073655851096,0.0,4,7.421119113983218,500.0,1429.3131313131314,100,0.0,7.600992042921812
1.0701,0.004290111347334861,7.444663418351503,[[0.00120072]],0.0,79.8722324272137,[[0.97597567]],0.0,0.7500158227608793,0,1.834376833753813,2.87544,2.9170129938689,0.004290111347334861,0.012763648963359832,1.0,[[0.97717639]],0.0012007209233906302,0.0,5,7.444662871400174,500.0,1437.111111111111,100,0.0,7.618906438099231
1.0701,0.004194842443848662,7.444456214171907,[[0.00018376]],0.0,68.27989952478238,[[0.97717639]],0.0,0.11817075102759844,0,1.8268512244202428,2.88064,2.916846446146934,0.004194842443848662,0.012536390824024055,1.0,[[0.97736015]],0.00018376040709866537,0.0,6,7.4444551827583005,500.0,1440.3434343434344,100,0.0,7.6127258608877835
1.0701,0.004352923726503018,7.420795260982471,[[-0.00119777]],0.0,80.55104068915882,[[0.97736015]],0.0,0.7539922022000454,0,1.8392808648978554,2.8612,2.9019053327081505,0.004352923726503018,0.01291293146085467,1.0,[[0.97616239]],0.0011977653816853673,0.0,7,7.42079453840654,500.0,1430.7878787878788,100,0.0,7.5973758471875374
1.0701,0.004269265234339606,7.431634941634613,[[0.00056732]],0.0,77.85706571249037,[[0.97616239]],0.0,0.35239931129721924,0,1.8327392517915921,2.87072,2.908732830907644,0.004269265234339606,0.012714008851687263,1.0,[[0.9767297]],0.0005673155123954166,0.0,8,7.431634013032604,500.0,1435.2121212121212,100,0.0,7.603672545951664
1.0701,0.004419070207809451,7.413008292809233,[[-0.00087678]],0.0,67.49504321871355,[[0.9767297]],0.0,0.5411933450285815,0,1.844397083953116,2.85304,2.8979721804047736,0.004419070207809451,0.01306967298157702,1.0,[[0.97585293]],0.000876776780766142,0.0,9,7.413007712294997,500.0,1427.2929292929293,100,0.0,7.593044505869356
