TimestepsStd,ReturnsStd,DualAfter,DualBefore,WeightMean,Wins,WeightMax,TimestepsMean,ITERATIONS,Traj,ConfortViolation,DualReg,ReturnsMean,DeltaOmega,OmegaBefore,NormDeltaOmega,Primal,Epsilon,LossReg,WeightMin,RewardStd,Eta,WeightMedian,RewardMean,Omega,NormDeltaVar
0.0,60.518974469076184,8.224409787594332,8.354477701363642,0.0011349255504433829,0.0,1.0,500.0,0,100,0,0.0,1179.171717171717,[[0.17984252]],[[0.8]],0.1798425227127417,8.224409781756743,1.8301,0.0,0.0011349255504433829,2.4428098496608373,1.4746678117319396,0.004405283867237946,2.35872,[[0.97984252]],35.67888865302544
0.0,83.72554655664882,8.221091271283395,8.38445102584175,3.060797144793185e-10,0.0,1.0,500.0,1,100,0,0.0,1447.050505050505,[[0.020156]],[[0.97984252]],0.020156003341768813,8.221091254814414,1.8301,0.0,3.060797144793185e-10,2.923247254954668,0.4564714415302426,2.4471897111215736e-08,2.89692,[[0.99999853]],136.33928150731504
0.0,79.56426072384629,8.001998478848508,8.449162661354078,0.0,0.0,1.0,500.0,2,100,0,0.0,1499.4747474747476,[[1.46611597e-06]],[[0.99999853]],1.4661159749573827e-06,7.999999999999591,1.8301,0.0,0.0,3.000293312327979,0.00450223816196438,0.0,2.9998,[[0.99999999]],74.8257006735538
0.0,78.61220508215496,8.001980164939317,8.443672081354602,0.0,0.0,1.0,500.0,3,100,0,0.0,1497.3333333333333,[[0.]],[[0.99999999]],0.0,7.9999999999996065,1.8301,0.0,0.0,2.994543940969977,0.004517306669986906,0.0,2.99184,[[0.99999999]],0.0
0.0,82.8950359244769,8.001983097359231,8.444558198884959,0.0,0.0,1.0,500.0,4,100,0,0.0,1497.7777777777778,[[0.]],[[0.99999999]],0.0,7.999999999999493,1.8301,0.0,0.0,2.9940969547427816,0.0045148870410023955,0.0,2.99516,[[0.99999999]],0.0
0.0,79.81932971008852,8.001947305508503,8.43387097964565,0.0,0.0,1.0,500.0,5,100,0,0.0,1484.3838383838383,[[0.]],[[0.99999999]],0.0,7.999999999999851,1.8301,0.0,0.0,2.987161623749207,0.0045445876205817025,0.0,2.97344,[[0.99999999]],0.0
0.0,70.30183442614607,8.001987619653269,8.445907585030831,0.0,0.0,1.0,500.0,6,100,0,0.0,1497.5555555555557,[[0.]],[[0.99999999]],0.0,8.000000000000405,1.8301,0.0,0.0,2.996288316968178,0.004511160603517411,0.0,2.99596,[[0.99999999]],0.0
0.0,79.57306238880633,8.00197481988767,8.442059959094848,0.0,0.0,1.0,500.0,7,100,0,0.0,1491.1919191919192,[[0.]],[[0.99999999]],0.0,7.999999999999548,1.8301,0.0,0.0,2.9951903309138803,0.00452172124458217,0.0,2.98604,[[0.99999999]],0.0
0.0,77.57025443443615,8.002030657100104,8.458872734269063,0.0,0.0,1.0,500.0,8,100,0,0.0,1505.3131313131314,[[0.]],[[0.99999999]],0.0,7.999999999999969,1.8301,0.0,0.0,3.010990826953812,0.004475999841896419,0.0,3.0132,[[0.99999999]],0.0
0.0,80.6996494735925,8.002017907563825,8.455023831269056,0.0,0.0,1.0,500.0,9,100,0,0.0,1504.969696969697,[[0.]],[[0.99999999]],0.0,8.000000000000444,1.8301,0.0,0.0,3.005472465753097,0.004486355488287686,0.0,3.00976,[[0.99999999]],0.0
0.0,70.35355783244871,8.001967041336334,8.439743451130825,0.0,0.0,1.0,500.0,10,100,0,0.0,1491.4747474747476,[[0.]],[[0.99999999]],0.0,8.000000000000291,1.8301,0.0,0.0,2.9921582578466666,0.0045281636229541865,0.0,2.9836,[[0.99999999]],0.0
0.0,66.23679590162202,8.001967847368531,8.439980875790603,0.0,0.0,1.0,500.0,11,100,0,0.0,1490.6666666666667,[[0.]],[[0.99999999]],0.0,8.000000000000423,1.8301,0.0,0.0,2.9928515568935254,0.00452749442581789,0.0,2.98328,[[0.99999999]],0.0
0.0,81.20077311537898,8.002044590853673,8.463126259568382,0.0,0.0,1.0,500.0,12,100,0,0.0,1512.1010101010102,[[0.]],[[0.99999999]],0.0,7.999999999999606,1.8301,0.0,0.0,3.012439168780011,0.0044647063509044285,0.0,3.02388,[[0.99999999]],0.0
0.0,82.86201825922934,8.002052546858037,8.465538258880537,0.0,0.0,1.0,500.0,13,100,0,0.0,1513.1313131313132,[[0.]],[[0.99999999]],0.0,7.999999999999574,1.8301,0.0,0.0,3.0167305107350906,0.004458303734746252,0.0,3.02484,[[0.99999999]],0.0
0.0,67.92000912865612,8.001995043477423,8.448124103080417,0.0,0.0,1.0,500.0,14,100,0,0.0,1498.7272727272727,[[0.]],[[0.99999999]],0.0,8.000000000000371,1.8301,0.0,0.0,3.0002116192028856,0.004505058601751123,0.0,2.9968,[[0.99999999]],0.0
0.0,84.60518267226088,8.00199663010629,8.448601077691075,0.0,0.0,1.0,500.0,15,100,0,0.0,1497.2323232323233,[[0.]],[[0.99999999]],0.0,8.000000000000185,1.8301,0.0,0.0,3.000638971952474,0.004503756268944615,0.0,2.9976,[[0.99999999]],0.0
0.0,74.47120114527767,8.002010583323571,8.452800650297744,0.0,0.0,1.0,500.0,16,100,0,0.0,1502.5858585858587,[[0.]],[[0.99999999]],0.0,8.000000000000242,1.8301,0.0,0.0,3.0050067990605283,0.004492335480994721,0.0,3.00376,[[0.99999999]],0.0
0.0,80.09792496638104,8.00196596588657,8.439424788020688,0.0,0.0,1.0,500.0,17,100,0,0.0,1490.828282828283,[[0.]],[[0.99999999]],0.0,7.99999999999993,1.8301,0.0,0.0,2.9915430343553475,0.0045290562951473025,0.0,2.98356,[[0.99999999]],0.0
0.0,70.5745598145034,8.00201999932354,8.455635268229992,0.0,0.0,1.0,500.0,18,100,0,0.0,1502.2828282828282,[[0.]],[[0.99999999]],0.0,7.999999999999658,1.8301,0.0,0.0,3.0092063793631705,0.004484664912363321,0.0,3.00608,[[0.99999999]],0.0
0.0,82.23949884259159,8.002012156334478,8.45327251264482,0.0,0.0,1.0,500.0,19,100,0,0.0,1502.909090909091,[[0.]],[[0.99999999]],0.0,7.99999999999984,1.8301,0.0,0.0,3.00588505196057,0.00449105273055296,0.0,3.00388,[[0.99999999]],0.0
