WeightMedian,RewardStd,TimestepsMean,NormDeltaOmega,DualAfter,RewardMean,DualBefore,WeightMin,Traj,ConfortViolation,ReturnsStd,Wins,OmegaBefore,WeightMax,Primal,ITERATIONS,WeightMean,NormDeltaVar,LossReg,ReturnsMean,DeltaOmega,TimestepsStd,Epsilon,Omega,DualReg,Eta
0.7992005157757163,2.4293016609717286,500.0,0.3095086067706688,2.5063554113732085,2.3312,6.491979545204359,0.7556482734265582,20,0,42.979863867408206,0.0,[[0.8]],1.0,2.5063555291327777,0,0.7556482734265582,20.34761963285834,0.0,1163.6842105263158,[[-0.30950861]],0.0,0.0025001,[[0.49049139]],0.0,35.69143582077824
0.8282182836690479,2.885312981289898,500.0,0.011513979312232359,2.771176795861927,2.563,7.718498060863111,0.7900980994975734,20,0,75.91758178694005,0.0,[[0.49049139]],1.0,2.771176796992992,1,0.7900980994975734,0.6585847899591558,0.0,1283.6842105263158,[[-0.01151398]],0.0,0.0025001,[[0.47897741]],0.0,42.445152383965194
0.8316424434682526,2.954640526358494,500.0,0.006673564889509764,2.817403547130045,2.6044,7.769224101467123,0.7941834036260156,20,0,67.0642805711942,0.0,[[0.47897741]],1.0,2.8174037488362593,2,0.7941834036260156,0.38225959160129164,0.0,1304.5263157894738,[[-0.00667356]],0.0,0.0025001,[[0.47230385]],0.0,43.39508240692471
0.8336721130567608,2.9964844401398114,500.0,0.006234065148547907,2.8749374594531973,2.659,7.826487024454967,0.7966069532018368,20,0,84.78475271904028,0.0,[[0.47230385]],1.0,2.874937459803502,3,0.7966069532018368,0.35759506995429224,0.0,1325.578947368421,[[-0.00623407]],0.0,0.0025001,[[0.46606978]],0.0,43.97655739170784
0.8364102783721544,3.05486480879269,500.0,0.006827748489609264,2.9210204899625083,2.701,7.882198622859198,0.7998788275495698,20,0,70.02033737014813,0.0,[[0.46606978]],1.0,2.921020491879222,4,0.7998788275495698,0.3923519244010121,0.0,1347.6842105263158,[[-0.00682775]],0.0,0.0025001,[[0.45924204]],0.0,44.78380048997946
0.8379574384323605,3.087602461457757,500.0,0.0014000574412856293,2.9375491458247405,2.7152,7.925812443710935,0.801728736946968,20,0,60.043013206392686,0.0,[[0.45924204]],1.0,2.9375491503607667,5,0.801728736946968,0.08055711974161195,0.0,1364.3157894736842,[[-0.00140006]],0.0,0.0025001,[[0.45784198]],0.0,45.25194804791112
0.8342056081251834,3.0068082745662386,500.0,0.009424923202123958,2.8646907896733884,2.648,7.8406588025571216,0.7972442239349448,20,0,70.14144790836185,0.0,[[0.45784198]],1.0,2.864690790038115,6,0.7972442239349448,0.5416217122679194,0.0,1322.421052631579,[[0.00942492]],0.0,0.0025001,[[0.4672669]],0.0,44.131752714902234
0.8356998943336693,3.0396683437506797,500.0,0.005900945871129548,2.8995528421641428,2.6806,7.86008506301638,0.7990297215125153,20,0,98.76040567217136,0.0,[[0.4672669]],1.0,2.8995528434240736,7,0.7990297215125153,0.3389263565706502,0.0,1340.5263157894738,[[-0.00590095]],0.0,0.0025001,[[0.46136596]],0.0,44.571793880608595
0.8402764200151995,3.1409343769012437,500.0,0.013789329413072371,2.994231675018277,2.7682,7.963269795149733,0.8045030975416562,20,0,71.05879115601402,0.0,[[0.46136596]],1.0,2.9942316902222923,8,0.8045030975416562,0.7945973172314456,0.0,1383.2631578947369,[[-0.01378933]],0.0,0.0025001,[[0.44757663]],0.0,45.970573016892644
0.8390622696895185,3.112345456404221,500.0,0.0064596070665493555,2.9716738619122314,2.7476,7.954839524294956,0.8030502851311885,20,0,84.5625536793003,0.0,[[0.44757663]],1.0,2.9716738700755716,9,0.8030502851311885,0.3727613168317401,0.0,1372.7368421052631,[[0.00645961]],0.0,0.0025001,[[0.45403623]],0.0,45.591746476751744
