LossReg,Wins,Traj,DualAfter,NormDeltaOmega,Epsilon,DualBefore,NormDeltaVar,WeightMax,RewardStd,OmegaBefore,WeightMin,Omega,Eta,ReturnsStd,RewardMean,WeightMedian,TimestepsMean,ConfortViolation,DeltaOmega,Primal,WeightMean,ReturnsMean,TimestepsStd,ITERATIONS,DualReg
0.0,0.0,100,6.317290751377316,0.05377961875454795,0.8901,7.3482978094227915,5.4037685356952885,1.0,2.389132617164648,[[0.8]],0.017305484403818648,[[0.85377962]],2.4650384762840045,66.79818676679098,2.31376,0.03895354689163797,500.0,0,[[0.05377962]],6.3172884179033755,0.017305484403818648,1157.111111111111,0.0,0,0.0
0.0,0.0,100,6.486281529038559,0.041163988882828906,0.8901,7.301038802821825,5.395789619128731,1.0,2.520041942190645,[[0.85377962]],0.015460019154012617,[[0.89494361]],2.3983702612339055,67.18726637072822,2.43436,0.035593280906930286,500.0,0,[[0.04116399]],6.486277861609984,0.015460019154012617,1216.949494949495,0.0,1,0.0
0.0,0.0,100,6.639733296821218,0.02546681857815203,0.8901,7.285598265039161,4.366759319903064,1.0,2.63336776497321,[[0.89494361]],0.01386141668617133,[[0.92041043]],2.337187937809868,66.10837552504024,2.54488,0.032617156333290175,500.0,0,[[0.02546682]],6.639729647668977,0.01386141668617133,1272.3838383838383,0.0,2,0.0
0.0,0.0,100,6.746008216845434,0.012629641114090595,0.8901,7.294961877802365,2.6631019933268902,1.0,2.704491491131004,[[0.92041043]],0.012804238720154903,[[0.93304007]],2.2946416149515887,65.95498924312403,2.62588,0.030611387146071582,500.0,0,[[0.01262964]],6.7460078068385485,0.012804238720154903,1313.3333333333333,0.0,3,0.0
0.0,0.0,100,6.794143932485909,0.006075492190258602,0.8901,7.306092893818794,1.4515309314221199,1.0,2.740389344600507,[[0.93304007]],0.012414845132977902,[[0.93911556]],2.2784947984992434,68.82175110501547,2.6568,0.029864348513152145,500.0,0,[[0.00607549]],6.794143963496539,0.012414845132977902,1328.969696969697,0.0,4,0.0
0.0,0.0,100,6.859285251467048,0.004322877202843856,0.8901,7.339072284338533,1.1177223317278475,1.0,2.7760558369024206,[[0.93911556]],0.011996439491872988,[[0.94343844]],2.2608345726485792,70.80821625658885,2.70648,0.02905640593776164,500.0,0,[[0.00432288]],6.859282440877685,0.011996439491872988,1353.2121212121212,0.0,5,0.0
0.0,0.0,100,6.867241380331853,0.0013078290600621045,0.8901,7.333508325356771,0.3539858794838082,1.0,2.782859489374194,[[0.94343844]],0.011817792873998765,[[0.94474627]],2.253191583196443,70.74500569678152,2.71432,0.028709729404548495,500.0,0,[[0.00130783]],6.867241372184772,0.011817792873998765,1357.8181818181818,0.0,6,0.0
0.0,0.0,100,6.874161984556899,3.21453943468164e-05,0.8901,7.338035534608826,0.008799598813482135,1.0,2.7848047431732086,[[0.94474627]],0.0117695249177993,[[0.94477841]],2.2511156810067807,78.0430894038255,2.72132,0.02861588265023332,500.0,0,[[3.21453943e-05]],6.8741619795782585,0.0117695249177993,1361.2323232323233,0.0,7,0.0
0.0,0.0,100,6.871891248740122,0.0008602928060186255,0.8901,7.3340609396368315,0.23731014670577366,1.0,2.7876760141738135,[[0.94477841]],0.011778440208504291,[[0.9456387]],2.251499460532579,76.54639026276126,2.7162,0.02863322231994834,500.0,0,[[0.00086029]],6.871894892525866,0.011778440208504291,1357.939393939394,0.0,8,0.0
0.0,0.0,100,6.849532231081222,0.0017284156687090713,0.8901,7.324312770570659,0.47327744694345597,1.0,2.774420206385471,[[0.9456387]],0.011945517392088982,[[0.94391029]],2.2586623846254223,69.88938452131693,2.69928,0.028957693826798334,500.0,0,[[-0.00172842]],6.849532116559909,0.011945517392088982,1349.7171717171718,0.0,9,0.0
