NormDeltaVar,DeltaOmega,LossReg,NormDeltaOmega,ReturnsMean,RewardMean,DualBefore,WeightMin,DualReg,Traj,Primal,ConfortViolation,Eta,Epsilon,WeightMean,TimestepsStd,Wins,WeightMax,RewardStd,Omega,OmegaBefore,DualAfter,ITERATIONS,WeightMedian,TimestepsMean,ReturnsStd
0.09294288776339185,-0.03369626581769847,0.0,0.03369626581769847,146.48564517957405,6.417408619298901,6.676974739003252,0.5948632568778246,0.0001,2191,6.5290863511041435,0,13.769580263024345,0.001,0.5948632568778246,12.257636077535302,0.0,1.0,1.380299421353636,7.9663037341823015,8.0,6.510127621844649,0,0.9696853500637725,22.826027397260273,82.57775950562579
0.1548014373047493,-0.0330473736753758,0.0,0.0330473736753758,148.64422004167778,6.445062974617344,6.703163740823584,0.5957009870039016,0.0001,2168,6.556502264997548,0,13.74871679491584,0.001,0.5957009870039016,12.058814848871101,0.0,1.0,1.378661386562283,7.933256360506926,7.9663037341823015,6.537600939440314,1,0.9736333719393273,23.063221042916474,81.55932026277618
0.06564370516353912,-0.03372857155771403,0.0,0.03372857155771403,152.38913859206045,6.477579968232721,6.731980154343213,0.5933001139658435,0.0001,2126,6.5881494601435815,0,13.679881321829685,0.001,0.5933001139658435,12.93200047734382,0.0,1.0,1.3713659653926502,7.899527788949212,7.933256360506926,6.569436938149378,2,0.974092096529895,23.52564705882353,87.8366705273909
0.07531768072544409,-0.033985028837744125,0.0,0.033985028837744125,153.16966927322116,6.501433718008074,6.756640067357379,0.5919215535972289,0.0001,2123,6.612400729642107,0,13.707176350674326,0.001,0.5919215535972289,12.966116547077164,0.0,1.0,1.375439752923199,7.865542760111468,7.899527788949212,6.5936134508228905,3,0.972611360122305,23.55937794533459,88.35481831557237
0.11419353340645771,-0.03200065330048041,0.0,0.03200065330048041,155.83333706255618,6.530468924239011,6.783466287199208,0.5888006891889002,0.0001,2096,6.640984221729157,0,13.670089327517754,0.001,0.5888006891889002,12.985597980947599,0.0,1.0,1.3718869656198802,7.833542106810987,7.865542760111468,6.6222988467485155,4,0.9706945446227041,23.86348448687351,88.7898303789203
0.05848858600583563,-0.032423899962569,0.0,0.032423899962569,163.00453731570786,6.56758469735231,6.812192880691013,0.5857619227528592,0.0001,2015,6.675831762671784,0,13.494480109453283,0.001,0.5857619227528592,13.46308597407196,0.0,1.0,1.3518660964089133,7.801118206848418,7.833542106810987,6.657623449741027,5,0.9739142909015867,24.82025819265144,92.43631118177929
0.03102301345422391,-0.032107260315491715,0.0,0.032107260315491715,163.55277647645244,6.5893460590262904,6.835195086235266,0.5847073462921154,0.0001,2015,6.6980935025547526,0,13.53019248133763,0.001,0.5847073462921154,13.650996239763924,0.0,1.0,1.3568486542593228,7.7690109465329265,7.801118206848418,6.6797886699371825,6,0.972604093535994,24.82075471698113,94.01849765588923
0.2947991122988918,-0.03126814508314002,0.0,0.03126814508314002,166.41140675602344,6.61633319624638,6.859870360287217,0.5819894314073475,0.0001,1988,6.724575802915389,0,13.48881749732571,0.001,0.5819894314073475,14.391361057905486,0.0,1.0,1.3527513373416706,7.737742801449786,7.7690109465329265,6.706382759360786,7,0.9713446529329297,25.151987921489685,99.4434118134403
0.015444472522326955,-0.03217737166674617,0.0,0.03217737166674617,169.3988961456705,6.644174168287119,6.885801779357526,0.5785058526378787,0.0001,1962,6.7519884624773425,0,13.453316880131684,0.001,0.5785058526378787,14.449903139563261,0.0,1.0,1.3493301673527662,7.70556542978304,7.737742801449786,6.733891067517468,8,0.9686900040425602,25.49566547679755,100.22291782039649
0.14291093346925265,-0.03162027767194164,0.0,0.03162027767194164,172.37014385494453,6.6718683670271,6.911231763118598,0.5755349545359462,0.0001,1936,6.779209413968857,0,13.413992582958807,0.001,0.5755349545359462,15.116779019537816,0.0,1.0,1.3455416317465165,7.673945152111099,7.70556542978304,6.761217666151841,9,0.966899751843346,25.83514211886305,105.18750825207954
0.15152014894732874,-0.030540137567853343,0.0,0.030540137567853343,175.50892699139425,6.700291651308745,6.937279781202349,0.5771738692439915,0.0001,1908,6.807093367252976,0,13.36961017617378,0.001,0.5771738692439915,15.456466993991942,0.0,1.0,1.3411277015135774,7.643405014543245,7.673945152111099,6.789220489989252,10,0.9732089045676067,26.194546407970634,107.97193096149434
0.14901570410455667,-0.02903207492885862,0.0,0.02903207492885862,178.7268406720068,6.722805359804908,6.957184017164844,0.57506960347229,0.0001,1879,6.828895235268705,0,13.31280051779311,0.001,0.57506960347229,15.490341085151258,0.0,1.0,1.334962035654933,7.614372939614387,7.643405014543245,6.811173950507605,11,0.9732433482169629,26.586794462193822,108.45644940789306
0.08590147249941273,-0.028661384877819884,0.0,0.028661384877819884,182.6472855097243,6.748383580935498,6.979629003033771,0.5717886618183712,0.0001,1846,6.8536576208118,0,13.2472298855768,0.001,0.5717886618183712,16.413820813815313,0.0,1.0,1.3279158739665762,7.585711554736567,7.614372939614387,6.83611049773823,12,0.9718228992455303,27.06612466124661,115.1632779469933
0.01854873937071874,-0.029071323911677993,0.0,0.029071323911677993,188.37023508451188,6.777744127805624,7.004182616877757,0.5688823195828431,0.0001,1800,6.881704272977873,0,13.14234365546267,0.001,0.5688823195828431,16.721274687965277,0.0,1.0,1.3163206397538767,7.556640230824889,7.585711554736567,6.864433952795945,13,0.972727640915976,27.792106725958867,117.79352043481195
