NormDeltaOmega,RewardStd,Primal,NormDeltaVar,WeightMean,DualBefore,DeltaOmega,RewardMean,DualReg,WeightMax,ReturnsStd,ReturnsMean,Traj,TimestepsMean,Omega,Eta,Epsilon,WeightMedian,TimestepsStd,DualAfter,OmegaBefore,ITERATIONS,WeightMin,LossReg,ConfortViolation,Wins
0.12893187710983112,2.417787211480779,7.186053422141258,16.915745019629117,0.006806174528754564,7.731641602699226,[[0.12893188]],2.345,0.0,1.0,59.33320608179281,1172.7070707070707,100,500.0,[[0.92893188]],2.004038112802793,1.2601,0.018463858580410584,0.0,7.186054091953464,[[0.8]],0,0.006806174528754564,0.0,0,0.0
0.04653791532483609,2.733533798144812,7.523362478309045,15.894533727491066,0.002801860486109745,7.68366146936655,[[0.04653792]],2.65412,0.0,1.0,72.85243998966479,1327.4343434343434,100,500.0,[[0.97546979]],1.7014118725208154,1.2601,0.009077310792110905,0.0,7.523365633157239,[[0.92893188]],1,0.002801860486109745,0.0,0,0.0
0.012751820869548736,2.888066038026139,7.718187641825348,10.666098401659333,0.0013269073374769318,7.777403319150757,[[0.01275182]],2.8384,0.0,1.0,75.88266037170307,1418.060606060606,100,500.0,[[0.98822161]],1.5094557543285412,1.2601,0.004991975859726882,0.0,7.718187269715499,[[0.97546979]],2,0.0013269073374769318,0.0,0,0.0
0.0036687337260614683,2.945501960345639,7.7912689814326175,5.384524651112905,0.0008595214822900397,7.824689492160563,[[0.00366873]],2.91504,0.0,1.0,80.7482455239013,1458.060606060606,100,500.0,[[0.99189035]],1.416604211281365,1.2601,0.0035269994219810277,0.0,7.791270317414817,[[0.98822161]],3,0.0008595214822900397,0.0,0,0.0
0.0009287173749018551,2.9619066032540595,7.814536795827048,1.7508752714546887,0.0007361867339988441,7.841898148431977,[[0.00092872]],2.94144,0.0,1.0,77.53621677476725,1470.6464646464647,100,500.0,[[0.99281906]],1.386188371238391,1.2601,0.003115949351636081,0.0,7.814537213208199,[[0.99189035]],4,0.0007361867339988441,0.0,0,0.0
0.0016730505921143113,2.9918933005038792,7.854870812833321,3.8133244445734675,0.0023514792196664765,7.87183986420232,[[0.00167305]],2.99028,0.0,1.0,74.30379377947985,1494.3434343434344,100,500.0,[[0.99449211]],1.3217218540385518,1.2601,0.010678391982155446,0.0,7.854870390123067,[[0.99281906]],5,0.0023514792196664765,0.0,0,0.0
0.0006902008963377559,2.9788838328474645,7.838639056897249,1.6964868635747052,0.0006025729007889009,7.859564727392252,[[-0.0006902]],2.97152,0.0,1.0,73.70132784384779,1486.7474747474748,100,500.0,[[0.99380191]],1.348744646650924,1.2601,0.002654652488769832,0.0,7.8386390949747575,[[0.99449211]],6,0.0006025729007889009,0.0,0,0.0
0.00019120733158106695,2.9760413843896725,7.8314714849236875,0.4367936666447747,0.0027752088085485965,7.85391489914535,[[-0.00019121]],2.96028,0.0,1.0,95.81575183743773,1479.3737373737374,100,500.0,[[0.99361071]],1.358919687373033,1.2601,0.012091265262183052,0.0,7.831471570312768,[[0.99380191]],7,0.0027752088085485965,0.0,0,0.0
2.8193144428256822e-05,2.977366694513795,7.8320083108582415,0.06358141212089663,0.0006394605320960958,7.854591701571152,[[2.81931444e-05]],2.95892,0.0,1.0,79.2341724012732,1479.1919191919192,100,500.0,[[0.9936389]],1.3596404442122372,1.2601,0.0027838831077983657,0.0,7.832008400038573,[[0.99361071]],8,0.0006394605320960958,0.0,0,0.0
0.0003365322264250459,2.982532226414327,7.842198903059875,0.7813458420273776,0.0005854499814920458,7.862307396891403,[[0.00033653]],2.97428,0.0,1.0,77.6245795444596,1488.20202020202,100,500.0,[[0.99397543]],1.3435208385342778,1.2601,0.0025941306040845598,0.0,7.842198925009772,[[0.9936389]],9,0.0005854499814920458,0.0,0,0.0
0.0012889272409202235,2.95893414080138,7.810167964673583,2.788187345588213,0.0007503331867997195,7.838117133128147,[[-0.00128893]],2.93748,0.0,1.0,80.85593532523534,1469.2121212121212,100,500.0,[[0.9926865]],1.3898553786800634,1.2601,0.003163758495601819,0.0,7.8101684591018845,[[0.99397543]],10,0.0007503331867997195,0.0,0,0.0
0.0008794946935791748,2.974036168172808,7.832539542941442,1.8430053624576033,0.0027471502158504255,7.8546654519818695,[[0.00087949]],2.96552,0.0,1.0,77.47817937165965,1483.79797979798,100,500.0,[[0.993566]],1.356578028856587,1.2601,0.011999462854479052,0.0,7.832539617114645,[[0.9926865]],11,0.0027471502158504255,0.0,0,0.0
7.0639691652441e-05,2.975728580095973,7.834930511100302,0.1587276360643699,0.0006210350065626977,7.85672950531522,[[7.06396917e-05]],2.96776,0.0,1.0,83.55362618173754,1483.2727272727273,100,500.0,[[0.99363664]],1.3542569450676951,1.2601,0.0027195238066800046,0.0,7.834930573092716,[[0.993566]],12,0.0006210350065626977,0.0,0,0.0
0.0005044126831996731,2.9863306190708356,7.84563101502129,1.187058508112571,0.0005692157048886653,7.864960500525445,[[0.00050441]],2.97656,0.0,1.0,82.62013264164298,1488.5454545454545,100,500.0,[[0.99414105]],1.3384639151940265,1.2601,0.002536421928194988,0.0,7.845625277244412,[[0.99363664]],13,0.0005692157048886653,0.0,0,0.0
0.0005974744698291623,2.974780564949287,7.829862903377576,1.3958068242312436,0.0028036860061947753,7.852693254554845,[[-0.00059747]],2.95852,0.0,1.0,78.15621432338912,1478.989898989899,100,500.0,[[0.99354358]],1.3612803516249854,1.2601,0.012184200316657911,0.0,7.829863004761186,[[0.99414105]],14,0.0028036860061947753,0.0,0,0.0
0.00018748450717476217,2.9705087575026607,7.8276245736704055,0.41162205665415286,0.000658542267438838,7.8511917833839355,[[-0.00018748]],2.95904,0.0,1.0,79.81259040262294,1478.3030303030303,100,500.0,[[0.99335609]],1.3650979147682387,1.2601,0.0028501447939167507,0.0,7.827624708948895,[[0.99354358]],15,0.000658542267438838,0.0,0,0.0
0.0009013101818412528,2.987421478399056,7.84907836723423,2.095651507755136,0.0024549499948753363,7.86735177551006,[[0.00090131]],2.98348,0.0,1.0,74.66534390362716,1491.5555555555557,100,500.0,[[0.9942574]],1.3311925789539811,1.2601,0.011028894637004728,0.0,7.84907573032642,[[0.99335609]],16,0.0024549499948753363,0.0,0,0.0
1.3389311513734015e-05,2.988562724789292,7.8475920383437545,0.03346186667153006,0.0005600070414630107,7.8664845440005395,[[-1.33893115e-05]],2.9778,0.0,1.0,78.22155438399275,1487.878787878788,100,500.0,[[0.99424401]],1.335548349125392,1.2601,0.0025035414732640423,0.0,7.8475877813766814,[[0.9942574]],17,0.0005600070414630107,0.0,0,0.0
9.448815725465742e-05,2.985587221569653,7.847266329068927,0.2339627572641234,0.0005593791657070173,7.866180217686843,[[-9.44881573e-05]],2.98132,0.0,1.0,82.14645703887906,1492.6666666666667,100,500.0,[[0.99414953]],1.3353482809688584,1.2601,0.002501295659622995,0.0,7.8472619331970135,[[0.99424401]],18,0.0005593791657070173,0.0,0,0.0
2.8094442979242906e-05,2.9858296149646586,7.847209350306983,0.06917008509641676,0.002487854605441225,7.86590586244462,[[2.8094443e-05]],2.98152,0.0,1.0,84.80231548105195,1491.959595959596,100,500.0,[[0.99417762]],1.3341483769977023,1.2601,0.011139578207233993,0.0,7.847205576170242,[[0.99414953]],19,0.002487854605441225,0.0,0,0.0
