OmegaBefore,RewardStd,NormDeltaOmega,ConfortViolation,Omega,TimestepsMean,Wins,TimestepsStd,ITERATIONS,Traj,DeltaOmega,RewardMean,ReturnsStd,ReturnsMean,NormDeltaVar
8.0,1.3950676438344103,0.10000000148916666,0,7.899999998510833,22.292,0.0,12.758947291998663,0,250,-0.10000000148916666,6.4056178006817905,85.66187358554964,142.79403201279848,0.3162277669837587
7.899999998510833,1.2930243484335426,0.0985159404903806,0,7.801484058020453,26.828,0.0,15.73653125691936,1,250,-0.0985159404903806,6.534461944864596,107.38479406982718,175.30654505682736,0.29986340304913023
7.801484058020453,1.1900693923820231,0.09758842618109043,0,7.703895631839362,32.672,0.0,18.076626233896633,2,250,-0.09758842618109043,6.653098259345391,124.79040650280407,217.3700263293326,0.2979025353371142
7.703895631839362,1.1361350540471096,0.09810805251537413,0,7.605787579323988,36.796,0.0,19.525429163017133,3,250,-0.09810805251537413,6.7521339305050585,136.39065592493273,248.45152010686417,0.2761011055671295
7.605787579323988,1.1271301007980499,0.09880409802390577,0,7.506983481300082,38.26,0.0,20.11547662870557,4,250,-0.09880409802390577,6.830567641861932,142.116953240335,261.3375179776375,0.26927283825804177
7.506983481300082,1.051397918278923,0.09855185564778957,0,7.408431625652293,45.216,0.0,21.973651130387957,5,250,-0.09855185564778957,6.937673851943803,157.1948894369102,313.6938608894909,0.2617247660189742
7.408431625652293,1.0495606934889194,0.0996676563184602,0,7.308763969333833,46.328,0.0,19.94102344414649,6,250,-0.0996676563184602,7.012080065740157,144.2354140716158,324.85564528560997,0.2449953292542467
7.308763969333833,1.018302536135654,0.10002888695515999,0,7.208735082378673,50.416,0.0,22.727493130567655,7,250,-0.10002888695515999,7.097347126760353,166.2263916789667,357.81985274274996,0.22177815391695993
7.208735082378673,1.0159798687954826,0.10108615279773758,0,7.107648929580935,51.68,0.0,21.777088877992853,8,250,-0.10108615279773758,7.173511482212383,160.84563116872752,370.72707340073595,0.21038107543084653
7.107648929580935,0.9972051426800638,0.10204617155429752,0,7.005602758026638,54.8,0.0,23.897112796319142,9,250,-0.10204617155429752,7.253326114745313,178.1704478250791,397.48227108804315,0.20482978934289411
7.005602758026638,0.9650616491866572,0.10305392022015081,0,6.902548837806487,59.584,0.4,25.29701452741015,10,250,-0.10305392022015081,7.337742256108369,190.73848476852137,437.21203458796106,0.20560944583862864
6.902548837806487,0.9654982398008387,0.10406775963104575,0,6.798481078175441,60.892,0.0,24.23980891013789,11,250,-0.10406775963104575,7.4065152880046545,184.40707204479912,450.9975289171795,0.20828684736418404
6.798481078175441,0.9642270623782437,0.10507062264829337,0,6.693410455527148,62.276,0.0,26.973020298068217,12,250,-0.10507062264829337,7.481958404912238,207.21402005312126,465.9464416243145,0.22209941007741885
6.693410455527148,0.9527745852220728,0.10605550882535297,0,6.587354946701795,64.74,0.4,27.038498479020614,13,250,-0.10605550882535297,7.554868676973217,209.73987420739596,489.10219814724604,0.23554337364758376
6.587354946701795,0.9232008417488985,0.10711573187110446,0,6.48023921483069,70.684,0.0,26.688726908565723,14,250,-0.10711573187110446,7.636734154795093,208.62296907491228,539.7949169975363,0.24768203155370133
6.48023921483069,0.885862848532957,0.10801908808805649,0,6.372220126742634,78.156,0.4,30.81005783830988,15,250,-0.10801908808805649,7.719150091230754,243.6478359716679,603.2978945302308,0.25607704415106886
6.372220126742634,0.8650177287274794,0.10912442983658277,0,6.263095696906051,83.14,0.8,33.93016946612557,16,250,-0.10912442983658277,7.789810831258311,270.06300132973524,647.644872510816,0.2660031756946084
6.263095696906051,0.8206000106924253,0.11019298951126455,0,6.152902707394786,93.54,1.6,35.15304254257375,17,250,-0.11019298951126455,7.870459214564318,282.5764028420365,736.2027549303463,0.2725203747858997
6.152902707394786,0.7733326984582777,0.1109506546854977,0,6.041952052709289,105.432,3.5999999999999996,37.17447210116104,18,250,-0.1109506546854977,7.9496589060004546,302.00761156448016,838.1484377774401,0.27932500157411677
6.041952052709289,0.6966765824875805,0.11195573661918878,0,5.9299963160901,126.464,8.4,42.39283788566177,19,250,-0.11195573661918878,8.035959437360356,347.8252733572518,1016.25957428634,0.2701674535711394
5.9299963160901,0.5994520617659789,0.1132398732053117,0,5.816756442884788,148.256,22.400000000000002,44.64157774989589,20,250,-0.1132398732053117,8.125875907422337,371.4007216681646,1204.7098585308058,0.27899509311826554
5.816756442884788,0.5012359532802062,0.11435005968477796,0,5.70240638320001,167.048,40.400000000000006,38.68919352997682,21,250,-0.11435005968477796,8.22263102030763,326.1178172512108,1373.5740666803492,0.2806566150972291
5.70240638320001,0.3904290232423481,0.11529284296590259,0,5.587113540234108,180.392,62.4,34.52926781731695,22,250,-0.11529284296590259,8.303184445345725,292.3657244266812,1497.828048464806,0.2677497570170106
5.587113540234108,0.38463246642893256,0.11598455511802985,0,5.471128985116078,180.832,64.4,33.88999521982852,23,250,-0.11598455511802985,8.360252888112159,289.13125485016326,1511.8012502630977,0.24629726673443048
5.471128985116078,0.4508053762245546,0.11684703427406706,0,5.354281950842011,173.832,52.800000000000004,37.24539939375063,24,250,-0.11684703427406706,8.417413757808761,319.58440101668924,1463.2158683474129,0.23521227054231222
5.354281950842011,0.44454859526078777,0.11780906444197559,0,5.236472886400035,175.236,54.400000000000006,35.75422078580374,25,250,-0.11780906444197559,8.485016985759135,309.7085025240119,1486.8804365164879,0.22391072995057845
