OmegaBefore,Wins,NormDeltaOmega,DeltaOmega,DualReg,TimestepsStd,WeightMin,DualBefore,LossReg,ReturnsStd,RewardMean,NormDeltaVar,WeightMean,Eta,RewardStd,ConfortViolation,ITERATIONS,Epsilon,Omega,ReturnsMean,TimestepsMean,DualAfter,WeightMedian,WeightMax,Primal,Traj
[[0.97156508]],0.0,8.883378714807932e-05,[[8.88337871e-05]],0.0,0.0,0.005353592905014484,7.536662394085425,0.0,77.74266806376748,2.7982,0.0460061163694192,0.005353592905014484,1.9120505056444095,2.8658117104932064,0,10,1.05,[[0.97165391]],1400.842105263158,500.0,7.315796327618855,0.015237589691505163,1.0,7.31579691761435,20
[[0.97165391]],0.0,0.001718503751436784,[[0.0017185]],0.0,0.0,0.005125117011291219,7.564731165940701,0.0,65.64607529941198,2.8306,0.9186917154446874,0.005125117011291219,1.896237172712372,2.888200761720002,0,11,1.05,[[0.97337241]],1411.4736842105262,500.0,7.3557893332899535,0.014715093574442652,1.0,7.355789392218963,20
[[0.97337241]],0.0,0.0009890683477931095,[[0.00098907]],0.0,0.0,0.004845816995573637,7.576674290422651,0.0,75.39149896602063,2.862,0.5552505351116679,0.004845816995573637,1.8762995410160912,2.9002337836802052,0,12,1.05,[[0.97436148]],1429.2631578947369,500.0,7.3826164108803045,0.0140699841121866,1.0,7.382616845481755,20
[[0.97436148]],0.0,0.0012092494929877295,[[0.00120925]],0.0,0.0,0.004810370802265323,7.590821898301332,0.0,60.76082715322011,2.8672,0.7079169352715482,0.004810370802265323,1.8737184557522222,2.9145092485699884,0,13,1.05,[[0.97557073]],1431.2631578947369,500.0,7.398954653272012,0.01398758838687134,1.0,7.398955074046857,20
[[0.97557073]],0.0,0.0012823418414864562,[[0.00128234]],0.0,0.0,0.004615185657517699,7.602594539153967,0.0,64.67271106723997,2.8872,0.7890502338080481,0.004615185657517699,1.8592879076427271,2.9290401431185606,0,14,1.05,[[0.97685307]],1446.421052631579,500.0,7.421405969783926,0.013531668225311617,1.0,7.421406889107269,20
[[0.97685307]],0.0,0.0021106788637264007,[[-0.00211068]],0.0,0.0,0.004898864753195523,7.57489788096902,0.0,75.05300066344621,2.8524,1.2775476077395354,0.004898864753195523,1.880140380040061,2.9030697959229297,0,15,1.05,[[0.97474239]],1422.3157894736842,500.0,7.379031957106218,0.014193070492284,1.0,7.379032374746389,20
[[0.97474239]],0.0,8.65174596335061e-05,[[-8.65174596e-05]],0.0,0.0,0.004720106762094015,7.593032647188458,0.0,73.1426716459856,2.8848,0.05011874438613262,0.004720106762094015,1.8670915159290438,2.9072889364492136,0,16,1.05,[[0.97465588]],1446.2105263157894,500.0,7.403913440247145,0.013777215687201336,1.0,7.403913864066724,20
[[0.97465588]],0.0,0.001045692017694888,[[-0.00104569]],0.0,0.0,0.014210885858607691,7.562295187772605,0.0,54.72833942057873,2.8508,0.5929247181278257,0.014210885858607691,1.8806948328568376,2.8897299804653027,0,17,1.05,[[0.97361018]],1426.421052631579,500.0,7.365523501749443,0.04115909939960484,1.0,7.365523973676879,20
[[0.97361018]],0.0,0.0022173467964066162,[[-0.00221735]],0.0,0.0,0.005359020603178172,7.543817087557502,0.0,68.45003434780779,2.804,1.1851286024209315,0.005359020603178172,1.912421043990121,2.865795526551048,0,18,1.05,[[0.97139284]],1401.4736842105262,500.0,7.321312375114418,0.015249947247631387,1.0,7.321312424988612,20
[[0.97139284]],0.0,0.003826559628428372,[[0.00382656]],0.0,0.0,0.0046712688330718425,7.586042561311385,0.0,65.60268219636556,2.8812,2.1075347218437486,0.0046712688330718425,1.863472832338063,2.9104443921848087,0,19,1.05,[[0.9752194]],1439.157894736842,500.0,7.401329848391423,0.013663057292446488,1.0,7.401330718817899,20
