OmegaBefore,Wins,NormDeltaOmega,DeltaOmega,DualReg,TimestepsStd,WeightMin,DualBefore,LossReg,ReturnsStd,RewardMean,NormDeltaVar,WeightMean,Eta,RewardStd,ConfortViolation,ITERATIONS,Epsilon,Omega,ReturnsMean,TimestepsMean,DualAfter,WeightMedian,WeightMax,Primal,Traj
[[0.8]],0.0,0.1041712337134878,[[0.10417123]],0.0,0.0,0.012167329556517507,7.658001141679057,0.0,59.52740936219181,2.3926,12.259449783827886,0.012167329556517507,2.2680875776997502,2.4822298926570037,0,0,1.05,[[0.90417123]],1196.5263157894738,500.0,6.86977246186502,0.029387065231522666,1.0,6.869772428436558,20
[[0.90417123]],0.0,0.04308284422146502,[[0.04308284]],0.0,0.0,0.007932109423393764,7.446826723065571,0.0,55.065008169015464,2.5742,9.194643519757136,0.007932109423393764,2.0674671283236803,2.663286383399277,0,1,1.05,[[0.94725408]],1288.9473684210527,500.0,7.0313634685678315,0.020869447772577716,1.0,7.031364175569552,20
[[0.94725408]],0.0,0.014357138214741494,[[0.01435714]],0.0,0.0,0.00670183172464139,7.464533652122744,0.0,46.35787561546525,2.6612,4.753771509928235,0.00670183172464139,1.9978525489664365,2.7652874280985693,0,2,1.05,[[0.96161122]],1328.0,500.0,7.1549924903254265,0.018237059507018056,1.0,7.154991260234404,20
[[0.96161122]],0.0,0.005474774568351437,[[0.00547477]],0.0,0.0,0.005882109102435527,7.49637074182815,0.0,67.81186292576398,2.741,2.2792019643674806,0.005882109102435527,1.9471011973146612,2.8181055693497363,0,3,1.05,[[0.96708599]],1373.157894736842,500.0,7.242450949707418,0.01642957996480617,1.0,7.24245282668298,20
[[0.96708599]],0.0,0.006233999597366702,[[0.006234]],0.0,0.0,0.004942691917641062,7.579401997764804,0.0,87.64660847881872,2.8604,3.091561118724627,0.004942691917641062,1.883294083548852,2.892146579964439,0,4,1.05,[[0.97331999]],1426.421052631579,500.0,7.378120805891314,0.014294561355054818,1.0,7.3781209074112795,20
[[0.97331999]],0.0,0.0004646535226321413,[[-0.00046465]],0.0,0.0,0.0050888947942459494,7.552692077291005,0.0,84.199209765934,2.8298,0.2534768622058152,0.0050888947942459494,1.893690271539407,2.8803874669912033,0,5,1.05,[[0.97285534]],1423.578947368421,500.0,7.346140970946485,0.014631834426505626,1.0,7.346141132453509,20
[[0.97285534]],0.0,0.0006995775966419648,[[0.00069958]],0.0,0.0,0.014055905828472442,7.56628340205861,0.0,86.59543915878304,2.8608,0.38327081583095435,0.014055905828472442,1.8758591019102568,2.8907824823047488,0,6,1.05,[[0.97355491]],1434.421052631579,500.0,7.372469814908464,0.04082198597015057,1.0,7.372470366778641,20
[[0.97355491]],0.0,0.0029037977138227644,[[-0.0029038]],0.0,0.0,0.005463636409209971,7.530494731128924,0.0,76.52421628916143,2.7886,1.5310184100814368,0.005463636409209971,1.919518172598081,2.8556102745297722,0,7,1.05,[[0.97065112]],1394.2105263157894,500.0,7.302467204588591,0.0154876466751935,1.0,7.302470214226871,20
[[0.97065112]],0.0,0.0010509242564539223,[[0.00105092]],0.0,0.0,0.005158388130026744,7.5446574674438045,0.0,51.42705885301499,2.8238,0.5363846996752315,0.005158388130026744,1.8985667454291006,2.8691729749180332,0,8,1.05,[[0.97170204]],1416.3157894736842,500.0,7.333416159206902,0.01479146578095898,1.0,7.333416234169865,20
[[0.97170204]],0.0,0.00013696551858088934,[[-0.00013697]],0.0,0.0,0.005346579829525524,7.54516277424747,0.0,92.41158085980518,2.8052,0.07099154974841326,0.005346579829525524,1.9115713929640235,2.8675517362377265,0,9,1.05,[[0.97156508]],1404.3157894736842,500.0,7.32348164342323,0.0152216189033304,1.0,7.323481732223126,20
