TimestepsStd,Traj,RewardMean,TimestepsMean,DualReg,WeightMin,Wins,Epsilon,NormDeltaVar,ReturnsMean,RewardStd,WeightMax,ConfortViolation,OmegaBefore,DualAfter,DeltaOmega,DualBefore,WeightMedian,ReturnsStd,Omega,WeightMean,ITERATIONS,Eta,Primal,NormDeltaOmega,LossReg
0.0,100,2.33696,500.0,0.0,0.0182127295591632,0.0,0.8701,5.291425500872943,1167.6565656565656,2.4115177706996063,1.0,0,[[0.8]],6.309991788837318,[[0.05279514]],7.3571405232428555,0.04057887765953754,57.753247600522904,[[0.85279514]],0.0182127295591632,0,2.4964833891783926,6.309989170914859,0.052795141721577066,0.0
0.0,100,2.45072,500.0,0.0,0.016149610823861755,0.0,0.8701,5.218420635739545,1224.4848484848485,2.5310336784799996,1.0,0,[[0.85279514]],6.458070132213166,[[0.04022644]],7.283097323270538,0.03685782034770033,67.0378098706228,[[0.89302158]],0.016149610823861755,1,2.4237375070158946,6.45807013344526,0.04022643600848319,0.0
0.0,100,2.538,500.0,0.0,0.014798729221860442,0.0,0.8701,3.601340055303911,1269.6565656565656,2.6221815345242594,1.0,0,[[0.89302158]],6.578700480612917,[[0.02180752]],7.2613226200835665,0.03437000054618455,68.42944631924783,[[0.9148291]],0.014798729221860442,2,2.373484964778037,6.5787004825809925,0.02180751828663574,0.0
0.0,100,2.58128,500.0,0.0,0.014114724026554521,0.0,0.8701,1.761683412768697,1290.4242424242425,2.6657594718203668,1.0,0,[[0.9148291]],6.637005802135312,[[0.00912992]],7.253446838173051,0.03309313514958987,62.94989043067637,[[0.92395901]],0.014114724026554521,3,2.3471220978932386,6.6370047575853315,0.009129918287384076,0.0
0.0,100,2.627,500.0,0.0,0.013686373459398089,0.0,0.8701,1.4160969491469828,1313.2121212121212,2.7073069644944217,1.0,0,[[0.92395901]],6.703178811337832,[[0.00667839]],7.277450655028771,0.032287224177367534,64.41081418821958,[[0.93063741]],0.013686373459398089,4,2.3302665430247638,6.703176945755268,0.006678392765107732,0.0
0.0,100,2.66448,500.0,0.0,0.013274362829068175,0.0,0.8701,1.2548607996602996,1331.2121212121212,2.741632055838274,1.0,0,[[0.93063741]],6.755919723829884,[[0.00546016]],7.293267780187871,0.031507282523367694,76.02382305079136,[[0.93609757]],0.013274362829068175,5,2.313786084731547,6.755919929205172,0.005460160071243059,0.0
0.0,100,2.67588,500.0,0.0,0.013163551820697244,0.0,0.8701,0.5097346418449362,1337.4343434343434,2.7547896880887297,1.0,0,[[0.93609757]],6.7745627673372155,[[0.0021015]],7.30100333274018,0.03129669445597526,87.78580010067913,[[0.93819907]],0.013163551820697244,6,2.3093069603872163,6.774562797895725,0.00210150048543023,0.0
0.0,100,2.7014,500.0,0.0,0.012914549373527248,0.0,0.8701,0.7511179691219354,1350.2424242424242,2.7760616059446517,1.0,0,[[0.93819907]],6.809606941937983,[[0.00297924]],7.315737919017119,0.030822183775617615,78.17838846129969,[[0.94117831]],0.012914549373527248,7,2.299167307601352,6.809606944295489,0.002979243012471433,0.0
0.0,100,2.67456,500.0,0.0,0.013038078212871623,0.0,0.8701,0.44651500841552405,1337.7171717171718,2.7579718646860782,1.0,0,[[0.94117831]],6.772411746159905,[[-0.00175444]],7.287912736389213,0.031057812631025646,76.31937683766623,[[0.93942387]],0.013038078212871623,8,2.304210587185367,6.772411749624458,0.001754438019139437,0.0
0.0,100,2.70984,500.0,0.0,0.01280463802955581,0.0,0.8701,0.4761046849760149,1356.2828282828282,2.7781949489551665,1.0,0,[[0.93942387]],6.816430932399022,[[0.001869]],7.315957949097802,0.03061215085420357,79.12348620206578,[[0.94129288]],0.01280463802955581,9,2.294658035280023,6.816427664930592,0.0018690027207556303,0.0
