RewardStd,TimestepsMean,DeltaOmega,NormDeltaOmega,ITERATIONS,Omega,TimestepsStd,Traj,Theta,OmegaBefore,Wins,RewardMean,NormDeltaVar,ReturnsStd,ConfortViolation,ReturnsMean
1.9593348641822306,500.0,[[-0.0098495]],0.009849495846974254,0,0.823463748696151,0.0,40,0.637736969382449,0.8333132445431253,0.0,2.0633,0.9899999323755306,40.03720145065086,0,1031.65
2.0393030083830115,500.0,[[-0.00544443]],0.005444426442501316,1,0.8180193222536497,0.0,40,0.622005748525992,0.823463748696151,0.0,2.0982,0.9640717973160609,37.648240330724626,0,1049.1
2.0643784318772562,500.0,[[-0.00794627]],0.007946269985729226,2,0.8100730522679205,0.0,40,0.6067714111941185,0.8180193222536497,0.0,2.0987,0.9187044043431838,52.12559352180078,0,1049.35
2.060506673126782,500.0,[[-0.00880877]],0.008808773205421061,3,0.8012642790624994,0.0,40,0.5909591491338227,0.8100730522679205,0.0,2.0965,0.9404168019979036,44.739663610715716,0,1048.25
2.1744826971029223,500.0,[[-0.00982919]],0.00982918897798557,4,0.7914350900845138,0.0,40,0.5748435744237835,0.8012642790624994,0.0,2.165,0.9470152081803596,48.71909276659409,0,1082.5
2.1686726608688547,500.0,[[-0.01055853]],0.010558525903520466,5,0.7808765641809934,0.0,40,0.5582696547316077,0.7914350900845138,0.0,2.1583,0.9642616769419181,46.57228252941872,0,1079.15
2.234053813138797,500.0,[[-0.01096609]],0.01096608715164693,6,0.7699104770293465,0.0,40,0.5414952888583723,0.7808765641809934,0.0,2.1934,0.9682668723115291,46.68736445763457,0,1096.7
2.2505594304527934,500.0,[[-0.01172007]],0.011720071288896738,7,0.7581904057404497,0.0,40,0.5263052848989962,0.7699104770293465,0.0,2.1865,0.872077411198733,59.143363955730486,0,1093.25
2.326623089372234,500.0,[[-0.01165712]],0.011657117974825826,8,0.7465332877656239,0.0,40,0.5115140259937178,0.7581904057404497,0.0,2.235,0.8464876153373487,58.78732856662224,0,1117.5
2.3118122761158615,500.0,[[-0.00877315]],0.008773151421512915,9,0.737760136344111,0.0,40,0.4981670069072386,0.7465332877656239,0.0,2.218,0.7628036118841589,52.699146103139086,0,1109.0
2.384769169123083,500.0,[[-0.00607552]],0.006075515926301067,10,0.7316846204178099,0.0,40,0.4839640621290181,0.737760136344111,0.0,2.2551,0.8119107530801746,64.32338221828824,0,1127.55
2.3620541568727846,500.0,[[-0.00462255]],0.004622552678350655,11,0.7270620677394593,0.0,40,0.4690326188052254,0.7316846204178099,0.0,2.2496,0.8551788098775159,49.136137414330804,0,1124.8
2.409455106450419,500.0,[[-0.00565492]],0.005654924182747378,12,0.7214071435567119,0.0,40,0.4545084435676814,0.7270620677394593,0.0,2.2897,0.8348937256176943,55.270041613879755,0,1144.85
2.3898455159277554,500.0,[[-0.00213456]],0.0021345647276534985,13,0.7192725788290584,0.0,40,0.4391644662157777,0.7214071435567119,0.0,2.2721,0.8868982820439633,55.14070637922586,0,1136.05
2.379987823498263,500.0,[[-0.00147208]],0.001472075606457346,14,0.717800503222601,0.0,40,0.424001178078789,0.7192725788290584,0.0,2.2714,0.8830809505964061,59.61971150550798,0,1135.7
2.4233154458303607,500.0,[[0.00113353]],0.0011335316294353026,15,0.7189340348520363,0.0,40,0.4145406992906835,0.717800503222601,0.0,2.2935,0.5550875465621639,60.484192149684866,0,1146.75
2.4058162107692267,500.0,[[-4.69942335e-05]],4.699423347964693e-05,16,0.7188870406185567,0.0,40,0.4056790707698918,0.7189340348520363,0.0,2.2906,0.5233081066305738,61.21364227033056,0,1145.3
2.3914446491608374,500.0,[[-0.00124738]],0.0012473773927178522,17,0.7176396632258388,0.0,40,0.39580381773247836,0.7188870406185567,0.0,2.2807,0.587474201684083,54.45160695516708,0,1140.35
