Theta,ReturnsMean,DeltaOmega,RewardStd,TimestepsStd,Wins,NormDeltaVar,Omega,RewardMean,Traj,ITERATIONS,ReturnsStd,ConfortViolation,NormDeltaOmega,TimestepsMean,OmegaBefore
0.43396047431184154,1269.4,[[-0.01631193]],2.857287972886177,0.0,0.0,0.9900000006861798,0.37105116932051135,2.5388,40,0,66.43523161696662,0,0.016311931127062362,500.0,0.3873631004475737
0.4510284606946653,1304.2,[[-0.01564265]],2.954902610916306,0.0,0.0,0.9884899467188006,0.3554085157498306,2.6084,40,1,73.93077843496577,0,0.01564265357068073,500.0,0.37105116932051135
0.4679847511257998,1323.9,[[-0.01287233]],3.007449943058072,0.0,0.0,0.9754245145881049,0.34253618249403667,2.6478,40,2,61.35625477488013,0,0.012872333255793955,500.0,0.3554085157498306
0.48498894968777045,1374.65,[[-0.01326873]],3.1321477471537005,0.0,0.0,0.9739169869207869,0.32926744908508104,2.7493,40,3,64.0568302369076,0,0.013268733408955624,500.0,0.34253618249403667
0.5018335077733475,1393.9,[[-0.01183042]],3.187816048645216,0.0,0.0,0.9628044969818761,0.3174370292179107,2.7878,40,4,74.47408945398392,0,0.011830419867170316,500.0,0.32926744908508104
0.5182616404609934,1411.1,[[-0.01193191]],3.225459216917802,0.0,0.0,0.9392143436085956,0.30550512421189735,2.8222,40,5,83.66952850351196,0,0.011931905006013377,500.0,0.3174370292179107
0.5348769107526788,1462.3,[[-0.0123008]],3.3363325433775333,0.0,0.0,0.9522214346948747,0.29320431953943066,2.9246,40,6,103.46453498663202,0,0.012300804672466692,500.0,0.30550512421189735
0.5514118111800308,1504.05,[[-0.01182133]],3.416596901889364,0.0,0.0,0.9520293928526775,0.28138299041025683,3.0081,40,7,74.74956521612684,0,0.01182132912917383,500.0,0.29320431953943066
0.5678831110600931,1559.1,[[-0.01166921]],3.5120974872574364,0.0,0.0,0.954897904476232,0.2697137777450514,3.1182,40,8,98.13047436958612,0,0.01166921266520543,500.0,0.28138299041025683
0.584428044855509,1639.45,[[-0.01130002]],3.6404690343415913,0.0,0.0,0.9679773151724107,0.2584137552908572,3.2789,40,9,104.48730784167041,0,0.011300022454194203,500.0,0.2697137777450514
0.6009678605922366,1673.65,[[-0.01148695]],3.7031584775701942,0.0,0.0,0.9788800241379798,0.24692680453326898,3.3473,40,10,110.07350952885984,0,0.01148695075758821,500.0,0.2584137552908572
0.6173347852364688,1706.6,[[-0.01106436]],3.7572950057188748,0.0,0.0,0.9821641626385889,0.23586244022100042,3.4132,40,11,100.8704119154869,0,0.011064364312268565,500.0,0.24692680453326898
0.6335421083526122,1775.35,[[-0.01115753]],3.843270678731854,0.0,0.0,0.9884551570677464,0.22470490796968942,3.5507,40,12,112.63515215064966,0,0.011157532251310998,500.0,0.23586244022100042
0.6494175698100492,1835.4,[[-0.01096113]],3.9070740151678724,0.0,0.0,0.9862458811182542,0.21374377726865665,3.6708,40,13,103.23875241400393,0,0.010961130701032773,500.0,0.22470490796968942
