OmegaBefore,ConfortViolation,RewardStd,DualReg,WeightMedian,ITERATIONS,WeightMax,Epsilon,Eta,ReturnsMean,RewardMean,ReturnsStd,Wins,TimestepsStd,WeightMin,Traj,DualAfter,Omega,DeltaOmega,DualBefore,NormDeltaVar,NormDeltaOmega,TimestepsMean,Primal,LossReg,WeightMean
[[0.98563745]],0,2.9458834733234105,0.0,0.0072150048604200925,10,1.0,1.1601,1.6221940764501566,1459.7575757575758,2.91796,83.17209746148795,0.0,0.0,0.002102789428498048,100,7.640881453957636,[[0.9860046]],[[0.00036715]],7.725867848027154,0.37525613185400175,0.00036715103136242266,500.0,7.64088152150752,0.0,0.002102789428498048
[[0.9860046]],0,2.946304541217693,0.0,0.007226224368517154,11,1.0,1.1601,1.6227053487097245,1459.111111111111,2.91748,83.89759136077251,0.0,0.0,0.002106877583584613,100,7.641165901470652,[[0.98602055]],[[1.59430053e-05]],7.7264015905380905,0.01651398768914447,1.5943005314045244e-05,500.0,7.6411659706785855,0.0,0.002106877583584613
[[0.98602055]],0,2.9440987418223594,0.0,0.007259542479657368,12,1.0,1.1601,1.624220878273423,1459.6969696969697,2.91728,84.23169759482562,0.0,0.0,0.0021190273572469307,100,7.639677526270399,[[0.98586061]],[[-0.00015994]],7.7256891500270815,0.16483325658577286,0.00015993979220518817,500.0,7.639677602629538,0.0,0.0021190273572469307
[[0.98586061]],0,2.952082166607156,0.0,0.006968552975555466,13,1.0,1.1601,1.6108417110870565,1469.5353535353536,2.93604,80.27469419378262,0.0,0.0,0.0020133916233867942,100,7.655919029857832,[[0.98636322]],[[0.00050262]],7.73701449448101,0.5243445687485249,0.0005026163999872768,500.0,7.6559197866431905,0.0,0.0020133916233867942
[[0.98636322]],0,2.9434508879205032,0.0,0.0073156671357743445,14,1.0,1.1601,1.6267644899588052,1457.6363636363637,2.91552,70.19819770132445,0.0,0.0,0.0021395252732072474,100,7.63895900439662,[[0.9857651]],[[-0.00059813]],7.726207974330604,0.6219012202182057,0.0005981250899647073,500.0,7.638959923221387,0.0,0.0021395252732072474
[[0.9857651]],0,2.941647406743371,0.0,0.007229846425713906,15,1.0,1.1601,1.6228703048691997,1461.010101010101,2.92312,76.02571268247794,0.0,0.0,0.002108197724781099,100,7.641467099727533,[[0.98565829]],[[-0.0001068]],7.727368654482652,0.10833345083347012,0.00010680442272348323,500.0,7.641467987954964,0.0,0.002108197724781099
[[0.98565829]],0,2.9366452958435416,0.0,0.007394491155552223,16,1.0,1.1601,1.6303173838826845,1455.4949494949494,2.90992,85.03230209005766,0.0,0.0,0.0021683798719737604,100,7.629572390344882,[[0.9853937]],[[-0.0002646]],7.717944434968246,0.2649978992816102,0.00026459727682415224,500.0,7.629572503086275,0.0,0.0021683798719737604
[[0.9853937]],0,2.9354839979805716,0.0,0.007463524108446034,17,1.0,1.1601,1.633410571805769,1453.4949494949494,2.90676,66.22907502398627,0.0,0.0,0.0021937135864751015,100,7.627483463677002,[[0.98528118]],[[-0.00011251]],7.71724979424331,0.1112528907133381,0.00011251283035851323,500.0,7.627484455405572,0.0,0.0021937135864751015
[[0.98528118]],0,2.932475713386216,0.0,0.007538965198640465,18,1.0,1.1601,1.636771596793784,1450.5252525252524,2.90148,73.96509461155192,0.0,0.0,0.0022214660127824913,100,7.621956166988191,[[0.98511001]],[[-0.00017118]],7.712947007535838,0.16766345682260209,0.0001711768860855889,500.0,7.621956314599502,0.0,0.0022214660127824913
[[0.98511001]],0,2.9425249649918013,0.0,0.007299596219968542,19,1.0,1.1601,1.6260373309985872,1457.4343434343434,2.91452,79.7531749934673,0.0,0.0,0.0021336518028007225,100,7.636818985356943,[[0.98576618]],[[0.00065617]],7.723474233195278,0.6533459166893181,0.0006561701111409413,500.0,7.636819071632971,0.0,0.0021336518028007225
