OmegaBefore,ConfortViolation,RewardStd,DualReg,WeightMedian,ITERATIONS,WeightMax,Epsilon,Eta,ReturnsMean,RewardMean,ReturnsStd,Wins,TimestepsStd,WeightMin,Traj,DualAfter,Omega,DeltaOmega,DualBefore,NormDeltaVar,NormDeltaOmega,TimestepsMean,Primal,LossReg,WeightMean
[[0.8]],0,2.441039502834806,0.0,0.02325067472320704,0,1.0,1.1601,2.1268557095452647,1180.4242424242425,2.35884,56.092472515578486,0.0,0.0,0.0090791345138393,100,7.031047645389214,[[0.9168883]],[[0.1168883]],7.693702199382061,14.492939358234548,0.11688829602096984,500.0,7.031047658746613,0.0,0.0090791345138393
[[0.9168883]],0,2.710971083873821,0.0,0.013788092499400812,1,1.0,1.1601,1.8674354617333453,1318.6868686868686,2.63768,74.18195572267788,0.0,0.0,0.004724765248742138,100,7.322742163746488,[[0.96433611]],[[0.04744781]],7.581410484841871,12.807157972163694,0.0474478129773479,500.0,7.322744368603781,0.0,0.004724765248742138
[[0.96433611]],0,2.8568268427750394,0.0,0.009788812072733761,2,1.0,1.1601,1.7291632481152095,1397.5353535353536,2.79648,77.51693371614876,0.0,0.0,0.003079019849393576,100,7.5123463223413545,[[0.97916313]],[[0.01482702]],7.652260371549075,7.895331111685145,0.01482702320251117,500.0,7.5123465834884975,0.0,0.003079019849393576
[[0.97916313]],0,2.9203264595589307,0.0,0.007953141754936142,3,1.0,1.1601,1.6548797035504743,1440.969696969697,2.88264,76.11706223005743,0.0,0.0,0.0023750535393792407,100,7.604320701091314,[[0.98416943]],[[0.00500629]],7.7037277564490685,3.998293695500614,0.005006293505126824,500.0,7.604321874783295,0.0,0.0023750535393792407
[[0.98416943]],0,2.9314117827422335,0.0,0.007764798657270891,4,1.0,1.1601,1.6467157610230239,1443.171717171717,2.8864,77.68520267871571,0.0,0.0,0.002304956579361646,100,7.61371913400013,[[0.98500649]],[[0.00083706]],7.708768788213642,0.7882257703115201,0.0008370631937512085,500.0,7.613720252365228,0.0,0.002304956579361646
[[0.98500649]],0,2.9342501586606415,0.0,0.007607032367963083,5,1.0,1.1601,1.6397870895027,1449.7171717171718,2.89992,75.8973310245313,0.0,0.0,0.0022465654741032075,100,7.624047799739534,[[0.98513608]],[[0.00012959]],7.716733824330099,0.12588927338862987,0.00012959080481822483,500.0,7.6240488492160186,0.0,0.0022465654741032075
[[0.98513608]],0,2.955983737708988,0.0,0.006878701079615766,6,1.0,1.1601,1.6066433283189112,1470.989898989899,2.93868,71.77651833878738,0.0,0.0,0.0019809934814903622,100,7.659667305628274,[[0.98665667]],[[0.00152059]],7.7389255180979735,1.5637475589107197,0.0015205876705146615,500.0,7.659671324930904,0.0,0.0019809934814903622
[[0.98665667]],0,2.942368117282404,0.0,0.0072961109923353785,7,1.0,1.1601,1.6258795099615755,1459.6767676767677,2.91568,78.7994293527546,0.0,0.0,0.0021323784758015864,100,7.637555853801297,[[0.98574284]],[[-0.00091383]],7.724266616730756,0.9595595088263877,0.0009138294162950311,500.0,7.637556761648613,0.0,0.0021323784758015864
[[0.98574284]],0,2.9453995358185283,0.0,0.0072147557217731055,8,1.0,1.1601,1.6221827178564194,1459.8383838383838,2.91912,85.15259114792809,0.0,0.0,0.0021026986655910992,100,7.641377957606726,[[0.98594918]],[[0.00020634]],7.726492094066541,0.2112522813527633,0.00020633833386618505,500.0,7.641378025032547,0.0,0.0021026986655910992
[[0.98594918]],0,2.9408993138834254,0.0,0.007378685444664363,9,1.0,1.1601,1.6296067673658496,1454.2222222222222,2.91016,77.57584175079609,0.0,0.0,0.0021625877859327886,100,7.633525579125783,[[0.98563745]],[[-0.00031172]],7.721655612068696,0.31798836181477697,0.00031172435428206136,500.0,7.63352652414532,0.0,0.0021625877859327886
