TimestepsMean,NormDeltaVar,Wins,ConfortViolation,ReturnsStd,RewardStd,ReturnsMean,Traj,TimestepsStd,DeltaOmega,ITERATIONS,Omega,NormDeltaOmega,OmegaBefore,RewardMean
22.852,0.3162277682661087,0.0,0,78.77241346136994,1.3790868466341213,146.60797531244938,250,11.688887714406361,-0.10000000148930965,0,7.89999999851069,0.10000000148930965,8.0,6.415542416963477
25.484,0.29232740579204536,0.0,0,98.70199556003027,1.3249042965724778,166.18892908294018,250,14.47569494014018,-0.10009999100267208,1,7.799900007508018,0.10009999100267208,7.89999999851069,6.521304704243453
33.072,0.294950560427968,0.0,0,115.54459490431258,1.1835275199503612,220.27848133566164,250,16.716303897692217,-0.09825982196980831,2,7.70164018553821,0.09825982196980831,7.799900007508018,6.660573335016378
35.26,0.2800738490436337,0.0,0,137.93013480022867,1.1596118108309543,237.70852383780547,250,19.746807336883602,-0.09835465136453259,3,7.603285534173677,0.09835465136453259,7.70164018553821,6.741591714061412
40.104,0.2676887065742024,0.0,0,138.47237328607957,1.1024280877026928,274.42568368691406,250,19.607681759963363,-0.09806976255154609,4,7.505215771622131,0.09806976255154609,7.603285534173677,6.842850680403801
42.316,0.2506309393526518,0.0,0,145.91451175826595,1.0850543695291008,292.8493797504475,250,20.400787827924685,-0.09910101279344641,5,7.406114758828685,0.09910101279344641,7.505215771622131,6.9205354889509305
47.86,0.24594104177936504,0.0,0,152.25235027057568,1.03417475339923,336.09145898615657,250,21.031224405630788,-0.09935682926853406,6,7.306757929560151,0.09935682926853406,7.406114758828685,7.022387358674395
49.22,0.23465088979515142,0.0,0,162.5601222824285,1.029965191076201,349.20099175164023,250,22.22169210478806,-0.10036051925501521,7,7.206397410305136,0.10036051925501521,7.306757929560151,7.094697109947993
48.376,0.2207524104267381,0.0,0,126.0074777114278,1.0487424960593166,346.4704847919567,250,17.055750467217795,-0.10132230790057051,8,7.105075102404565,0.10132230790057051,7.206397410305136,7.16203251182315
51.32,0.19645975344534033,0.0,0,159.00384149766828,1.0286715383443636,371.56518617322865,250,21.358501820118377,-0.1022973202679811,9,7.002777782136584,0.1022973202679811,7.105075102404565,7.240163409454962
59.7,0.19655830730719218,0.0,0,191.9191064410066,0.9664123282449754,438.26209201701374,250,25.4678228358845,-0.10303095656304606,10,6.899746825573538,0.10303095656304606,7.002777782136584,7.341073568124185
58.496,0.20973511269210865,0.0,0,198.14515639189375,0.9851352307865588,433.2777435433775,250,26.032479405542606,-0.10388998495711554,11,6.795856840616422,0.10388998495711554,6.899746825573538,7.406963613638155
61.444,0.2166029748818382,0.0,0,176.4474327320879,0.9707159525249922,459.7582752968477,250,22.988320164814134,-0.10489108371060318,12,6.690965756905819,0.10489108371060318,6.795856840616422,7.482557699642727
64.54,0.22915262219499352,0.0,0,195.8162059501828,0.9565119891741624,487.7897906313348,250,25.277982514433386,-0.1059507307294103,13,6.585015026176409,0.1059507307294103,6.690965756905819,7.557945315019133
71.776,0.24525082702064932,0.0,0,220.53497387157208,0.9170153993613664,548.6533865493536,250,28.19059814902834,-0.10689452709890457,14,6.478120499077504,0.10689452709890457,6.585015026176409,7.643967155446857
72.564,0.2530554716582897,0.0,0,226.1457630557723,0.9197616253927822,559.5168778519718,250,28.670505820442024,-0.10799449026002517,15,6.370126008817479,0.10799449026002517,6.478120499077504,7.710667519044866
80.188,0.2615498651300372,0.4,0,247.34029600791564,0.8824319185874093,624.6611203433648,250,31.039855927500692,-0.10908768958917037,16,6.261038319228309,0.10908768958917037,6.370126008817479,7.789957603922841
85.312,0.2717255907251297,0.8,0,270.0866495895622,0.8616011867931342,670.6261120074815,250,33.58366650620507,-0.1102329408922813,17,6.1508053783360275,0.1102329408922813,6.261038319228309,7.860864966329256
95.364,0.2794975180327672,2.4,0,309.6386719934577,0.8167941250053136,757.3749021304267,250,38.1485452409394,-0.11118868518024083,18,6.039616693155787,0.11118868518024083,6.1508053783360275,7.941937231349637
114.652,0.2717913248816463,5.6000000000000005,0,333.24775731733865,0.7410814712438196,920.2449445405565,250,40.64405117603313,-0.1119015677945967,19,5.92771512536119,0.1119015677945967,6.039616693155787,8.02641859313886
127.412,0.27479970538805437,8.4,0,353.4393916711519,0.6994231654834292,1031.7068187796694,250,42.7532718747934,-0.11319260262857878,20,5.814522522732611,0.11319260262857878,5.92771512536119,8.097406985053757
160.024,0.2902221765003926,35.6,0,354.59902353750454,0.5315302926093305,1315.2289170433041,250,42.098734232753365,-0.11379996991842134,21,5.70072255281419,0.11379996991842134,5.814522522732611,8.218947889337251
177.836,0.2821434815730071,56.39999999999999,0,288.9230965498162,0.42103308048932436,1477.1436589140392,250,34.0417553013942,-0.11492475820545067,22,5.585797794608739,0.11492475820545067,5.70072255281419,8.306212796700551
179.86,0.25934751231103564,59.599999999999994,0,276.10841372519053,0.4081162341627321,1504.1853915857607,250,32.30653803798853,-0.11608815009734208,23,5.469709644511397,0.11608815009734208,5.585797794608739,8.363090134469925
176.888,0.23464071401595382,55.2,0,291.12685369402567,0.4362407025557455,1489.5667695467487,250,33.881609406874404,-0.11696518627428532,24,5.352744458237112,0.11696518627428532,5.469709644511397,8.420959983417465
179.528,0.23071269257316146,59.199999999999996,0,289.4604362919669,0.4167178002021373,1523.7971983980046,250,33.4099568392418,-0.11819390117599404,25,5.234550557061118,0.11819390117599404,5.352744458237112,8.487796880698301
177.616,0.22815264219995807,56.00000000000001,0,286.9575360590799,0.4373891950802475,1518.3906234665728,250,32.83371048175944,-0.11885413358391883,26,5.115696423477199,0.11885413358391883,5.234550557061118,8.548726598203839
181.828,0.22293630328509617,60.8,0,284.27574605175863,0.41229180992254455,1566.1139075424057,250,32.34597990477333,-0.11990147932945217,27,4.995794944147747,0.11990147932945217,5.115696423477199,8.613161380768672
184.7,0.2221607571445094,69.19999999999999,0,267.031155090792,0.36701060417335263,1603.704774353242,250,30.07208007438129,-0.12068995045919184,28,4.875104993688555,0.12068995045919184,4.995794944147747,8.682754598555723
190.544,0.2143133891168313,74.0,0,219.161124049147,0.3362337117379491,1666.2296134800188,250,24.49751138381203,-0.12041812301335586,29,4.754686870675199,0.12041812301335586,4.875104993688555,8.744592395877167
193.98,0.21031829060942644,86.4,0,198.23698137288957,0.24810403048198335,1710.6624356181092,250,21.96459878987094,-0.12170355493220697,30,4.632983315742992,0.12170355493220697,4.754686870675199,8.81875675645999
196.6,0.1916311735654157,90.0,0,150.63415905130728,0.21687096092867883,1744.7495851848105,250,16.56454044035028,-0.12132894514936066,31,4.511654370593631,0.12132894514936066,4.632983315742992,8.87461640480575
198.652,0.19729111452400097,95.19999999999999,0,125.49362653149232,0.15698027873203924,1776.7566833500623,250,13.73473319726306,-0.12187208338929079,32,4.389782287204341,0.12187208338929079,4.511654370593631,8.944066424451114
199.104,0.1862310601841739,93.60000000000001,0,86.06801091634628,0.17732194986537064,1791.194842832359,250,9.178953317236122,-0.12192389411817928,33,4.267858393086161,0.12192389411817928,4.389782287204341,8.996277537529929
198.168,0.1741552668895941,94.8,0,136.7371295843236,0.16076530141740059,1794.5693804371078,250,14.753568246359928,-0.1222518266760444,34,4.145606566410117,0.1222518266760444,4.267858393086161,9.05579801197523
200.412,0.16323299842841368,98.4,0,60.78730807380463,0.10254051863938962,1825.6528807090513,250,6.5202956988161205,-0.12310384655287265,35,4.022502719857244,0.12310384655287265,4.145606566410117,9.109498835943212
200.336,0.15542071661562173,98.0,0,64.40061481051359,0.10772445998101375,1835.996028246205,250,6.812863127936742,-0.12297717541817343,36,3.899525544439071,0.12297717541817343,4.022502719857244,9.164583640714625
200.8,0.14965860730723043,99.6,0,30.45976684753153,0.0680536079439127,1850.3814389956199,250,3.1559467676119,-0.12354971305755269,37,3.775975831381518,0.12354971305755269,3.899525544439071,9.215047006950298
200.628,0.1490123167966102,98.4,0,32.192306572259724,0.09721497551002085,1858.6339573769471,250,3.208989872218359,-0.12406799372826205,38,3.651907837653256,0.12406799372826205,3.775975831381518,9.264080573882742
200.364,0.11715174723638505,98.4,0,54.38647055749112,0.0979763569202299,1864.9953989345274,250,5.644068036443218,-0.12289546369351001,39,3.529012373959746,0.12289546369351001,3.651907837653256,9.308036368482
199.188,0.10300888372217766,94.39999999999999,0,90.63297165262796,0.16466287293955917,1862.6944971238972,250,9.397481364706183,-0.12212016325691577,40,3.4068922107028303,0.12212016325691577,3.529012373959746,9.351439329296431
198.684,0.09255125449574769,93.2,0,102.72750964874619,0.17986564827195445,1866.538668439264,250,10.643314521332158,-0.12004510141724634,41,3.286847109285584,0.12004510141724634,3.4068922107028303,9.394509212816653
198.676,0.08716358577931782,91.2,0,95.10691017482728,0.20458019338958458,1873.8503315778803,250,9.782587796692653,-0.11763339015276486,42,3.169213719132819,0.11763339015276486,3.286847109285584,9.43168944199541
198.584,0.07868394847552822,92.0,0,111.69896559874198,0.19702006075882805,1880.4962528005067,250,11.450892716290726,-0.11582869707331822,43,3.053385022059501,0.11582869707331822,3.169213719132819,9.469525504574925
199.52,0.08085902409782712,94.8,0,84.70260097155993,0.16082448300695332,1897.0623677270607,250,8.564204574856907,-0.11265837246479604,44,2.940726649594705,0.11265837246479604,3.053385022059501,9.508131353884629
198.468,0.08164488814925709,94.39999999999999,0,115.74599888842715,0.16809242918577752,1893.1621760436678,250,11.797668244191307,-0.10911778088239465,45,2.83160886871231,0.10911778088239465,2.940726649594705,9.538878690991332
198.68,0.09473023710581731,94.8,0,115.42366575123933,0.16346349035892757,1901.2058727751203,250,11.717747223762768,-0.10325211282714708,46,2.728356755885163,0.10325211282714708,2.83160886871231,9.569185991418966
199.08,0.0810556549819316,95.6,0,119.26320253818415,0.15340473924378595,1909.9601809968456,250,12.142882689048758,-0.09765276026444614,47,2.630703995620717,0.09765276026444614,2.728356755885163,9.593932996769366
197.384,0.0754927457817556,89.60000000000001,0,136.26518429845825,0.2283509555040324,1898.2324658841267,250,13.72605347505247,-0.09242604142056399,48,2.538277954200153,0.09242604142056399,2.630703995620717,9.616952062396784
196.016,0.0762123903624476,86.8,0,165.5659992737936,0.2579202661083924,1888.7092682312616,250,16.70855301933713,-0.0852096039064727,49,2.4530683502936803,0.0852096039064727,2.538277954200153,9.635485206469173
196.068,0.08668567541958538,86.0,0,165.70050125947307,0.266810643677049,1893.1074592426942,250,16.714765209239406,-0.08015411821460283,50,2.3729142320790775,0.08015411821460283,2.4530683502936803,9.655361707380573
191.28,0.08975642881020722,80.0,0,232.85922116817096,0.32017297518537924,1849.6335905789622,250,23.488584461393152,-0.07343187038609367,51,2.299482361692984,0.07343187038609367,2.3729142320790775,9.669769921470944
192.876,0.09853650119010003,79.60000000000001,0,201.33292691845935,0.32191912075296353,1868.4869709338736,250,20.21515827293964,-0.06842519648949041,52,2.2310571652034934,0.06842519648949041,2.299482361692984,9.687503737810166
191.408,0.10313907970977851,79.60000000000001,0,234.25613230915292,0.32449658764060324,1856.7227080602247,250,23.518876163626526,-0.0622688988572655,53,2.168788266346228,0.0622688988572655,2.2310571652034934,9.700340153286303
194.428,0.11562892945242274,84.8,0,192.82041804824843,0.27858310685033405,1890.8040668229412,250,19.227813604255687,-0.05799687486865368,54,2.110791391477574,0.05799687486865368,2.168788266346228,9.724957654365323
192.048,0.121330522589664,80.4,0,224.51078436007805,0.31668773535789546,1869.707102903369,250,22.48834578175994,-0.05667972922208664,55,2.0541116622554876,0.05667972922208664,2.110791391477574,9.7356239216413
192.492,0.11561014495422327,80.80000000000001,0,216.02885401426354,0.31225860885674045,1876.8521541764271,250,21.579108786045822,-0.054334912638986044,56,1.9997767496165015,0.054334912638986044,2.0541116622554876,9.75028652710984
189.08,0.12118488276576515,77.60000000000001,0,270.2371533030568,0.34036787894444376,1845.3167292005498,250,27.04621230412865,-0.052333057708634945,57,1.9474436919078666,0.052333057708634945,1.9997767496165015,9.759449593825629
192.872,0.13005046931260508,80.80000000000001,0,226.7565633670567,0.3118296937655984,1885.7079942948828,250,22.69501302048536,-0.052350958920681645,58,1.895092732987185,0.052350958920681645,1.9474436919078666,9.776991965110968
192.32,0.12556606124602165,81.2,0,230.48665070265199,0.308668925377193,1882.7653082284369,250,23.065333294795458,-0.05154797875820627,59,1.8435447542289787,0.05154797875820627,1.895092732987185,9.78975305859212
186.692,0.11414232033097528,64.4,0,251.88140311870254,0.43053493928226977,1826.605942812855,250,25.072477659776666,-0.051761261699021954,60,1.7917834925299567,0.051761261699021954,1.8435447542289787,9.784061142485243
180.648,0.12203097175624587,65.2,0,354.68566742637336,0.4333689393767262,1769.366043717525,250,35.458653330322626,-0.051974862244184905,61,1.7398086302857718,0.051974862244184905,1.7917834925299567,9.794550970492477
180.828,0.1308112498857462,63.6,0,345.7213880336009,0.4432226876453726,1772.0801750992991,250,34.53285994527531,-0.05018547157017039,62,1.6896231587156014,0.05018547157017039,1.7398086302857718,9.799810732294219
179.904,0.14353801761648435,60.4,0,349.0145582967146,0.46399114427305616,1763.5661068403742,250,34.86601187402999,-0.04755023939549896,63,1.6420729193201025,0.04755023939549896,1.6896231587156014,9.802817651860849
182.948,0.15873952160229066,73.2,0,372.46454832274713,0.3803729066658743,1796.776244751268,250,37.19603871382005,-0.04488155471196009,64,1.5971913646081424,0.04488155471196009,1.6420729193201025,9.821240159779107
