Traj,RewardStd,Epsilon,Eta,WeightMean,OmegaBefore,Omega,WeightMin,WeightMax,ReturnsStd,ITERATIONS,LossReg,DeltaOmega,ReturnsMean,Wins,ConfortViolation,DualAfter,DualBefore,NormDeltaVar,RewardMean,TimestepsMean,TimestepsStd,NormDeltaOmega,Primal,WeightMedian,DualReg
100,2.422551498234867,1.9601,1.3704469428035146,0.0006776432640729726,[[0.8]],[[0.98539287]],0.0006776432640729726,1.0,58.930709200628954,0,0.0,[[0.18539287]],1168.5858585858587,0.0,0,8.37148444866625,8.452472607400756,40.36051820638244,2.33628,500.0,0.0,0.18539286980991354,8.371484477964021,0.0029160898453644253,0.0
100,2.9400610344685023,1.9601,0.3769426445278307,3.0095365931794412e-12,[[0.98539287]],[[0.99999881]],3.0095365931794412e-12,1.0,71.15298353987592,1,0.0,[[0.01460594]],1454.20202020202,0.0,0,8.241346762620958,8.522431659529413,134.68803314875095,2.90944,500.0,0.0,0.014605937970927574,8.241346184747735,6.064565662844141e-10,0.0
100,3.0243829387165904,1.9601,0.0031133598158004237,0.0,[[0.99999881]],[[0.99999999]],0.0,1.0,76.64321116825559,2,0.0,[[1.18588615e-06]],1522.6666666666667,0.0,0,8.00187292390143,8.60666425941915,74.82568455617977,3.0472,500.0,0.0,1.1858861531655052e-06,8.000000000000556,0.0,0.0
100,2.983935217527351,1.9601,0.004222579332911945,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,83.59107737987843,3,0.0,[[0.]],1486.080808080808,0.0,0,8.002349679607576,8.561861794119539,0.0,2.97224,500.0,0.0,0.0,8.000000000000421,0.0,0.0
100,3.007491827021314,1.9601,0.003143247703339285,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,77.41231730627547,4,0.0,[[0.]],1508.141414141414,0.0,0,8.001832648081082,8.588261753196473,0.0,3.01652,500.0,0.0,0.0,8.000000000000059,0.0,0.0
100,2.9946800721279057,1.9601,0.003166833164643167,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,77.83700224493302,5,0.0,[[0.]],1495.1313131313132,0.0,0,8.001801145531143,8.574072777719026,0.0,2.99284,500.0,0.0,0.0,7.999999999999726,0.0,0.0
100,3.0023457229306554,1.9601,0.0031567673804709082,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,83.18331400101226,6,0.0,[[0.]],1499.6363636363637,0.0,0,8.001814652255625,8.580107726329024,0.0,2.9996,500.0,0.0,0.0,8.000000000000025,0.0,0.0
100,2.999622273820489,1.9601,0.0031559060299151194,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,92.66518024057066,7,0.0,[[0.]],1501.5151515151515,0.0,0,8.001815670010894,8.58060385174031,0.0,3.00512,500.0,0.0,0.0,7.999999999999824,0.0,0.0
100,2.993644895441007,1.9601,0.003165455690001416,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,83.9168672443223,8,0.0,[[0.]],1497.858585858586,0.0,0,8.001802906258089,8.574882081787742,0.0,2.9968,500.0,0.0,0.0,7.999999999999667,0.0,0.0
100,2.998501785892415,1.9601,0.003162589236932744,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,80.52705679986883,9,0.0,[[0.]],1495.7171717171718,0.0,0,8.001806858574602,8.576614460593845,0.0,2.9948,500.0,0.0,0.0,7.999999999999462,0.0,0.0
100,3.0143062190825938,1.9601,0.0031344139068332777,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,80.66971487282885,10,0.0,[[0.]],1512.7474747474748,0.0,0,8.001844593769018,8.59366579582843,0.0,3.02276,500.0,0.0,0.0,8.0000000000003,0.0,0.0
100,2.994047127484803,1.9601,0.004200006648448306,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,85.21225052794188,11,0.0,[[0.]],1493.3939393939395,0.0,0,8.002379638060786,8.571906420270526,0.0,2.98728,500.0,0.0,0.0,7.999999999999817,0.0,0.0
100,2.9980157662027063,1.9601,0.003164468327241665,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,81.48577944531817,12,0.0,[[0.]],1496.8686868686868,0.0,0,8.00180437712915,8.57549564125718,0.0,2.99216,500.0,0.0,0.0,8.0000000000002,0.0,0.0
100,2.9974537138044353,1.9601,0.0031652675396646847,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,81.0481887339336,13,0.0,[[0.]],1496.2828282828282,0.0,0,8.001803307654228,8.575018039052349,0.0,2.99156,500.0,0.0,0.0,8.000000000000092,0.0,0.0
100,3.0015636007920934,1.9601,0.003153017524473557,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,70.94260337897326,14,0.0,[[0.]],1503.5555555555557,0.0,0,8.001819544208795,8.582344885826867,0.0,3.00748,500.0,0.0,0.0,7.999999999999621,0.0,0.0
100,2.999172578962404,1.9601,0.003158035696920425,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,70.19584305357289,15,0.0,[[0.]],1500.2424242424242,0.0,0,8.001812856528307,8.579329584368566,0.0,3.00196,500.0,0.0,0.0,7.999999999999947,0.0,0.0
100,3.0003697222842387,1.9601,0.0031607454141289455,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,83.72687241484051,16,0.0,[[0.]],1496.8484848484848,0.0,0,8.001809352002217,8.577723148388028,0.0,2.99536,500.0,0.0,0.0,7.999999999999857,0.0,0.0
100,2.9776935071293016,1.9601,0.004239598581775622,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,82.18137619936174,17,0.0,[[0.]],1480.828282828283,0.0,0,8.002327281053153,8.554395517122897,0.0,2.95924,500.0,0.0,0.0,7.999999999999622,0.0,0.0
100,2.9984258886288986,1.9601,0.003160568543434744,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,82.16936727190689,18,0.0,[[0.]],1498.5252525252524,0.0,0,8.001809503933204,8.577815614050877,0.0,2.99852,500.0,0.0,0.0,7.999999999999649,0.0,0.0
100,3.00990250234123,1.9601,0.0031433015855885037,0.0,[[0.99999999]],[[0.99999999]],0.0,1.0,81.06730643505708,19,0.0,[[0.]],1507.030303030303,0.0,0,8.001832679496742,8.588246542873536,0.0,3.01292,500.0,0.0,0.0,8.000000000000059,0.0,0.0
