DualAfter,WeightMin,LossReg,ReturnsMean,Traj,NormDeltaOmega,ReturnsStd,WeightMean,OmegaBefore,WeightMedian,Eta,Omega,RewardMean,ITERATIONS,DualBefore,Epsilon,NormDeltaVar,WeightMax,TimestepsMean,ConfortViolation,Primal,RewardStd,Wins,DeltaOmega,TimestepsStd,DualReg
6.795370858051099,0.010983641537227192,0.0,1164.020202020202,100,0.10008266651990749,54.93908100961837,0.010983641537227192,[[0.8]],0.027076784010508444,2.216632247083003,[[0.90008267]],2.3306,0,7.56158459441082,1.0801,11.59784386799014,1.0,500.0,0,6.795371839316126,2.408597857675706,0.0,[[0.10008267]],0.0,0.0
7.049162176698307,0.007391909037012398,0.0,1273.3535353535353,100,0.04651188990248101,66.65080313250806,0.007391909037012398,[[0.90008267]],0.019724467668809278,2.0377516934054096,[[0.94659456]],2.5464,1,7.457717950541343,1.0801,9.668782206946858,1.0,500.0,0,7.049165230321054,2.6323538971802405,0.0,[[0.04651189]],0.0,0.0
7.255843705126372,0.005657568964607793,0.0,1353.979797979798,100,0.01829500884952595,69.36450054107449,0.005657568964607793,[[0.94659456]],0.015925896364716304,1.9324564010183882,[[0.96488957]],2.7058,2,7.521970084701614,1.0801,6.265101375695764,1.0,500.0,0,7.255845446459552,2.7783747695370398,0.0,[[0.01829501]],0.0,0.0
7.380847237749318,0.004625563822873928,0.0,1405.5555555555557,100,0.008492577723227202,75.12390065041738,0.004625563822873928,[[0.96488957]],0.01355600567993483,1.8600647238338632,[[0.97338214]],2.80956,3,7.5788479248735205,1.0801,4.081130900797248,1.0,500.0,0,7.3808478403035584,2.8627910518233777,0.0,[[0.00849258]],0.0,0.0
7.45595102614379,0.00405262371538353,0.0,1437.3939393939395,100,0.003971681075945255,75.50795237827579,0.00405262371538353,[[0.97338214]],0.012195202755620211,1.8154122329842213,[[0.97735382]],2.87584,4,7.621766806906959,1.0801,2.3666184264017645,1.0,500.0,0,7.455951766826976,2.909560842189075,0.0,[[0.00397168]],0.0,0.0
7.460187067881971,0.003997605407670226,0.0,1438.141414141414,100,0.0006919818348535278,64.58836404273897,0.003997605407670226,[[0.97735382]],0.012062572570054608,1.8109184727096703,[[0.97804581]],2.87684,5,7.6220176165217195,1.0801,0.45343676433343916,1.0,500.0,0,7.460188121041912,2.9160575464829224,0.0,[[0.00069198]],0.0,0.0
7.435647681193187,0.004125424542926051,0.0,1430.4848484848485,100,0.0014239639328412768,75.19514862337992,0.004125424542926051,[[0.97804581]],0.012370148646017983,1.8212991057170445,[[0.97662184]],2.86104,6,7.604354592516027,1.0801,0.9185851597004557,1.0,500.0,0,7.435648535531716,2.8981459794841253,0.0,[[-0.00142396]],0.0,0.0
7.443463803369356,0.0041295662141602055,0.0,1431.4949494949494,100,0.0005500867549605992,90.41424015594693,0.0041295662141602055,[[0.97662184]],0.012380082740675213,1.8216320188961752,[[0.97717193]],2.86176,7,7.612437009514895,1.0801,0.34820414355450424,1.0,500.0,0,7.44346454076321,2.9055136727263906,0.0,[[0.00055009]],0.0,0.0
7.4735208452544235,0.003888122996254858,0.0,1447.2929292929293,100,0.0011195710396956216,77.64634309785457,0.003888122996254858,[[0.97717193]],0.011797554598102776,1.8018573970420027,[[0.9782915]],2.89368,8,7.630361401697864,1.0801,0.734744929806638,1.0,500.0,0,7.473522017735388,2.9202561630103614,0.0,[[0.00111957]],0.0,0.0
7.422707015692035,0.00424641950304152,0.0,1422.6868686868686,100,0.002095593960887987,66.6479741164819,0.00424641950304152,[[0.9782915]],0.012659551406793576,1.8309387604918748,[[0.97619591]],2.84568,9,7.597699669265582,1.0801,1.3471154914225991,1.0,500.0,0,7.422707598458848,2.8925603429487863,0.0,[[-0.00209559]],0.0,0.0
7.474291981957273,0.0038722211359399107,0.0,1448.060606060606,100,0.0021897280933920182,73.20288924333579,0.0038722211359399107,[[0.97619591]],0.011758938552632993,1.8005278068367128,[[0.97838563]],2.89456,10,7.630121357537952,1.0801,1.4105715936641232,1.0,500.0,0,7.474293226791299,2.9211097901996084,0.0,[[0.00218973]],0.0,0.0
7.476318144687454,0.003891533236349822,0.0,1444.969696969697,100,0.0004247221902394793,85.58455616198243,0.003891533236349822,[[0.97838563]],0.01180583190131172,1.8021420816702942,[[0.97881036]],2.89044,11,7.632746750719139,1.0801,0.28970906044199296,1.0,500.0,0,7.476319357645737,2.926075290623944,0.0,[[0.00042472]],0.0,0.0
7.472244170469942,0.0038518868161303878,0.0,1444.828282828283,100,5.713823407194063e-06,65.53956941937889,0.0038518868161303878,[[0.97881036]],0.01170951248157291,1.7988225081413884,[[0.97881607]],2.89032,12,7.625783136595555,1.0801,0.003936079420149952,1.0,500.0,0,7.472245675305364,2.9240195446679214,0.0,[[5.71382341e-06]],0.0,0.0
7.4492976701284395,0.004032519707661152,0.0,1435.858585858586,100,0.0015558539788084191,70.74795354873197,0.004032519707661152,[[0.97881607]],0.012146780926553673,1.8137747213011217,[[0.97726022]],2.873,13,7.613167593190972,1.0801,1.0351986292876987,1.0,500.0,0,7.44929869867195,2.90627441925225,0.0,[[-0.00155585]],0.0,0.0
7.430689885376685,0.00418895483224837,0.0,1426.5454545454545,100,0.0006781406333942197,76.90099534726095,0.00418895483224837,[[0.97726022]],0.0125223126284754,1.8263826016435438,[[0.97658208]],2.85284,14,7.602609371482121,1.0801,0.4297130075179467,1.0,500.0,0,7.430690584085314,2.897271808857429,0.0,[[-0.00067814]],0.0,0.0
