RewardStd,DualBefore,RewardMean,DualReg,TimestepsMean,DualAfter,NormDeltaVar,DeltaOmega,Traj,Primal,NormDeltaOmega,Wins,OmegaBefore,LossReg,ReturnsMean,Epsilon,WeightMax,ConfortViolation,Eta,ReturnsStd,WeightMin,Omega,WeightMean,WeightMedian,ITERATIONS,TimestepsStd
2.426482804719621,7.620376147675028,2.35228,0.0,500.0,6.917057877824097,13.122700915139749,[[0.10928068]],100,6.917057880274881,0.10928067539274355,0.0,[[0.8]],0.0,1175.919191919192,1.1201,1.0,0,2.1653420074968692,68.81209618348497,0.009870467106316469,[[0.90928068]],0.009870467106316469,0.0248582278501657,0,0.0
2.657696804678818,7.509500735971068,2.56788,0.0,500.0,7.1627740283882035,10.528715304883072,[[0.04515058]],100,7.162774033297384,0.04515057711946979,0.0,[[0.90928068]],0.0,1283.8989898989898,1.1201,1.0,0,1.9676367407672566,66.72504942824635,0.006205998791883343,[[0.95443125]],0.006205998791883343,0.017149416554406993,1,0.0
2.826020498439458,7.599010019433036,2.76132,0.0,500.0,7.402119465410991,7.779764896412011,[[0.0186194]],100,7.402120812494652,0.01861939961882597,0.0,[[0.95443125]],0.0,1380.5050505050506,1.1201,1.0,0,1.8308057226319387,75.31608460850194,0.004244734518629516,[[0.97305065]],0.004244734518629516,0.012655532587018467,2,0.0
2.8792061236389443,7.626746563956739,2.82676,0.0,500.0,7.474127011252156,3.0743753057996486,[[0.00510407]],100,7.474127622278873,0.005104074976933326,0.0,[[0.97305065]],0.0,1412.7474747474748,1.1201,1.0,0,1.7731038587956198,79.52260887260887,0.00355348113487068,[[0.97815473]],0.00355348113487068,0.01097799961770048,3,0.0
2.9163176120580556,7.663796248053182,2.88316,0.0,500.0,7.534708302723885,2.056397008023943,[[0.00287317]],100,7.534709638969518,0.0028731669480043243,0.0,[[0.97815473]],0.0,1440.20202020202,1.1201,1.0,0,1.732860710092469,74.96935128625844,0.003117249368753214,[[0.98102789]],0.003117249368753214,0.009885923297061262,4,0.0
2.920237204338031,7.66550573815301,2.88948,0.0,500.0,7.540200084047271,0.27303691396091523,[[0.00035248]],100,7.540201522324878,0.00035247529247062204,0.0,[[0.98102789]],0.0,1443.4747474747476,1.1201,1.0,0,1.726518709278475,73.38763050954103,0.003051865897057863,[[0.98138037]],0.003051865897057863,0.009719688729735984,5,0.0
2.9097432123127294,7.651532541790244,2.86872,0.0,500.0,7.51973182176806,0.5496114814059396,[[-0.00071619]],100,7.519733254160498,0.0007161867124582111,0.0,[[0.98138037]],0.0,1433.1313131313132,1.1201,1.0,0,1.7394485636568322,86.94136494603548,0.0031861296368923134,[[0.98066418]],0.0031861296368923134,0.010060295881922176,6,0.0
2.9218432469932396,7.661228325798139,2.8802,0.0,500.0,7.535313600213547,0.7284692726212754,[[0.00094359]],100,7.535315106081812,0.0009435912349103903,0.0,[[0.98066418]],0.0,1439.4343434343434,1.1201,1.0,0,1.7292793731218519,76.0287241859062,0.0030802158225030195,[[0.98160777]],0.0030802158225030195,0.009791853742334768,7,0.0
2.9287509900297093,7.675449699134675,2.89872,0.0,500.0,7.552946057651098,0.2847367976284474,[[0.00035641]],100,7.5529474504576255,0.00035641065933034177,0.0,[[0.98160777]],0.0,1447.7575757575758,1.1201,1.0,0,1.7206580884746698,80.00720812338601,0.0029922494055939896,[[0.98196418]],0.0029922494055939896,0.009567494726174977,8,0.0
2.929721155058959,7.673612319022,2.89756,0.0,500.0,7.552167248234796,0.09780627027615196,[[0.00012085]],100,7.552168685371123,0.00012085476529832828,0.0,[[0.98196418]],0.0,1448.909090909091,1.1201,1.0,0,1.7194598338878246,79.61182224134613,0.002980155095230431,[[0.98208504]],0.002980155095230431,0.009536545676091199,9,0.0
2.9255338726461537,7.670158905091726,2.8966,0.0,500.0,7.548025332293325,0.243649911287676,[[-0.00030255]],100,7.548026784020663,0.00030255494428643726,0.0,[[0.98208504]],0.0,1447.3737373737374,1.1201,1.0,0,1.7206770054962781,77.64651655094828,0.0029924405979339184,[[0.98178248]],0.0029924405979339184,0.009567983781669566,10,0.0
2.9521695170840037,7.697627911892961,2.93632,0.0,500.0,7.590329767393943,1.6233974803057407,[[0.00192502]],100,7.590330228622411,0.0019250213807416872,0.0,[[0.98178248]],0.0,1467.5555555555557,1.1201,1.0,0,1.6903199903486392,80.85680349331159,0.0026958557292540005,[[0.98370751]],0.0026958557292540005,0.008801512650200034,11,0.0
2.940826916090099,7.684432236186016,2.91136,0.0,500.0,7.568473447010467,0.704533943375047,[[-0.00080956]],100,7.568474829377774,0.0008095601258791829,0.0,[[0.98370751]],0.0,1456.828282828283,1.1201,1.0,0,1.7086558396049687,77.7486289338386,0.002872554236408835,[[0.98289795]],0.002872554236408835,0.009260076826773869,12,0.0
2.919884682654437,7.660550659595089,2.8812,0.0,500.0,7.534383344655014,1.1916986396565434,[[-0.00146021]],100,7.53438484319125,0.0014602110099305454,0.0,[[0.98289795]],0.0,1440.020202020202,1.1201,1.0,0,1.7294250343107644,68.15579001882746,0.00308171641877086,[[0.98143773]],0.00308171641877086,0.00979566981350237,13,0.0
2.936796176516171,7.682609494234478,2.90776,0.0,500.0,7.564082006717969,0.8968908866755925,[[0.00110984]],100,7.564083391982923,0.0011098403858524897,0.0,[[0.98143773]],0.0,1453.919191919192,1.1201,1.0,0,1.713112568468775,70.1622472901314,0.002916625383660288,[[0.98254757]],0.002916625383660288,0.009373559078389207,14,0.0
2.931080031387747,7.67510680241836,2.90136,0.0,500.0,7.555112892678368,0.2786414596813813,[[-0.00033763]],100,7.555114328424683,0.0003376340223195662,0.0,[[0.98254757]],0.0,1449.8181818181818,1.1201,1.0,0,1.7166409174731865,73.47154518757429,0.0029518296053901026,[[0.98220994]],0.0029518296053901026,0.009463962861227299,15,0.0
