Traj,WeightMean,DualAfter,Epsilon,ConfortViolation,NormDeltaOmega,ITERATIONS,LossReg,OmegaBefore,NormDeltaVar,TimestepsMean,Primal,Omega,Eta,DualReg,ReturnsMean,DualBefore,WeightMedian,RewardMean,ReturnsStd,TimestepsStd,DeltaOmega,WeightMin,WeightMax,Wins,RewardStd
100,0.02247702868631349,6.062798339740501,0.7801,0,0.013901111014246181,0,0.0,[[0.8]],1.2752331230869842,500.0,6.062797408460265,[[0.81390111]],2.6348645967778492,0.0,1165.858585858586,7.247981082974175,0.048016568485408306,2.33108,62.33843928220868,0.0,[[0.01390111]],0.02247702868631349,1.0,0.0,2.4027455199417185
100,0.02211551309320444,6.09568807930569,0.7801,0,0.022917313412196494,1,0.0,[[0.81390111]],2.274041280908726,500.0,6.095686804229677,[[0.83681842]],2.6236555305945033,0.0,1174.3838383838383,7.228767326110356,0.047397737976574594,2.34932,64.04397275210893,0.0,[[0.02291731]],0.02211551309320444,1.0,0.0,2.4349734161998566
100,0.021405652956322956,6.174513507392029,0.7801,0,0.01922755969241341,2,0.0,[[0.83681842]],2.1155230092080757,500.0,6.174511355997789,[[0.85604598]],2.6013889827718764,0.0,1202.7070707070707,7.218883204775116,0.046176688414976345,2.40752,58.78590714872087,0.0,[[0.01922756]],0.021405652956322956,1.0,0.0,2.4860586174907464
100,0.02058497083047089,6.232728182371273,0.7801,0,0.017746941436377006,3,0.0,[[0.85604598]],2.1727033473530852,500.0,6.232724574630248,[[0.87379293]],2.5751996668099792,0.0,1226.888888888889,7.186169910954163,0.04475486018682986,2.45044,55.84192858107894,0.0,[[0.01774694]],0.02058497083047089,1.0,0.0,2.533026609887863
100,0.02015703135552805,6.273933759785747,0.7801,0,0.009499043655350148,4,0.0,[[0.87379293]],1.272300499242391,500.0,6.273933761164018,[[0.88329197]],2.561342815199082,0.0,1238.969696969697,7.176405700118129,0.04400897534952267,2.47876,60.95559810478618,0.0,[[0.00949904]],0.02015703135552805,1.0,0.0,2.564088310179663
100,0.019962403159813725,6.305560713200118,0.7801,0,0.008519432401519422,5,0.0,[[0.88329197]],1.2199748890174895,500.0,6.30556071517458,[[0.8918114]],2.554993281567122,0.0,1246.9292929292928,7.174966298518449,0.04366869944983476,2.49436,63.77948951926814,0.0,[[0.00851943]],0.019962403159813725,1.0,0.0,2.592020098378869
100,0.019326233296134716,6.384314472330901,0.7801,0,0.007703970675528415,6,0.0,[[0.8918114]],1.1781813401037589,500.0,6.3843144759562165,[[0.89951537]],2.534024429731054,0.0,1279.939393939394,7.189428772429916,0.042551784145148555,2.55708,71.59733336575627,0.0,[[0.00770397]],0.019326233296134716,1.0,0.0,2.6338986073119823
100,0.0192472213050604,6.392507223957758,0.7801,0,0.002905869766006819,7,0.0,[[0.89951537]],0.46528869846986254,500.0,6.392507228084445,[[0.90242124]],2.53139654655691,0.0,1279.6363636363637,7.1858828378160275,0.04241255461488885,2.56008,56.87438836087228,0.0,[[0.00290587]],0.0192472213050604,1.0,0.0,2.6433445468950882
100,0.019164902730075886,6.366696347265959,0.7801,0,0.0013721259975649769,8,0.0,[[0.90242124]],0.22122043622630372,500.0,6.366696351299959,[[0.90104912]],2.528653017246259,0.0,1273.3333333333333,7.159984317844849,0.042267376803436826,2.54516,68.57334052168547,0.0,[[-0.00137213]],0.019164902730075886,1.0,0.0,2.630893493549292
100,0.01907900337662056,6.401214121459946,0.7801,0,0.004017065140199949,9,0.0,[[0.90104912]],0.6555985865422365,500.0,6.4012141263155,[[0.90506618]],2.525783929617674,0.0,1282.4242424242425,7.177824646649935,0.042115750858604736,2.5662,67.50998293692015,0.0,[[0.00401707]],0.01907900337662056,1.0,0.0,2.6519987858217426
100,0.019034542695922082,6.4009387742758665,0.7801,0,0.0012064890290969243,10,0.0,[[0.90506618]],0.2017476663736133,500.0,6.400938779427701,[[0.90627267]],2.5242964073085137,0.0,1282.3838383838383,7.172060657409501,0.04203721712483585,2.5648,65.9670421338798,0.0,[[0.00120649]],0.019034542695922082,1.0,0.0,2.6548146752645465
100,0.01912480765056685,6.40499027525901,0.7801,0,0.0005053952901893366,11,0.0,[[0.90627267]],0.0847931483457458,500.0,6.404990280134914,[[0.90576727]],2.5273146117862244,0.0,1283.878787878788,7.182560000329598,0.04219661959867671,2.56648,72.24638996640059,0.0,[[-0.0005054]],0.01912480765056685,1.0,0.0,2.655330565033288
100,0.0189541637006806,6.404193038445912,0.7801,0,0.000522074227660263,12,0.0,[[0.90576727]],0.08759845190176208,500.0,6.40419304380279,[[0.90628935]],2.521602790971228,0.0,1284.3030303030303,7.169993197393641,0.041895145372884565,2.56928,69.22857099003498,0.0,[[0.00052207]],0.0189541637006806,1.0,0.0,2.655665694623478
100,0.01878427676182958,6.421827275780728,0.7801,0,0.0036205860879701124,13,0.0,[[0.90628935]],0.6198422903822021,500.0,6.421827282332347,[[0.90990994]],2.515890932240167,0.0,1289.919191919192,7.167800586481395,0.04159446883611591,2.58,68.42169848512553,0.0,[[0.00362059]],0.01878427676182958,1.0,0.0,2.6702359446311106
100,0.018710546410577296,6.466655374632158,0.7801,0,0.0026968373635158915,14,0.0,[[0.90990994]],0.47645095602733534,500.0,6.466655382060448,[[0.91260677]],2.5134040245542564,0.0,1305.1313131313132,7.200040834483174,0.04146380719933619,2.61068,74.35441289161997,0.0,[[0.00269684]],0.018710546410577296,1.0,0.0,2.6920828251745896
100,0.01867700854682105,6.452652865388094,0.7801,0,0.0012056290690913851,15,0.0,[[0.91260677]],0.21461595797286037,500.0,6.452652872635366,[[0.91140114]],2.512271187965255,0.0,1300.0,7.18712985603919,0.04140433883639013,2.6032,68.25856959556305,0.0,[[-0.00120563]],0.01867700854682105,1.0,0.0,2.6841739436929197
100,0.018663122670921368,6.426599940087799,0.7801,0,0.0011227079039553,16,0.0,[[0.91140114]],0.19749717730166338,500.0,6.426599947080997,[[0.91027844]],2.5118018568470823,0.0,1293.8181818181818,7.164016396241264,0.04137971055538704,2.58612,69.6502610285179,0.0,[[-0.00112271]],0.018663122670921368,1.0,0.0,2.672179512233413
100,0.018786419738482964,6.424248564864417,0.7801,0,0.0011992966301888064,17,0.0,[[0.91027844]],0.20852424441019934,500.0,6.424248571225859,[[0.90907914]],2.515963141729536,0.0,1291.3131313131314,7.172193879328793,0.041598264987968134,2.58348,61.518272963215544,0.0,[[-0.0011993]],0.018786419738482964,1.0,0.0,2.6688332824663292
100,0.019119342723094502,6.4313170943169125,0.7801,0,0.002175422058887211,18,0.0,[[0.90907914]],0.3720093363235648,500.0,6.431317099448908,[[0.90690372]],2.527132080786143,0.0,1291.979797979798,7.20421492071527,0.042186973151607327,2.5844,64.75969250773632,0.0,[[-0.00217542]],0.019119342723094502,1.0,0.0,2.6671476599543564
100,0.018853343935387432,6.409666291867767,0.7801,0,0.0002883060116996017,19,0.0,[[0.90690372]],0.048850208347360535,500.0,6.40966629764765,[[0.90719202]],2.5182161563713352,0.0,1287.5555555555557,7.1668086272836735,0.04171677357818483,2.57432,70.74412881692088,0.0,[[0.00028831]],0.018853343935387432,1.0,0.0,2.659367695073399
