Primal,OmegaBefore,WeightMax,Omega,DualAfter,ReturnsStd,DualBefore,DualReg,ITERATIONS,ReturnsMean,TimestepsMean,Traj,Epsilon,LossReg,WeightMin,DeltaOmega,NormDeltaVar,TimestepsStd,Eta,ConfortViolation,Wins,RewardMean,WeightMedian,RewardStd,WeightMean,NormDeltaOmega
6.0118138283597995,[[0.8]],1.0,[[0.8036849]],6.011813827020276,63.85926010783599,7.253767554753571,0.0,0,1168.9292929292928,500.0,100,0.7501,0.0,0.024587839794780048,[[0.0036849]],0.3313126995766815,0.0,2.698688749244524,0,0.0,2.33848,0.0515912796176096,2.421270594047679,0.024587839794780048,0.0036848991404059284
6.0381337170353016,[[0.8036849]],1.0,[[0.81804487]],6.038133715212267,61.45854986654669,7.254444803196653,0.0,1,1175.5757575757575,500.0,100,0.7501,0.0,0.02445524805078647,[[0.01435997]],1.3381541267049677,0.0,2.6947564907836177,0,0.0,2.35464,0.05136859150481214,2.439899684495246,0.02445524805078647,0.014359966212419195
6.024536271208429,[[0.81804487]],1.0,[[0.82628091]],6.024536987168547,60.1830964766707,7.187409770911316,0.0,2,1180.7070707070707,500.0,100,0.7501,0.0,0.023599345793555278,[[0.00823604]],0.8048311533487862,0.0,2.6691320279404263,0,0.0,2.35976,0.04992521813891584,2.4394123764546247,0.023599345793555278,0.008236043008076344
6.060348310001772,[[0.82628091]],1.0,[[0.83406629]],6.060349088563442,57.77706434538694,7.208739692451325,0.0,3,1188.1818181818182,500.0,100,0.7501,0.0,0.02366970433412324,[[0.00778538]],0.7889900640305036,0.0,2.671254566544265,0,0.0,2.3792,0.05004425938710832,2.4605461507559663,0.02366970433412324,0.007785383274194868
6.113177132738536,[[0.83406629]],1.0,[[0.84961821]],6.113178244323043,58.45502632837239,7.208889058567653,0.0,4,1206.141414141414,500.0,100,0.7501,0.0,0.023345056312144917,[[0.01555192]],1.669789374199123,0.0,2.6614360304750115,0,0.0,2.41304,0.049494385963785095,2.4973822211267542,0.023345056312144917,0.015551921374325817
6.1389855257853,[[0.84961821]],1.0,[[0.85985896]],6.138987152150029,62.187239280364714,7.179907817516124,0.0,5,1216.5858585858587,500.0,100,0.7501,0.0,0.022783289925077402,[[0.01024074]],1.1787031547242712,0.0,2.64429388857656,0,0.0,2.43516,0.04853925981370395,2.5195229259524514,0.022783289925077402,0.010240743311381584
6.121493824994184,[[0.85985896]],1.0,[[0.86418949]],6.12149592949147,56.672280461589594,7.124661735267436,0.0,6,1214.989898989899,500.0,100,0.7501,0.0,0.022219517141169678,[[0.00433054]],0.5201785073275573,0.0,2.626889102921769,0,0.0,2.43056,0.04757597459042977,2.51820135938332,0.022219517141169678,0.0043305383951514065
6.1772225383280555,[[0.86418949]],1.0,[[0.87356265]],6.177225111226635,64.57245131817308,7.150065571830648,0.0,7,1231.4545454545455,500.0,100,0.7501,0.0,0.022171375352516225,[[0.00937316]],1.1757346953435217,0.0,2.6253932303083714,0,0.0,2.46212,0.04749349253912967,2.5537041930497746,0.022171375352516225,0.009373155725982962
6.206467815652553,[[0.87356265]],1.0,[[0.87814404]],6.206470965335081,70.40216509827988,7.148635583721025,0.0,8,1242.5858585858587,500.0,100,0.7501,0.0,0.02189547891754568,[[0.00458139]],0.6019711716133642,0.0,2.616790564817317,0,0.0,2.48468,0.04702010115874028,2.571327536040479,0.02189547891754568,0.004581385708323782
6.2295366241763555,[[0.87814404]],1.0,[[0.88233214]],6.229540413660071,65.65723076586194,7.143441792752163,0.0,9,1251.4343434343434,500.0,100,0.7501,0.0,0.02162655625027713,[[0.0041881]],0.5675963425223891,0.0,2.6083554794639183,0,0.0,2.50272,0.04655752609177735,2.5863782789066256,0.02162655625027713,0.00418810386527102
