ReturnsStd,NormDeltaOmega,ConfortViolation,OmegaBefore,Wins,Traj,ITERATIONS,TimestepsMean,ReturnsMean,TimestepsStd,NormDeltaVar,Omega,RewardMean,RewardStd,DeltaOmega
86.05487031861965,0.10000000148923238,0,8.0,0.0,250,0,22.74,145.78183721536288,12.782503667122494,0.3162277638274369,7.899999998510768,6.410810783437242,1.381726119126637,-0.10000000148923238
106.72283230707295,0.09924703970105941,0,7.899999998510768,0.0,250,1,27.236,178.24096994268848,15.618844515520346,0.30109265280627673,7.800752958809708,6.544315242425042,1.28471195003536,-0.09924703970105941
109.686367518027,0.09922718247900697,0,7.800752958809708,0.0,250,2,31.232,207.37882437882146,15.901514896386445,0.2913423684020647,7.701525776330701,6.63994698958829,1.2154165648555948,-0.09922718247900697
141.4237175234242,0.09792782387866339,0,7.701525776330701,0.0,250,3,36.512,246.59061358135557,20.222211946273333,0.28409762297100527,7.603597952452038,6.7536868312159175,1.1411897258746388,-0.09792782387866339
134.4439443559201,0.09847258870730968,0,7.603597952452038,0.0,250,4,39.532,270.4598025070679,19.02884589248649,0.2759722272209451,7.505125363744728,6.8415410934702985,1.1101291428670488,-0.09847258870730968
134.25728131149347,0.09950446327231255,0,7.505125363744728,0.0,250,5,40.752,281.8020197172372,18.79581059704529,0.26897600597886084,7.405620900472416,6.915047598086897,1.1049128998516224,-0.09950446327231255
158.39996602168887,0.09990829688820568,0,7.405620900472416,0.0,250,6,45.964,322.29104697585666,21.91078967084482,0.2666898503824299,7.30571260358421,7.011814615261001,1.0537454944768203,-0.09990829688820568
148.3944697642022,0.10072183123139133,0,7.30571260358421,0.0,250,7,49.496,351.12733374136616,20.30807681687264,0.24535938628108114,7.204990772352819,7.0940547466737955,1.0271455734998687,-0.10072183123139133
165.22988185610157,0.10136883959526344,0,7.204990772352819,0.0,250,8,52.484,376.67771805515576,22.35553050142179,0.218449948499675,7.103621932757555,7.177000953722197,1.0084839137809596,-0.10136883959526344
180.67190834125952,0.10222182411049108,0,7.103621932757555,0.4,250,9,53.404,387.4598070161689,24.167432300515504,0.21110358675764393,7.001400108647064,7.255258164485223,1.0083074569880799,-0.10222182411049108
160.4777887784009,0.103216908905293,0,7.001400108647064,0.0,250,10,54.948,402.7268761682242,21.29528811732774,0.1997569238701199,6.898183199741771,7.329236299196043,1.005970876814388,-0.103216908905293
188.48659174742392,0.10418492875600638,0,6.898183199741771,0.0,250,11,58.864,436.1723675572352,24.77445264783866,0.20090628289501497,6.793998270985765,7.409832283861702,0.9822587879531411,-0.10418492875600638
185.18717099374177,0.10517979966368607,0,6.793998270985765,0.0,250,12,62.248,466.1221479334872,24.103163609783675,0.21060562077854306,6.688818471322079,7.488146573921847,0.9647868214520735,-0.10517979966368607
205.3907019260539,0.1061931740451243,0,6.688818471322079,0.0,250,13,63.744,482.0661798973984,26.477433108215003,0.2259929266265457,6.582625297276954,7.562534197687601,0.9626956039119711,-0.1061931740451243
198.93416801349449,0.10719666670920969,0,6.582625297276954,0.0,250,14,63.508,484.3066334233505,25.405864204942922,0.2362558993740508,6.475428630567745,7.6259153716594845,0.9725794202920212,-0.10719666670920969
220.6584617991837,0.10822979789311482,0,6.475428630567745,0.0,250,15,70.78,545.8587314102826,27.951164555345457,0.24647819322979045,6.36719883267463,7.712047632244739,0.9316506732859473,-0.10822979789311482
243.71226604462302,0.1093114243782054,0,6.36719883267463,0.4,250,16,74.804,582.5740555697807,30.565823790632567,0.2600148537138031,6.257887408296424,7.7880067318563295,0.9129373725720522,-0.1093114243782054
221.00061876940458,0.11028604430138955,0,6.257887408296424,0.0,250,17,77.856,611.5680774340221,27.48023406013857,0.26727183079531946,6.147601363995035,7.855118133914176,0.9044434519873317,-0.11028604430138955
277.9503357318899,0.1113909137910305,0,6.147601363995035,0.0,250,18,87.352,693.0901681507148,34.318451247106125,0.27720262915144733,6.036210450204004,7.934451050356202,0.8624753713271333,-0.1113909137910305
272.82805416659505,0.1125592811994851,0,6.036210450204004,0.8,250,19,93.208,746.27489354693,33.3570492699819,0.2759492660514983,5.923651169004519,8.006554089208331,0.8394802045312236,-0.1125592811994851
310.05362945144486,0.11357952148174544,0,5.923651169004519,3.2,250,20,106.152,858.2469031357392,37.50158524649325,0.2814000299690389,5.810071647522774,8.085075204760525,0.7851207807481659,-0.11357952148174544
344.7721476460289,0.11447108109455062,0,5.810071647522774,10.8,250,21,129.432,1057.8129756656929,41.289870137843735,0.28359671180769197,5.695600566428223,8.172731439409828,0.6908915189694714,-0.11447108109455062
352.9865460112444,0.11575185719725045,0,5.695600566428223,30.4,250,22,158.0,1308.1036468394311,41.5433267806034,0.2847925071780903,5.579848709230973,8.279137005312856,0.5598791469150876,-0.11575185719725045
290.7379627767191,0.11698047148512636,0,5.579848709230973,54.0,250,23,176.876,1481.767850396581,33.829404724292736,0.2837017534645039,5.462868237745846,8.377438716369552,0.43597169991024387,-0.11698047148512636
214.4215715487714,0.11787963998198592,0,5.462868237745846,69.19999999999999,250,24,187.38,1582.034838583636,24.743233418452,0.2693614971896591,5.3449885977638605,8.442922609582858,0.354268601008359,-0.11787963998198592
269.599124334793,0.11872929098181917,0,5.3449885977638605,65.2,250,25,182.376,1549.1978118471438,31.044011081044278,0.25573420002100805,5.226259306782041,8.494526757068604,0.3843715852447818,-0.11872929098181917
277.71759377200766,0.11977426161341143,0,5.226259306782041,61.199999999999996,250,26,180.624,1546.013995521279,31.739102444776222,0.24450915245782237,5.10648504516863,8.559294421124983,0.4086887864699024,-0.11977426161341143
