OmegaBefore,ReturnsMean,TimestepsStd,Omega,DeltaOmega,RewardStd,Traj,ReturnsStd,NormDeltaOmega,Wins,TimestepsMean,NormDeltaVar,RewardMean,ITERATIONS,ConfortViolation
8.0,148.55549875735608,12.534216210038823,7.899999998510782,-0.10000000148921817,1.3714479680313534,250,84.55869087846246,0.10000000148921817,0.0,23.132,0.3162277682968902,6.422077587642923,0,0
7.899999998510782,167.94645076326566,14.823579055005577,7.800655271733391,-0.09934472677739059,1.3181791133833622,250,101.05884825985824,0.09934472677739059,0.0,25.752,0.28555868708359483,6.5216857239540875,1,0
7.800655271733391,225.14218316636035,17.661777486991507,7.703103000682712,-0.0975522710506791,1.1709589468613053,250,121.97992523064148,0.0975522710506791,0.0,33.796,0.29373071248034793,6.661799714947342,2,0
7.703103000682712,238.6142005047096,17.74708945151289,7.604679548215025,-0.0984234524676868,1.1574887850373627,250,123.79072828467277,0.0984234524676868,0.0,35.396,0.2743347212822728,6.741275864637518,3,0
7.604679548215025,277.18009922278105,21.61059332827306,7.506305102675783,-0.09837444553924257,1.0975044729467809,250,152.6646849137048,0.09837444553924257,0.0,40.484,0.2694748185557249,6.846657919740666,4,0
7.506305102675783,301.96893374001326,20.776611850828807,7.40730284477204,-0.0990022579037424,1.0701009720033927,250,148.57742779244307,0.0990022579037424,0.0,43.58,0.2576405636760476,6.929071448830043,5,0
7.40730284477204,340.7643824563342,23.31508558851972,7.3084022675203695,-0.0989005772516709,1.0270949889689738,250,168.58583119548018,0.0989005772516709,0.0,48.528,0.24255105411126068,7.0220157941051395,6,0
7.3084022675203695,359.87346701543765,21.92249036948129,7.208415439956764,-0.09998682756360555,1.0152071529558488,250,160.17472598156502,0.09998682756360555,0.0,50.696,0.22571254526888426,7.098656048118937,7,0
7.208415439956764,360.05254587312396,21.973599067972454,7.107408114745722,-0.10100732521104216,1.0304867950784677,250,162.307379120712,0.10100732521104216,0.0,50.212,0.218028251704074,7.170647372602645,8,0
7.107408114745722,390.6373693401972,21.36319264529532,7.005347357682569,-0.10206075706315243,1.0048196485558587,250,159.34568508228298,0.10206075706315243,0.0,53.9,0.2072481690625356,7.247446555476758,9,0
7.005347357682569,413.73087846093756,25.102177116736307,6.902263983920757,-0.10308337376181242,0.9924921274583034,250,188.97860226520086,0.10308337376181242,0.0,56.448,0.20514805239488865,7.329416072508106,10,0
6.902263983920757,440.6514224273934,24.0359876851358,6.798193702203211,-0.10407028171754629,0.9773650497677973,250,183.01396619517803,0.10407028171754629,0.0,59.464,0.2011780108384201,7.410389856508028,11,0
6.798193702203211,469.57163465556704,22.862968836089507,6.693130200826634,-0.10506350137657705,0.9612981413598687,250,175.51404972627734,0.10506350137657705,0.0,62.716,0.20701239689547446,7.487270148854631,12,0
