NormDeltaVar,DeltaOmega,Omega,RewardStd,Wins,ConfortViolation,RewardMean,TimestepsStd,TimestepsMean,ReturnsMean,Traj,ReturnsStd,OmegaBefore,NormDeltaOmega,ITERATIONS
0.316227767472206,-0.10000000148898369,7.899999998511016,1.4363684869410993,0.0,0,6.384713450819244,10.648586760692709,20.94,133.695899660155,250,71.71963297761754,8.0,0.10000000148898369,0
0.29350013011558357,-0.09815079742467159,7.801849201086345,1.311269032741176,0.0,0,6.528173565232109,13.178482461952893,26.06,170.12420310994872,250,89.98610561932905,7.899999998511016,0.09815079742467159,1
0.2889612463701924,-0.09797059066739333,7.703878610418951,1.2097895385735247,0.0,0,6.642510480031602,16.58171957307203,31.524,209.3985003725162,250,114.34255233802241,7.801849201086345,0.09797059066739333,2
0.27237185454873447,-0.09679850585192984,7.6070801045670216,1.1327679311334815,0.0,0,6.752482882165021,21.371743588205433,37.024,250.00392622927774,250,149.25536552655586,7.703878610418951,0.09679850585192984,3
0.2639101701663966,-0.09737301828837186,7.50970708627865,1.1057579310838406,0.0,0,6.838552720949652,19.74155576442748,39.824,272.338523559099,250,139.43436453635738,7.6070801045670216,0.09737301828837186,4
0.2630551120039239,-0.0973813270658983,7.412325759212751,1.0543819295328358,0.0,0,6.937518812203554,21.21422202203041,44.972,311.99409602241826,250,151.78782554471528,7.50970708627865,0.0973813270658983,5
0.24924305753466156,-0.0987381763611328,7.313587582851619,1.0686129816788763,0.0,0,6.999804745578598,18.309621951312923,44.588,312.1072939958585,250,132.34738377381936,7.412325759212751,0.0987381763611328,6
0.23732476937390906,-0.09966342120834959,7.213924161643269,1.0206684914851085,0.0,0,7.09591282417631,21.08159386763724,50.12,355.64715074771664,250,153.95725213037755,7.313587582851619,0.09966342120834959,7
0.20558121011116193,-0.10042268166097035,7.113501479982299,1.0096250791312538,0.0,0,7.173505884759626,25.334147390429386,52.324,375.3465219141626,250,187.05708711877446,7.213924161643269,0.10042268166097035,8
0.20688958359866888,-0.10155855322308582,7.011942926759213,1.000355551646227,0.0,0,7.252879091813983,23.53100558837212,54.424,394.73069169288425,250,175.38013963599613,7.113501479982299,0.10155855322308582,9
0.20733665762547882,-0.1026792626934121,6.909263664065801,0.9991622066629267,0.0,0,7.323193105293774,23.602694422459482,55.604,407.1988294267551,250,177.87809358832828,7.011942926759213,0.1026792626934121,10
0.2159938379213053,-0.10376411488714155,6.805499549178659,0.9763669112209293,0.0,0,7.4029782849674675,26.58318746877432,59.488,440.3883722161447,250,202.1607984060606,6.909263664065801,0.10376411488714155,11
0.22573216608213542,-0.1047230976117488,6.70077645156691,0.9768070604946852,0.0,0,7.477225262209384,23.133653062151684,60.564,452.85067078044915,250,177.45668163900646,6.805499549178659,0.1047230976117488,12
0.22552651584682568,-0.10565291064409177,6.595123540922819,0.9851310152483275,0.0,0,7.541334926057067,23.850945473921993,60.62,457.15572321757935,250,184.68377805825088,6.70077645156691,0.10565291064409177,13
0.2392321229728377,-0.10667903982237625,6.488444501100442,0.9442545792424168,0.0,0,7.625251665590423,25.065959706342785,67.392,513.8809602474698,250,195.85264425577782,6.595123540922819,0.10667903982237625,14
0.24952149688800243,-0.10783037665961626,6.380614124440826,0.9228012458453991,0.0,0,7.704801223150865,26.494365891638168,72.024,554.9306032962178,250,208.87734648296689,6.488444501100442,0.10783037665961626,15
0.2604524260655005,-0.1089781824539715,6.271635941986855,0.9062244424855547,0.8,0,7.776864864439584,31.225826234064648,75.424,586.5622555354913,250,248.9084479553735,6.380614124440826,0.1089781824539715,16
0.2681508041103108,-0.11013734736793435,6.16149859461892,0.876509983645177,0.0,0,7.852966908920717,30.36223153854143,82.836,650.5083668673565,250,243.50830976370233,6.271635941986855,0.11013734736793435,17
0.2664294148024742,-0.1111920385318177,6.0503065560871025,0.8229195021772483,2.4,0,7.934580166358104,36.10643133847487,93.796,744.2318812837246,250,293.32009650881105,6.16149859461892,0.1111920385318177,18
0.2752713234235306,-0.11232128827438359,5.937985267812719,0.7982365065464591,2.8000000000000003,0,8.001654828798026,41.27293757415384,101.068,808.711250236959,250,337.2374458178532,6.0503065560871025,0.11232128827438359,19
