NormDeltaVar,RewardMean,ReturnsStd,TimestepsMean,ReturnsMean,TimestepsStd,NormDeltaOmega,DeltaOmega,ConfortViolation,ITERATIONS,Traj,RewardStd,Wins,OmegaBefore,Omega
0.3162277667071199,6.4267313242147885,69.95969620007702,23.02,147.94335508342442,10.343481038799268,0.10000000148928478,-0.10000000148928478,0,0,250,1.3759600452984027,0.0,8.0,7.899999998510715
0.2963106009262453,6.521644453509632,101.36315217763827,25.372,165.46716307444638,14.839191891743969,0.10009977199491882,-0.10009977199491882,0,1,250,1.3278730054364687,0.0,7.899999998510715,7.799900226515796
0.29810224639194394,6.657533279240648,137.8994561054886,32.948,219.35240648442084,19.9040020096462,0.0975371637682576,-0.0975371637682576,0,2,250,1.1830044551319614,0.4,7.799900226515796,7.702363062747539
0.2768582283662514,6.736664553155762,121.4873521549214,34.016,229.1543814401464,17.39700387997887,0.0985513444454984,-0.0985513444454984,0,3,250,1.1802540341096655,0.0,7.702363062747539,7.60381171830204
0.2792927426521655,6.840750524009025,149.7227793546706,39.404,269.5529336480516,21.173964768082524,0.09839838589261163,-0.09839838589261163,0,4,250,1.111762085569793,0.0,7.60381171830204,7.505413332409429
0.2617452418244868,6.944504560030598,174.20724607432524,46.404,322.2527896036599,24.32399605328039,0.09700460179645631,-0.09700460179645631,0,5,250,1.0387984649531237,0.0,7.505413332409429,7.4084087306129724
0.25393941990546515,6.999727532886445,138.4632337681415,44.444,311.0958904716051,19.14405557869074,0.09849302411091809,-0.09849302411091809,0,6,250,1.0702303520747114,0.0,7.4084087306129724,7.309915706502054
0.23785022887116988,7.098229452030043,163.45141602438784,50.256,356.7286193412218,22.37763311880861,0.099572800617441,-0.099572800617441,0,7,250,1.0196085059877098,0.0,7.309915706502054,7.210342905884613
0.21597340617980235,7.158024436305022,132.81750840486458,48.752,348.9680073187424,18.00762327460234,0.10072210201927856,-0.10072210201927856,0,8,250,1.044162058714166,0.0,7.210342905884613,7.109620803865335
0.20810559492723654,7.259944612042131,186.62538291867432,56.592,410.85478548468825,25.01154805284951,0.10156035585480794,-0.10156035585480794,0,9,250,0.9818254086019368,0.0,7.109620803865335,7.008060448010527
0.20761326072385974,7.330277001329339,168.15100220724787,56.768,416.12516481146383,22.313632066519336,0.10266114844182805,-0.10266114844182805,0,10,250,0.9897580997619255,0.0,7.008060448010527,6.905399299568699
0.21348907100943532,7.408119077198532,194.8896254956361,60.004,444.5167771082207,25.648937287926767,0.10376072814434423,-0.10376072814434423,0,11,250,0.9725787419186687,0.0,6.905399299568699,6.801638571424355
0.20928426442573703,7.4737180117958,169.78426889796657,59.18,442.29463193807544,22.123914662645035,0.10474490421601867,-0.10474490421601867,0,12,250,0.9878894518339514,0.0,6.801638571424355,6.696893667208336
0.2189947797232402,7.55828045913681,208.25276735814126,65.32,493.7068795908164,26.876934348991515,0.10584324373799348,-0.10584324373799348,0,13,250,0.950786619411065,0.0,6.696893667208336,6.591050423470342
0.23750104639296313,7.631487921332829,195.3463653277307,68.104,519.7348533944511,24.984418824539425,0.10691715453090467,-0.10691715453090467,0,14,250,0.9398336321026237,0.0,6.591050423470342,6.484133268939438
0.24981936108458314,7.70755352682353,226.55732193988504,72.06,555.4063071429035,28.72644078196949,0.10797712286755079,-0.10797712286755079,0,15,250,0.9225880663938946,0.0,6.484133268939438,6.376156146071887
0.26375268996142,7.784200724971006,238.85895415797506,78.38,610.1256528232275,29.99059185811444,0.10910561599675095,-0.10910561599675095,0,16,250,0.8915871879073526,0.4,6.376156146071887,6.267050530075136
0.2672392414545741,7.856321311413916,273.5634606573889,83.284,654.3058640997966,34.04096567372906,0.11016895260364734,-0.11016895260364734,0,17,250,0.8716036983812117,0.8,6.267050530075136,6.156881577471489
0.27526825548732525,7.935029522745696,269.82685714170265,91.728,727.8643880624172,33.33283690297002,0.11130225999867971,-0.11130225999867971,0,18,250,0.8400911092166511,0.4,6.156881577471489,6.045579317472809
0.279644197026786,8.011017109322784,318.29133413845113,101.26,811.1955924900251,38.821854669760434,0.11239751434577094,-0.11239751434577094,0,19,250,0.7932036170593849,4.0,6.045579317472809,5.933181803127038
0.27373557697778705,8.099693414148108,337.76156360101675,126.224,1022.3757015074307,40.81173635120172,0.11346250117482626,-0.11346250117482626,0,20,250,0.7055089775194984,7.6,5.933181803127038,5.819719301952212
0.28133330965099806,8.184545651066028,355.630308645345,144.964,1186.4644757611356,42.344901747435905,0.11454273282598759,-0.11454273282598759,0,21,250,0.6139302330137522,21.6,5.819719301952212,5.705176569126224
0.2907568111930155,8.291254175097357,335.8602345786031,166.044,1376.7130082498657,39.49767162757825,0.11561806017416831,-0.11561806017416831,0,22,250,0.5028880689272365,41.199999999999996,5.705176569126224,5.589558508952056
0.2965267458804278,8.379836346405153,236.38771414675065,185.52,1554.627238985084,27.505374020361913,0.11690867321504772,-0.11690867321504772,0,23,250,0.36653891916475767,66.4,5.589558508952056,5.472649835737008
0.2694871920029595,8.431147263971706,271.4389309318444,182.796,1541.179995264972,31.53224356115498,0.11767221646134374,-0.11767221646134374,0,24,250,0.37807083239366185,65.60000000000001,5.472649835737008,5.354977619275664
0.25075305522439323,8.485663763349583,311.6744962827216,179.184,1520.4951757720319,36.06314107229153,0.11785072160554755,-0.11785072160554755,0,25,250,0.39766270403053733,63.2,5.354977619275664,5.237126897670117
0.23489737497918983,8.546311904753635,315.91223696183675,175.232,1497.5873276937893,36.1867679684163,0.11799129418981646,-0.11799129418981646,0,26,250,0.43058709805056444,57.99999999999999,5.237126897670117,5.1191356034803
