ConfortViolation,ITERATIONS,Wins,Omega,WeightMean,NormDeltaVar,DualAfter,ReturnsMean,DualBefore,NormDeltaOmega,TimestepsMean,LossReg,WeightMin,RewardStd,WeightMedian,DualReg,Eta,Epsilon,Traj,TimestepsStd,ReturnsStd,WeightMax,RewardMean,OmegaBefore,DeltaOmega,Primal
0,0,0.0,[[0.47482157]],0.6118050561196271,21.244190468865217,2.6515256003601495,1171.0526315789473,6.4918520917184335,0.3251784278904068,500.0,0.0,0.6118050561196271,2.4083541184800876,0.6749792924903365,0.0,20.35243982332624,0.0080001,20,0.0,52.85678135471413,1.0,2.3362,[[0.8]],[[-0.32517843]],2.6515256025681344
0,1,0.0,[[0.45751683]],0.6683086033727452,0.99349195389866,2.9685411416200687,1294.7368421052631,7.778983978043028,0.017304746451521746,500.0,0.0,0.6683086033727452,2.937165981009586,0.724405337507303,0.0,24.813573695972497,0.0080001,20,0.0,78.99956169449574,1.0,2.584,[[0.47482157]],[[-0.01730475]],2.9685411306353804
0,2,0.0,[[0.43784138]],0.6793574897368151,1.1369135411578535,3.1070020979511392,1353.8947368421052,7.915952897957759,0.01967544637355695,500.0,0.0,0.6793574897368151,3.076799141965559,0.7339706508300528,0.0,25.866007142127437,0.0080001,20,0.0,61.08656044528952,1.0,2.7052,[[0.45751683]],[[-0.01967545]],3.1070024023789555
0,3,0.0,[[0.41781791]],0.6882497926828592,1.1687173695680082,3.2308603657525756,1408.5263157894738,8.02437144825248,0.020023474016954423,500.0,0.0,0.6882497926828592,3.197730188743259,0.7416463631546444,0.0,26.766349105793754,0.0080001,20,0.0,86.45252327817526,1.0,2.8142,[[0.43784138]],[[-0.02002347]],3.230860363525595
0,4,0.0,[[0.41269349]],0.6917116274449583,0.30148744565036534,3.2603196002220187,1421.0526315789473,8.07594154316001,0.00512441733388036,500.0,0.0,0.6917116274449583,3.2442088650393646,0.744629196854385,0.0,27.130700505001922,0.0080001,20,0.0,87.08221988092967,1.0,2.8378,[[0.41781791]],[[-0.00512442]],3.2603196524970213
0,5,0.0,[[0.40439924]],0.694724029981928,0.4903754822088411,3.315916447029246,1434.5263157894738,8.114401191230582,0.008294249733935166,500.0,0.0,0.694724029981928,3.2885644284398623,0.7472223557499791,0.0,27.454381074202395,0.0080001,20,0.0,100.60834349676688,1.0,2.888,[[0.41269349]],[[-0.00829425]],3.3159162922654244
0,6,0.0,[[0.38948646]],0.6998068140729808,0.8900487377599084,3.401049822043201,1482.842105263158,8.176790305260019,0.01491278242065358,500.0,0.0,0.6998068140729808,3.365158177560158,0.7515926658505896,0.0,28.015052673064393,0.0080001,20,0.0,117.58144463257652,1.0,2.9638,[[0.40439924]],[[-0.01491278]],3.401049679493411
0,7,0.0,[[0.37486876]],0.7050438385946864,0.8844889024264804,3.504009258624504,1528.1052631578948,8.249871706775037,0.014617693223246297,500.0,0.0,0.7050438385946864,3.4469658774058094,0.7560889609135756,0.0,28.61268841971407,0.0080001,20,0.0,102.73619499364794,1.0,3.0568,[[0.38948646]],[[-0.01461769]],3.5040088253674018
0,8,0.0,[[0.36357149]],0.7096244594021027,0.6930076787632959,3.585733164527495,1564.1052631578948,8.318660565044024,0.011297272628400468,500.0,0.0,0.7096244594021027,3.519659619906448,0.7600162202923972,0.0,29.152871830229568,0.0080001,20,0.0,68.88426199972339,1.0,3.1296,[[0.37486876]],[[-0.01129727]],3.5857323083747104
0,9,0.0,[[0.36095261]],0.7110668694075695,0.16194019716863917,3.6145905561092757,1575.157894736842,8.34351970609807,0.002618884430793389,500.0,0.0,0.7110668694075695,3.542850355293037,0.761251839880084,0.0,29.326476085172644,0.0080001,20,0.0,77.47683059972442,1.0,3.1556,[[0.36357149]],[[-0.00261888]],3.6145895389212144
