Traj,ReturnsMean,NormDeltaVar,RewardStd,Wins,NormDeltaOmega,RewardMean,ConfortViolation,ITERATIONS,ReturnsStd,OmegaBefore,TimestepsStd,TimestepsMean,DeltaOmega,Omega
250,147.11747949923006,0.31622776652904167,1.3771784877975455,0.0,0.10000000148922528,6.417618194871316,0,0,76.57279494955532,8.0,11.341173836953562,22.924,-0.10000000148922528,7.899999998510775
250,180.55043628378937,0.2970395382310453,1.2764366501303437,0.0,0.09929851370991294,6.544527920972501,0,1,111.93159521148121,7.899999998510775,16.431258503230968,27.588,-0.09929851370991294,7.800701484800862
250,197.9509692593324,0.28619301243243533,1.2418084707649808,0.0,0.09959155378628015,6.629302386447836,0,2,111.75281366543402,7.800701484800862,16.219260155753098,29.86,-0.09959155378628015,7.701109931014582
250,254.51911452015304,0.2747536399428196,1.124444811133865,0.0,0.09731165864927771,6.75977675874198,0,3,138.10679162508458,7.701109931014582,19.77662499012407,37.652,-0.09731165864927771,7.603798272365304
250,269.57470161213246,0.2659785006681133,1.1102943160055359,0.0,0.09798657256916421,6.833672216896484,0,4,140.13304480483794,7.603798272365304,19.836917502475025,39.448,-0.09798657256916421,7.50581169979614
250,300.0002472263795,0.25295730685243006,1.0733373898498582,0.0,0.09893885702931815,6.927132336436212,0,5,139.78745286500026,7.50581169979614,19.54474701806089,43.308,-0.09893885702931815,7.406872842766822
250,345.45640444118925,0.23191242474792062,1.0204097253880937,0.0,0.09887305857471507,7.024898414698009,0,6,177.22689975940472,7.406872842766822,24.50079639521948,49.176,-0.09887305857471507,7.3079997841921065
250,339.7588725772075,0.20950336464155403,1.0429302847974757,0.0,0.10003635041552617,7.088351676900765,0,7,155.9554905245403,7.3079997841921065,21.329964275638154,47.932,-0.10003635041552617,7.20796343377658
250,386.86437870673336,0.20522086257298727,0.9962111013038395,0.0,0.10064560731178407,7.1822437751881285,0,8,179.84127769625943,7.20796343377658,24.34135378322249,53.864,-0.10064560731178407,7.107317826464796
250,389.25477939934376,0.2043450292887232,1.0065398692760588,0.0,0.10176894185621066,7.247612634976982,0,9,189.03461528032557,7.107317826464796,25.34511266496955,53.708,-0.10176894185621066,7.005548884608586
250,418.5730412659948,0.20850475031897567,0.9865682428989117,0.0,0.10285471606083618,7.327959405917276,0,10,177.03539495741788,7.005548884608586,23.49403328507049,57.12,-0.10285471606083618,6.902694168547749
250,434.5244056003111,0.21319975114889755,0.9829847737082581,0.0,0.10390714339466367,7.403973650496033,0,11,190.14787839790168,6.902694168547749,25.0185262555571,58.688,-0.10390714339466367,6.798787025153086
250,458.86598081452075,0.22292650808099196,0.9693284761022462,0.4,0.10495500528874757,7.479721927601891,0,12,188.09810031421432,6.798787025153086,24.46963211819908,61.348,-0.10495500528874757,6.693832019864338
250,511.876069139524,0.23894026265408727,0.9330400533248466,0.4,0.10595847140092474,7.564074789270659,0,13,216.755081014106,6.693832019864338,27.96362666036006,67.672,-0.10595847140092474,6.587873548463413
