ReturnsMean,WeightMean,ConfortViolation,Primal,OmegaBefore,DeltaOmega,DualReg,DualBefore,TimestepsStd,LossReg,Epsilon,ITERATIONS,RewardStd,Traj,Eta,Wins,WeightMax,WeightMin,DualAfter,TimestepsMean,NormDeltaVar,WeightMedian,ReturnsStd,Omega,RewardMean,NormDeltaOmega
1176.2828282828282,0.0075086215836681555,0,7.152870083044505,[[0.8]],[[0.12546426]],0.0,7.737004375011151,0.0,0.0,1.2301,0,2.4287905085453545,100,2.0442776748895652,0.0,1.0,0.0075086215836681555,7.152870080945932,500.0,16.18174784822263,0.019973224061610343,60.422091151097405,[[0.92546426]],2.35216,0.12546425572914632
1330.909090909091,0.003144989190421256,0,7.474163216087543,[[0.92546426]],[[0.04802459]],0.0,7.648173765833531,0.0,0.0,1.2301,1,2.7352619542559355,100,1.735525122532178,0.0,1.0,0.003144989190421256,7.474167988428018,500.0,15.490060542368106,0.009956239282929338,68.12541775004391,[[0.97348885]],2.66304,0.048024593663043014
1424.8080808080808,0.0016094923696788484,0,7.68041162999753,[[0.97348885]],[[0.01325258]],0.0,7.751363472511932,0.0,0.0,1.2301,2,2.8924120422927295,100,1.5547659025205967,0.0,1.0,0.0016094923696788484,7.680411006751134,500.0,10.092045317453227,0.00582574052747069,72.93883929796857,[[0.98674143]],2.85076,0.013252583578382882
1468.020202020202,0.001089898704157236,0,7.762166080302715,[[0.98674143]],[[0.00398432]],0.0,7.805157367419246,0.0,0.0,1.2301,3,2.9539676900061043,100,1.4659165921470996,0.0,1.0,0.001089898704157236,7.762161801011606,500.0,5.163324053127745,0.004264900553379043,69.08434016855661,[[0.99072576]],2.93192,0.003984324304014741
1474.8080808080808,0.003955696619865303,0,7.776639961471614,[[0.99072576]],[[0.00080873]],0.0,7.814504119791795,0.0,0.0,1.2301,4,2.967296766014481,100,1.445975144936126,0.0,1.0,0.003955696619865303,7.7766368477251735,500.0,1.315087633427268,0.01577310637187335,76.63736947042875,[[0.99153449]],2.94532,0.0008087282561939357
1476.20202020202,0.0009664896252621612,0,7.781393674487753,[[0.99153449]],[[7.96971071e-05]],0.0,7.818160509791149,0.0,0.0,1.2301,5,2.9684275745923125,100,1.4405402615241194,0.0,1.0,0.0009664896252621612,7.781395541920047,500.0,0.1362756355939041,0.0038739834155499613,85.40266830430149,[[0.99161418]],2.95312,7.969710712196765e-05
1474.0,0.0010060525132414302,0,7.775363632144617,[[0.99161418]],[[-0.00025683]],0.0,7.814088129652686,0.0,0.0,1.2301,6,2.964389480213421,100,1.4489139719646715,0.0,1.0,0.0010060525132414302,7.775360351387093,500.0,0.4346636725261135,0.0040003364579961915,73.73170034906042,[[0.99135735]],2.94564,0.0002568329787361323
1469.030303030303,0.0010545276680025651,0,7.767782715673051,[[0.99135735]],[[-0.00032754]],0.0,7.808926138103834,0.0,0.0,1.2301,7,2.959135127431663,100,1.458861068954191,0.0,1.0,0.0010545276680025651,7.767778877153765,500.0,0.5361188806163,0.004153807662789688,77.98231534116422,[[0.99102981]],2.93676,0.00032754234854837083
1474.6868686868686,0.00392154271157912,0,7.7778048383736005,[[0.99102981]],[[0.00042698]],0.0,7.815262648706921,0.0,0.0,1.2301,8,2.9651805041852004,100,1.4437123219156598,0.0,1.0,0.00392154271157912,7.777806889886046,500.0,0.7028712286940646,0.015670855720045247,69.56323283834753,[[0.99145679]],2.95076,0.00042698175208510936
1466.060606060606,0.0010788673662866014,0,7.7620987284275405,[[0.99145679]],[[-0.00058918]],0.0,7.804300096872163,0.0,0.0,1.2301,9,2.955889084793271,100,1.463733758864231,0.0,1.0,0.0010788673662866014,7.762094582611559,500.0,0.9612105711739787,0.004230331930401728,76.65504762835529,[[0.99086761]],2.93072,0.0005891772331236833
1498.1616161616162,0.0007734886189441049,0,7.8183548514420425,[[0.99086761]],[[0.00207879]],0.0,7.846239836407007,0.0,0.0,1.2301,10,2.992600923344107,100,1.395751410522393,0.0,1.0,0.0007734886189441049,7.818355241854957,500.0,3.7197783411900787,0.0032416277562965857,87.14769850640795,[[0.9929464]],2.99556,0.0020787855402706334
1479.3333333333333,0.0009498850403535052,0,7.784043906454824,[[0.9929464]],[[-0.00127436]],0.0,7.820049407061986,0.0,0.0,1.2301,11,2.9691955543547484,100,1.4369530544497096,0.0,1.0,0.0009498850403535052,7.784045603410805,500.0,2.3909267197762745,0.003820646336356372,70.93260423412032,[[0.99167203]],2.9576,0.0012743623705837592
1472.5454545454545,0.001019565180999675,0,7.7716045710096555,[[0.99167203]],[[-0.00054877]],0.0,7.811024323661252,0.0,0.0,1.2301,12,2.9593626965277506,100,1.4517203464205082,0.0,1.0,0.001019565180999675,7.771601093790366,500.0,0.919547295522122,0.004043263045140852,74.68821019387936,[[0.99112326]],2.94548,0.0005487708657653245
1461.111111111111,0.0011294262319398816,0,7.753636771466523,[[0.99112326]],[[-0.00055656]],0.0,7.79829665354494,0.0,0.0,1.2301,13,2.9510198817358044,100,1.4736122752311396,0.0,1.0,0.0011294262319398816,7.7536366265005565,500.0,0.8767562697469629,0.004388198820062241,74.50427265747904,[[0.99056671]],2.92024,0.0005565562536494761
1467.4949494949494,0.0010521612281845299,0,7.767242530471846,[[0.99056671]],[[0.00043524]],0.0,7.808235625613017,0.0,0.0,1.2301,14,2.958257298883922,100,1.4583830877813253,0.0,1.0,0.0010521612281845299,7.767238702951726,500.0,0.6810972369135442,0.004146348821075006,80.27948323848288,[[0.99100195]],2.93744,0.000435244404804469
1467.2121212121212,0.004176512946350064,0,7.764585541187336,[[0.99100195]],[[4.20385961e-05]],0.0,7.805835140804266,0.0,0.0,1.2301,15,2.959002534638995,100,1.4603127329468732,0.0,1.0,0.004176512946350064,7.764581617668649,500.0,0.06750479604745863,0.01642897141495229,84.60905612479519,[[0.99104399]],2.932,4.203859611906502e-05
1476.989898989899,0.0009658082453738302,0,7.78113367210616,[[0.99104399]],[[0.00048728]],0.0,7.817925237156562,0.0,0.0,1.2301,16,2.966625319382277,100,1.4403939252709446,0.0,1.0,0.0009658082453738302,7.781135550270687,500.0,0.806233893448109,0.0038717983197413767,82.00585036403922,[[0.99153128]],2.95512,0.0004872845792684988
1459.79797979798,0.001142708090481581,0,7.751200073140147,[[0.99153128]],[[-0.00109551]],0.0,7.796544486143302,0.0,0.0,1.2301,17,2.9487739768249446,100,1.4761554436024276,0.0,1.0,0.001142708090481581,7.751199916201585,500.0,1.7536535737898618,0.0044294340698582575,82.79583991378972,[[0.99043577]],2.91844,0.001095506322276396
1481.010101010101,0.0009107383706807469,0,7.791865867999085,[[0.99043577]],[[0.00155933]],0.0,7.826026835141234,0.0,0.0,1.2301,18,2.9752931609506983,100,1.4283153742488226,0.0,1.0,0.0009107383706807469,7.7918671698789534,500.0,2.5649839410048543,0.0036941532462608177,79.86674444139165,[[0.9919951]],2.96492,0.001559326029803798
1477.858585858586,0.0009667904089563701,0,7.782880544244558,[[0.9919951]],[[-0.00037785]],0.0,7.8197820006229435,0.0,0.0,1.2301,19,2.9690378950764504,100,1.4406048358366776,0.0,1.0,0.0009667904089563701,7.78288241407059,500.0,0.6643271961751083,0.0038749478913217747,69.48134116233923,[[0.99161725]],2.95424,0.000377848258939828
