DualReg,DualBefore,ReturnsMean,Primal,Epsilon,TimestepsMean,Traj,RewardMean,WeightMax,Eta,OmegaBefore,RewardStd,LossReg,WeightMedian,Omega,DualAfter,NormDeltaVar,WeightMin,NormDeltaOmega,Wins,ITERATIONS,WeightMean,DeltaOmega,ReturnsStd,ConfortViolation,TimestepsStd
0.0,6.8847752220322,1172.7272727272727,4.797730849749129,0.3601,500.0,100,2.3462,1.0,3.7916933987421357,[[0.8]],2.432362135867108,0.0,0.12125309365490958,[[0.26419735]],4.797730844958372,34.43657064102428,0.07155105390110497,0.5358026502561333,0.0,0,0.07155105390110497,[[-0.53580265]],57.90933669452938,0,0.0
0.0,9.231393872486887,2098.2020202020203,7.815462469709969,0.3601,500.0,100,4.19488,1.0,4.834965139185309,[[0.26419735]],4.171189492890488,0.0,0.19116587136323254,[[0.09554334]],7.815462474157153,17.478412661003347,0.12640462102577144,0.1686540139639218,0.0,1,0.12640462102577144,[[-0.16865401]],105.82680531505953,0,0.0
0.0,9.95590415628034,3530.6464646464647,9.926606257120104,0.3601,500.0,100,7.05976,1.0,2.121081752997736,[[0.09554334]],4.220666859916808,0.0,1.0,[[0.00308407]],9.926606025800245,50.43800337370199,0.00896367061710035,0.09245926090977204,0.0,2,0.00896367061710035,[[-0.09245926]],127.55155924283738,0,0.0
0.0,10.345455776575161,4933.737373737374,10.00000000000139,0.3601,500.0,100,9.86716,1.0,0.004729035229793682,[[0.00308407]],1.100124326792204,0.0,1.0,[[1.99386011e-09]],10.001633660628526,203.6396944949666,0.0,0.0030840728763128246,0.0,3,0.0,[[-0.00308407]],32.8506217700442,0,0.0
0.0,10.358098088311145,4990.0,9.999999999997792,0.3601,500.0,100,9.98,1.0,0.004696840637406812,[[1.99386011e-09]],0.4467661580737735,0.0,1.0,[[1.99386011e-09]],10.001681929226029,0.0,0.0,0.0,0.0,4,0.0,[[0.]],0.0,0,0.0
0.0,10.358098088311145,4990.0,9.999999999997792,0.3601,500.0,100,9.98,1.0,0.004696840637406812,[[1.99386011e-09]],0.4467661580737735,0.0,1.0,[[1.99386011e-09]],10.001681929226029,0.0,0.0,0.0,0.0,5,0.0,[[0.]],0.0,0,0.0
0.0,10.358098088311145,4990.0,9.999999999997792,0.3601,500.0,100,9.98,1.0,0.004696840637406812,[[1.99386011e-09]],0.4467661580737735,0.0,1.0,[[1.99386011e-09]],10.001681929226029,0.0,0.0,0.0,0.0,6,0.0,[[0.]],0.0,0,0.0
0.0,10.358098088311145,4990.0,9.999999999997792,0.3601,500.0,100,9.98,1.0,0.004696840637406812,[[1.99386011e-09]],0.4467661580737735,0.0,1.0,[[1.99386011e-09]],10.001681929226029,0.0,0.0,0.0,0.0,7,0.0,[[0.]],0.0,0,0.0
0.0,10.358098088311145,4990.0,9.999999999997792,0.3601,500.0,100,9.98,1.0,0.004696840637406812,[[1.99386011e-09]],0.4467661580737735,0.0,1.0,[[1.99386011e-09]],10.001681929226029,0.0,0.0,0.0,0.0,8,0.0,[[0.]],0.0,0,0.0
0.0,10.358098088311145,4990.0,9.999999999997792,0.3601,500.0,100,9.98,1.0,0.004696840637406812,[[1.99386011e-09]],0.4467661580737735,0.0,1.0,[[1.99386011e-09]],10.001681929226029,0.0,0.0,0.0,0.0,9,0.0,[[0.]],0.0,0,0.0
0.0,10.358098088311145,4990.0,9.999999999997792,0.3601,500.0,100,9.98,1.0,0.004696840637406812,[[1.99386011e-09]],0.4467661580737735,0.0,1.0,[[1.99386011e-09]],10.001681929226029,0.0,0.0,0.0,0.0,10,0.0,[[0.]],0.0,0,0.0
0.0,10.358098088311145,4990.0,9.999999999997792,0.3601,500.0,100,9.98,1.0,0.004696840637406812,[[1.99386011e-09]],0.4467661580737735,0.0,1.0,[[1.99386011e-09]],10.001681929226029,0.0,0.0,0.0,0.0,11,0.0,[[0.]],0.0,0,0.0
0.0,10.358098088311145,4990.0,9.999999999997792,0.3601,500.0,100,9.98,1.0,0.004696840637406812,[[1.99386011e-09]],0.4467661580737735,0.0,1.0,[[1.99386011e-09]],10.001681929226029,0.0,0.0,0.0,0.0,12,0.0,[[0.]],0.0,0,0.0
0.0,10.358098088311145,4990.0,9.999999999997792,0.3601,500.0,100,9.98,1.0,0.004696840637406812,[[1.99386011e-09]],0.4467661580737735,0.0,1.0,[[1.99386011e-09]],10.001681929226029,0.0,0.0,0.0,0.0,13,0.0,[[0.]],0.0,0,0.0
