WeightMax,NormDeltaOmega,WeightMin,Wins,Primal,Omega,DualAfter,WeightMean,ITERATIONS,ReturnsMean,Eta,ReturnsStd,DeltaOmega,TimestepsStd,Epsilon,DualReg,RewardStd,DualBefore,OmegaBefore,LossReg,TimestepsMean,WeightMedian,Traj,NormDeltaVar,ConfortViolation,RewardMean
1.0,0.15243393025954122,0.004010888871740949,0.0,7.6226836041178565,[[0.95243393]],7.622683564354093,0.004010888871740949,0,1181.4747474747476,1.8120070258770598,57.659106779703066,[[0.15243393]],0.0,1.4601,0.0,2.4427299400465867,7.9902068999609135,[[0.8]],0.0,500.0,0.01209462767517187,100,23.00866703480894,0,2.3638
1.0,0.0413742531660366,0.0003662728297544948,0.0,7.905005703522131,[[0.99380818]],7.905005714811475,0.0003662728297544948,1,1370.080808080808,1.2638818357514983,77.37351056221206,[[0.04137425]],0.0,1.4601,0.0,2.8081553278976576,7.921283535248629,[[0.95243393]],0.0,500.0,0.0017825583832781157,100,29.73449496002506,0,2.73888
1.0,0.006190517978877597,8.711057233396111e-11,0.0,8.03281172890733,[[0.9999987]],8.032815277050318,8.711057233396111e-11,2,1490.888888888889,0.43170729750483494,66.51025422404616,[[0.00619052]],0.0,1.4601,0.0,2.984593861549675,8.066054710767483,[[0.99380818]],0.0,500.0,8.954816559899633e-09,100,121.08443183630314,0,2.98104
1.0,1.291697475314102e-06,0.0,0.0,7.999999999999764,[[0.99999999]],8.00065402752146,0.0,3,1499.4545454545455,0.00895862839889011,87.84505099542801,[[1.29169748e-06]],0.0,1.4601,0.0,2.9992263106341275,8.078290346050489,[[0.9999987]],0.0,500.0,1.3591778204662668e-291,100,74.82569064189676,0,2.99876
1.0,0.0,0.0,0.0,8.00000000000035,[[0.99999999]],8.000657171761969,0.0,4,1499.8383838383838,0.00894286597975783,71.08832279490115,[[0.]],0.0,1.4601,0.0,3.0007192201870536,8.078760416788125,[[0.99999999]],0.0,500.0,4.174491518836149e-292,100,0.0,0,2.99796
1.0,0.0,0.0,0.0,8.000000000000556,[[0.99999999]],8.000644298675798,0.0,5,1498.5858585858587,0.009003221475422204,68.10820418120039,[[0.]],0.0,1.4601,0.0,2.997890479387131,8.076858635808755,[[0.99999999]],0.0,500.0,3.7492384013186834e-290,100,0.0,0,2.99644
1.0,0.0,4.941801122261492e-287,0.0,7.999999999999628,[[0.99999999]],8.000810883808267,4.941801122261492e-287,6,1494.4646464646464,0.01213510880976398,78.76872079950368,[[0.]],0.0,1.4601,0.0,2.9929073359527854,8.072155182574967,[[0.99999999]],0.0,500.0,1.863862831024929e-215,100,0.0,0,2.98972
1.0,0.0,1.0218958409985487e-285,0.0,8.000000000000412,[[0.99999999]],8.000800869343934,1.0218958409985487e-285,7,1495.919191919192,0.012191124675947169,81.21199055218396,[[0.]],0.0,1.4601,0.0,2.9898624639939544,8.071047866217397,[[0.99999999]],0.0,500.0,1.8074028956019799e-214,100,0.0,0,2.99092
1.0,0.0,0.0,0.0,7.999999999999585,[[0.99999999]],8.000647104299086,0.0,8,1498.949494949495,0.008992062734624152,90.91869758444626,[[0.]],0.0,1.4601,0.0,2.9970916993645695,8.077264038129037,[[0.99999999]],0.0,500.0,1.6397531963828098e-290,100,0.0,0,2.99884
1.0,0.0,6.233236258416557e-280,0.0,8.000000000000417,[[0.99999999]],8.000754075389791,6.233236258416557e-280,9,1490.9292929292928,0.01244373235148056,81.3106342549017,[[0.]],0.0,1.4601,0.0,2.986865909276813,8.06598007267327,[[0.99999999]],0.0,500.0,3.9448926653813836e-210,100,0.0,0,2.9802
