Traj,DualReg,WeightMin,NormDeltaOmega,DualBefore,ReturnsMean,DualAfter,LossReg,NormDeltaVar,ReturnsStd,Eta,Wins,WeightMedian,Primal,ConfortViolation,RewardMean,DeltaOmega,ITERATIONS,Omega,Epsilon,TimestepsMean,WeightMax,OmegaBefore,RewardStd,WeightMean,TimestepsStd
100,0.0,0.017690048950873616,0.0605834284905542,7.373978733892151,1176.080808080808,6.359482034350837,0.0,6.19785478109036,62.544638890095605,2.4784664614951253,0.0,0.03964452582191147,6.359479138650266,0,2.35176,[[0.06058343]],0,[[0.86058343]],0.8801,500.0,1.0,[[0.8]],2.4274317503073077,0.017690048950873616,0.0
100,0.0,0.015624919693315687,0.03154628039598639,7.2555400600928515,1213.919191919192,6.439579111301681,0.0,4.179112037620673,63.563485605946035,2.4044887632937892,0.0,0.035896675996531624,6.4395753512557325,0,2.42756,[[0.03154628]],1,[[0.89212971]],0.8801,500.0,1.0,[[0.86058343]],2.5094685585597603,0.015624919693315687,0.0
100,0.0,0.014369893795222247,0.02415927485807723,7.266698754907573,1266.6868686868686,6.596133148032909,0.0,4.003988230519379,65.03653153135721,2.3570341137178232,0.0,0.03357088935735385,6.59613314942389,0,2.53348,[[0.02415927]],2,[[0.91628898]],0.8801,500.0,1.0,[[0.89212971]],2.6195188660515503,0.014369893795222247,0.0
100,0.0,0.013332653071707138,0.013254997334331664,7.281396315805667,1307.858585858586,6.709103652256655,0.0,2.6677748334561713,69.90744387482148,2.316134188613702,0.0,0.0316179175637698,6.7091001403632085,0,2.61796,[[0.013255]],3,[[0.92954398]],0.8801,500.0,1.0,[[0.91628898]],2.6936008313037028,0.013332653071707138,0.0
100,0.0,0.012860661147829335,0.006425838291927888,7.293264340038902,1327.8989898989898,6.763927822163177,0.0,1.4646176321757807,61.8119492467821,2.296959068358937,0.0,0.03071925199107586,6.763928009782369,0,2.6566,[[0.00642584]],4,[[0.93596982]],0.8801,500.0,1.0,[[0.92954398]],2.731328694976128,0.012860661147829335,0.0
100,0.0,0.012468328420935629,0.005757051752954934,7.314666871626944,1347.111111111111,6.8201844471449835,0.0,1.433507482223611,66.88221047904601,2.280728703312013,0.0,0.02996722900003782,6.82018112303234,0,2.69436,[[0.00575705]],5,[[0.94172687]],0.8801,500.0,1.0,[[0.93596982]],2.769119750101104,0.012468328420935629,0.0
100,0.0,0.012315366818958546,0.0012718241223385052,7.3183809805280315,1352.8686868686868,6.835276973748863,0.0,0.33452185864745587,79.92883785279196,2.2743257818284643,0.0,0.029672755743477962,6.835276826098812,0,2.70688,[[0.00127182]],6,[[0.9429987]],0.8801,500.0,1.0,[[0.94172687]],2.7781145882774525,0.012315366818958546,0.0
100,0.0,0.012292750432787287,0.0011885354485776656,7.325456293680141,1355.959595959596,6.845768993524127,0.0,0.3190151322101258,71.60891530634927,2.273375398581569,0.0,0.029629154032240798,6.8457689409855265,0,2.7116,[[0.00118854]],7,[[0.94418723]],0.8801,500.0,1.0,[[0.9429987]],2.786141676225385,0.012292750432787287,0.0
100,0.0,0.012241975407750292,0.00012372098186008706,7.325119486370157,1357.4141414141413,6.848649762480935,0.0,0.03357429943478962,68.7347426744689,2.271238256463872,0.0,0.02953120729695481,6.848649748900076,0,2.71508,[[0.00012372]],8,[[0.94431095]],0.8801,500.0,1.0,[[0.94418723]],2.787332164202896,0.012241975407750292,0.0
100,0.0,0.012348785685922268,0.0010692032266627072,7.309931814088667,1348.969696969697,6.826095049661171,0.0,0.2878633997723341,61.165358675711005,2.2757283658375376,0.0,0.029737154057881496,6.826094972642411,0,2.69788,[[-0.0010692]],9,[[0.94324175]],0.8801,500.0,1.0,[[0.94431095]],2.7763147346077317,0.012348785685922268,0.0
