WeightMin,NormDeltaOmega,DualAfter,RewardMean,LossReg,WeightMean,ConfortViolation,RewardStd,OmegaBefore,DualBefore,ReturnsStd,Traj,ReturnsMean,TimestepsMean,DualReg,DeltaOmega,Eta,Primal,Omega,WeightMedian,Wins,Epsilon,NormDeltaVar,TimestepsStd,ITERATIONS,WeightMax
0.0012496201543704183,0.17742439195797877,8.16479496689253,2.33692,0.0,0.0012496201543704183,0,2.413131764657703,[[0.8]],8.309417549876898,57.46475921091333,100,1169.2323232323233,500.0,0.0,[[0.17742439]],1.495905187595646,8.164797695540344,[[0.97742439]],0.004757977860222216,0.0,1.8201,34.02509351602647,0.0,0,1.0
1.6956616593331354e-11,0.02257462790049225,8.180169885545688,2.88676,0.0,1.6956616593331354e-11,0,2.9180501541954347,[[0.97742439]],8.3634537463942,78.6204177341054,100,1443.5959595959596,500.0,0.0,[[0.02257463]],0.4032199045026209,8.180167458736733,[[0.99999902]],2.4180838715415934e-09,0.0,1.8201,143.82167101365596,0.0,1,1.0
0.0,9.697222720372878e-07,8.001940359090845,2.98732,0.0,0.0,0,2.993699921100977,[[0.99999902]],8.431747703390075,74.04680612281736,100,1493.858585858586,500.0,0.0,[[9.69722272e-07]],0.004550364144251302,7.99999999999985,[[0.99999999]],0.0,0.0,1.8201,64.91488884713897,0.0,2,1.0
0.0,0.0,8.001950063328795,2.99056,0.0,0.0,0,2.9973172815703037,[[0.99999999]],8.434617721347538,76.12995081624948,100,1494.2626262626263,500.0,0.0,[[0.]],0.004542260865147606,7.999999999999808,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,3,1.0
0.0,0.0,8.001962654324208,2.99556,0.0,0.0,0,3.0015163311899546,[[0.99999999]],8.438355620772283,85.3929715840806,100,1497.3333333333333,500.0,0.0,[[0.]],0.00453179538459991,7.999999999999911,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,4,1.0
0.0,0.0,8.001983882142206,3.00808,0.0,0.0,0,3.005956538874107,[[0.99999999]],8.444703047424372,81.41101831240654,100,1505.3939393939395,500.0,0.0,[[0.]],0.00451426511500415,7.999999999999729,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,5,1.0
0.0,0.0,8.001982034433706,3.00328,0.0,0.0,0,3.008040764617395,[[0.99999999]],8.444133536883346,78.68459949270125,100,1502.8080808080808,500.0,0.0,[[0.]],0.004515784101351638,7.999999999999659,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,6,1.0
0.0,0.0,8.001903759002717,2.97068,0.0,0.0,0,2.9831963290403802,[[0.99999999]],8.420971991130854,81.03853502352638,100,1484.2626262626263,500.0,0.0,[[0.]],0.004581187056440442,7.999999999999861,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,7,1.0
0.0,0.0,8.001949796256627,2.99228,0.0,0.0,0,2.996014085681174,[[0.99999999]],8.434545862748196,75.17482531938346,100,1495.090909090909,500.0,0.0,[[0.]],0.0045424890818424705,7.999999999999493,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,8,1.0
0.0,0.0,8.001940091284945,2.98928,0.0,0.0,0,2.992237470790044,[[0.99999999]],8.431676669223677,77.63073073239427,100,1495.0707070707072,500.0,0.0,[[0.]],0.0045505962070052,8.000000000000425,[[0.99999999]],0.0,0.0,1.8201,0.0,0.0,9,1.0
