ConfortViolation,TimestepsMean,Wins,Primal,Traj,Eta,ITERATIONS,WeightMedian,DualBefore,NormDeltaOmega,DualAfter,WeightMax,OmegaBefore,RewardStd,Omega,DualReg,ReturnsMean,TimestepsStd,DeltaOmega,WeightMean,LossReg,NormDeltaVar,WeightMin,ReturnsStd,Epsilon,RewardMean
0,500.0,0.0,6.721704853100128,100,2.261993421134254,0,0.029109127967966462,7.527651565123602,0.09376946335934377,6.721702141969531,1.0,[[0.8]],2.4159188542664256,[[0.89376946]],0.0,1171.2525252525252,0.0,[[0.09376946]],0.012023654662296927,0.0,10.622027190992785,0.012023654662296927,51.036596779123286,1.0401,2.34336
0,500.0,0.0,6.968849887043851,100,2.109114642135826,1,0.022526547735253442,7.4405008557617744,0.04732031961503458,6.968850248998497,1.0,[[0.89376946]],2.63196831318312,[[0.94108978]],0.0,1268.1010101010102,0.0,[[0.04732032]],0.008727066791034781,0.0,9.159824904238441,0.008727066791034781,68.92266123201372,1.0401,2.53772
0,500.0,0.0,7.175189003820459,100,1.9994180509005148,2,0.01829432755308139,7.482084585279486,0.019745863711454925,7.175190302323414,1.0,[[0.94108978]],2.7769354962620216,[[0.96083565]],0.0,1351.3737373737374,0.0,[[0.01974586]],0.006728148422047892,0.0,6.128748349814359,0.006728148422047892,69.07916493014504,1.0401,2.70364
0,500.0,0.0,7.299568701327206,100,1.936086847802353,3,0.01605000618827403,7.538781952156986,0.00857495049938839,7.299566762959637,1.0,[[0.96083565]],2.858421829191766,[[0.9694106]],0.0,1401.858585858586,0.0,[[0.00857495]],0.005712734034247635,0.0,3.6571175291561033,0.005712734034247635,75.38788720606344,1.0401,2.80408
0,500.0,0.0,7.326313576594198,100,1.9200844451681491,4,0.015506694935606807,7.549556582717701,0.0023805615570301475,7.326313281432484,1.0,[[0.9694106]],2.8804276471385286,[[0.97179116]],0.0,1410.3232323232323,0.0,[[0.00238056]],0.005472037359842015,0.0,1.192440803108994,0.005472037359842015,78.25919486853465,1.0401,2.82264
0,500.0,0.0,7.319361702305514,100,1.922606432847382,5,0.015591677299618375,7.545529729208874,0.0007635826470344664,7.319361669139987,1.0,[[0.97179116]],2.8731796474289593,[[0.97102758]],0.0,1408.7676767676767,0.0,[[-0.00076358]],0.0055095489638506195,0.0,0.3927869387784426,0.0055095489638506195,77.673081837129,1.0401,2.82056
0,500.0,0.0,7.333106653828442,100,1.9152827690246133,6,0.015345562628624127,7.553296166630169,0.0006385501795491688,7.333106089333422,1.0,[[0.97102758]],2.880674303283868,[[0.97166613]],0.0,1416.1616161616162,0.0,[[0.00063855]],0.005401054007489599,0.0,0.32776891223553406,0.005401054007489599,70.62072650100278,1.0401,2.83328
0,500.0,0.0,7.371279096456097,100,1.8946491082187755,7,0.014663149973233883,7.575018583842943,0.001958923483066255,7.371278902046113,1.0,[[0.97166613]],2.9033289626909315,[[0.97362505]],0.0,1433.5151515151515,0.0,[[0.00195892]],0.0051025127153787745,0.0,1.0522478776039748,0.0051025127153787745,73.18723237391069,1.0401,2.86688
0,500.0,0.0,7.3445903095222285,100,1.910271254709817,8,0.015178324033350758,7.560320922884272,0.0011731657750347901,7.344590279227417,1.0,[[0.97362505]],2.8891708316401092,[[0.97245188]],0.0,1421.4343434343434,0.0,[[-0.00117317]],0.0053275774880401534,0.0,0.6389302369995704,0.0053275774880401534,71.81909956935382,1.0401,2.84084
0,500.0,0.0,7.3460213519955255,100,1.9081495668573207,9,0.015107809752790987,7.559650219832239,0.0002229488554902348,7.34602129356599,1.0,[[0.97245188]],2.8908254500055865,[[0.97267483]],0.0,1422.3636363636363,0.0,[[0.00022295]],0.005296657417295654,0.0,0.11936051337540476,0.005296657417295654,68.08572352845361,1.0401,2.84224
0,500.0,0.0,7.362770805398567,100,1.898343794291124,10,0.01478414760748884,7.568538762603099,0.0008815747790187345,7.3627706097160015,1.0,[[0.97267483]],2.9008662912998937,[[0.97355641]],0.0,1428.7676767676767,0.0,[[0.00088157]],0.00515519814493659,0.0,0.4814315256984756,0.00515519814493659,77.03899423004124,1.0401,2.8574
0,500.0,0.0,7.359632200384373,100,1.9006199207755354,11,0.014858948862633562,7.5673938771883105,0.00024130130719668408,7.359632060285897,1.0,[[0.97355641]],2.8984473360749545,[[0.97331511]],0.0,1427.6161616161617,0.0,[[-0.0002413]],0.005187822520262498,0.0,0.13330910160449605,0.005187822520262498,77.51529103901224,1.0401,2.8548
0,500.0,0.0,7.359078834273824,100,1.901598622233982,12,0.014891173250683266,7.567511058015611,3.6091416393935205e-05,7.35907870859335,1.0,[[0.97331511]],2.8987787108366856,[[0.9733512]],0.0,1425.5151515151515,0.0,[[3.60914164e-05]],0.005201889775424271,0.0,0.019864276400660685,0.005201889775424271,71.72793204239234,1.0401,2.85316
0,500.0,0.0,7.36136333629071,100,1.897823682013788,13,0.014767082780572012,7.566823004195295,5.5982099384399575e-05,7.361363123116862,1.0,[[0.9733512]],2.899076983869176,[[0.97340718]],0.0,1427.3131313131314,0.0,[[5.59820994e-05]],0.005147761136241752,0.0,0.03086369754467455,0.005147761136241752,66.2204226279413,1.0401,2.85804
0,500.0,0.0,7.349599953555208,100,1.9061463273418902,14,0.01504138968690518,7.561756290206353,0.0006164479822621249,7.34959988114862,1.0,[[0.97340718]],2.892436979157887,[[0.97279073]],0.0,1425.4949494949494,0.0,[[-0.00061645]],0.005267565610380575,0.0,0.3364269250303096,0.005267565610380575,78.5290750681431,1.0401,2.84596
0,500.0,0.0,7.350196198106958,100,1.9069322184536688,15,0.015067428697545656,7.563263261609331,7.568825771975263e-05,7.350196146281414,1.0,[[0.97279073]],2.8922582634336096,[[0.97271504]],0.0,1422.5252525252524,0.0,[[-7.56882577e-05]],0.005278966806360811,0.0,0.0407950744215313,0.005278966806360811,70.42301383398387,1.0401,2.84624
0,500.0,0.0,7.341367046947628,100,1.909665945427539,16,0.01515818908690889,7.556065192671568,0.0002303009560155056,7.341366991837374,1.0,[[0.97271504]],2.8881947236292778,[[0.97248474]],0.0,1419.2727272727273,0.0,[[-0.0002303]],0.005318744769283952,0.0,0.12345642963011016,0.005318744769283952,74.81935391892135,1.0401,2.83872
