ReturnsStd,Epsilon,LossReg,WeightMax,WeightMedian,WeightMean,DeltaOmega,ITERATIONS,ReturnsMean,TimestepsMean,NormDeltaOmega,RewardStd,Traj,OmegaBefore,Primal,DualAfter,WeightMin,NormDeltaVar,Omega,ConfortViolation,DualReg,DualBefore,TimestepsStd,Wins,RewardMean,Eta
53.672163669294875,1.8801,0.0,1.0,0.003475244080239116,0.0008437846884438596,[[0.18335031]],0,1182.1616161616162,500.0,0.1833503058925362,2.444853296539488,100,[[0.8]],8.279106902900521,8.279106454236583,0.0008437846884438596,38.46113164701596,[[0.98335031]],0,0.0,8.377098431393016,0.0,0.0,2.36328,1.4129056945063492
67.28381017088071,1.8801,0.0,1.0,6.441798233504289e-10,3.2453302467504206e-12,[[0.01664834]],1,1433.3333333333333,500.0,0.016648344534440085,2.9097072267841657,100,[[0.98335031]],8.189251413651366,8.189258099486871,3.2453302467504206e-12,134.8163909752688,[[0.99999865]],0,0.0,8.411128177474149,0.0,0.0,2.86612,0.37801746773362926
76.35685930058118,1.8801,0.0,1.0,0.0,0.0,[[1.34240417e-06]],2,1498.6464646464647,500.0,1.3424041659382269e-06,2.9997332148042766,100,[[0.99999865]],8.000000000000068,8.002157900992541,0.0,74.82569355828792,[[0.99999999]],0,0.0,8.498686807734888,0.0,0.0,2.9992,0.004373483342044855
69.34147959018429,1.8801,0.0,1.0,0.0,0.0,[[0.]],3,1496.4040404040404,500.0,0.0,2.9972683019042523,100,[[0.99999999]],8.000000000000014,8.002146519958284,0.0,0.0,[[0.99999999]],0,0.0,8.495099453299055,0.0,0.0,2.99208,0.004382463045282917
67.24291510389952,1.8801,0.0,1.0,0.0,0.0,[[0.]],4,1492.8080808080808,500.0,0.0,2.994092571982369,100,[[0.99999999]],8.0000000000002,8.002134545163834,0.0,0.0,[[0.99999999]],0,0.0,8.491342636391515,0.0,0.0,2.98552,0.004391929310545628
83.98525288266462,1.8801,0.0,1.0,0.0,0.0,[[0.]],5,1516.5050505050506,500.0,0.0,3.0149258299334663,100,[[0.99999999]],8.000000000000203,8.00221683948236,0.0,0.0,[[0.99999999]],0,0.0,8.517433513828685,0.0,0.0,3.0332,0.004327448388115841
80.67365586824388,1.8801,0.0,1.0,0.0,0.0,[[0.]],6,1522.7272727272727,500.0,0.0,3.021964368817078,100,[[0.99999999]],8.000000000000435,8.002237162332351,0.0,0.0,[[0.99999999]],0,0.0,8.523955995403751,0.0,0.0,3.04256,0.00431177581041406
87.03448589218463,1.8801,0.0,1.0,0.0,0.0,[[0.]],7,1496.2626262626263,500.0,0.0,2.995184374959244,100,[[0.99999999]],7.9999999999995275,8.002142700215998,0.0,0.0,[[0.99999999]],0,0.0,8.49390891809155,0.0,0.0,2.9916,0.004385458421347818
74.98686753712481,1.8801,0.0,1.0,0.0,0.0,[[0.]],8,1497.3333333333333,500.0,0.0,3.001356043124508,100,[[0.99999999]],7.999999999999709,8.00215640223551,0.0,0.0,[[0.99999999]],0,0.0,8.498196729293046,0.0,0.0,2.99532,0.00437470433733143
95.04273951468186,1.8801,0.0,1.0,0.0,0.0,[[0.]],9,1494.2222222222222,500.0,0.0,2.992845007680819,100,[[0.99999999]],8.0000000000002,8.002134536972417,0.0,0.0,[[0.99999999]],0,0.0,8.491350715000822,0.0,0.0,2.9874,0.004391912456310174
73.27896807771269,1.8801,0.0,1.0,0.0,0.0,[[0.]],10,1486.969696969697,500.0,0.0,2.9883291146726125,100,[[0.99999999]],8.000000000000485,8.002114478273379,0.0,0.0,[[0.99999999]],0,0.0,8.485079572159151,0.0,0.0,2.97532,0.004407856320252825
89.55302855843206,1.8801,0.0,1.0,0.0,0.0,[[0.]],11,1485.050505050505,500.0,0.0,2.988204116187514,100,[[0.99999999]],8.000000000000112,8.002109042699596,0.0,0.0,[[0.99999999]],0,0.0,8.48337722289088,0.0,0.0,2.9704,0.0044122102304134814
72.10507133420651,1.8801,0.0,1.0,0.0,0.0,[[0.]],12,1505.8989898989898,500.0,0.0,3.004520301146258,100,[[0.99999999]],8.000000000000517,8.002174212753726,0.0,0.0,[[0.99999999]],0,0.0,8.503837930337042,0.0,0.0,3.0076,0.004360686400459054
76.15044796608998,1.8801,0.0,1.0,0.0,0.0,[[0.]],13,1492.909090909091,500.0,0.0,2.995416572298417,100,[[0.99999999]],8.000000000000188,8.002134298559824,0.0,0.0,[[0.99999999]],0,0.0,8.491253523969332,0.0,0.0,2.98328,0.0043921505592734705
73.85088813410509,1.8801,0.0,1.0,0.0,0.0,[[0.]],14,1506.1616161616162,500.0,0.0,3.008070514067115,100,[[0.99999999]],7.999999999999652,8.002184671904304,0.0,0.0,[[0.99999999]],0,0.0,8.50714929824235,0.0,0.0,3.01232,0.00435252108747729
82.87474922296606,1.8801,0.0,1.0,0.0,0.0,[[0.]],15,1491.5757575757575,500.0,0.0,2.995856675877536,100,[[0.99999999]],7.999999999999751,8.002137617073103,0.0,0.0,[[0.99999999]],0,0.0,8.492297006182163,0.0,0.0,2.98576,0.0043895159531514094
73.59752061939528,1.8801,0.0,1.0,0.0,0.0,[[0.]],16,1500.3636363636363,500.0,0.0,2.998186117238221,100,[[0.99999999]],7.999999999999709,8.002156379159347,0.0,0.0,[[0.99999999]],0,0.0,8.498217043803312,0.0,0.0,3.00008,0.004374657522598631
