TimestepsStd,RewardMean,ITERATIONS,Eta,Traj,Primal,LossReg,Wins,ReturnsMean,DeltaOmega,Omega,DualReg,NormDeltaOmega,ReturnsStd,NormDeltaVar,Epsilon,WeightMin,OmegaBefore,WeightMedian,TimestepsMean,DualBefore,RewardStd,ConfortViolation,DualAfter,WeightMean,WeightMax
0.0,2.34716,0,2.6251263260570457,100,6.129302689942724,0.0,0.0,1174.5656565656566,[[0.03124973]],[[0.83124973]],0.0,0.03124973261224795,59.883415625640154,2.9745142129847366,0.7901,0.022162790764333556,[[0.8]],0.047478780673688055,500.0,7.289601317576398,2.4288021604074714,0,6.129303904419055,0.022162790764333556,1.0
0.0,2.39876,1,2.590967813592355,100,6.1945472331588505,0.0,0.0,1199.1515151515152,[[0.02641667]],[[0.8576664]],0.0,0.026416667184564813,59.692201009350285,2.879017955772138,0.7901,0.021077236784158872,[[0.83124973]],0.045609040889316506,500.0,7.240056240736109,2.4828271108556876,0,6.194549543672126,0.021077236784158872,1.0
0.0,2.44116,2,2.5633128313393425,100,6.248318769769003,0.0,0.0,1221.4747474747476,[[0.01626013]],[[0.87392653]],0.0,0.01626012594364068,60.39237750991318,2.0012832355725827,0.7901,0.020217604310195963,[[0.8576664]],0.04411474304953532,500.0,7.203811365517077,2.525933066096566,0,6.24832250349812,0.020217604310195963,1.0
0.0,2.47424,3,2.536211781929646,100,6.290114317785832,0.0,0.0,1236.6666666666667,[[0.01355019]],[[0.88747672]],0.0,0.013550191882404361,64.17841293510372,1.8441527603228103,0.7901,0.019392121684707667,[[0.87392653]],0.04266780112163666,500.0,7.1618640849897846,2.5639454796075523,0,6.290114315937729,0.019392121684707667,1.0
0.0,2.5126,4,2.524636363110176,100,6.347571994833334,0.0,0.0,1255.7777777777778,[[0.00843407]],[[0.89591079]],0.0,0.008434070729518628,57.70764974859202,1.248148186570866,0.7901,0.01904469913719721,[[0.88747672]],0.04205516032453051,500.0,7.173119270396438,2.6008693238992224,0,6.347571991912437,0.01904469913719721,1.0
0.0,2.54772,5,2.514505047981236,100,6.39782709781653,0.0,0.0,1273.8989898989898,[[0.00603982]],[[0.90195061]],0.0,0.00603982162818828,70.53124459150115,0.9499417890456421,0.7901,0.018743171113595004,[[0.89591079]],0.04152163591941034,500.0,7.1869274360540025,2.6309699355180785,0,6.39782709368887,0.018743171113595004,1.0
0.0,2.5642,6,2.5064615570845845,100,6.418883009485133,0.0,0.0,1281.6767676767677,[[0.00304826]],[[0.90499887]],0.0,0.003048258824174921,70.31801187172807,0.499378056746945,0.7901,0.018505483953982858,[[0.90195061]],0.04109986144294099,500.0,7.184890416768936,2.644662239303915,0,6.418883004439971,0.018505483953982858,1.0
0.0,2.57312,7,2.5030518725176205,100,6.434363383558176,0.0,0.0,1284.7676767676767,[[0.00284174]],[[0.90784061]],0.0,0.0028417377699151425,73.55707304952183,0.4786329955836379,0.7901,0.018405183214123023,[[0.90499887]],0.04092155383578381,500.0,7.186931831825962,2.6566470344402173,0,6.434363377781278,0.018405183214123023,1.0
0.0,2.57332,8,2.4998992034286385,100,6.434211265552411,0.0,0.0,1286.6464646464647,[[0.00108167]],[[0.90892227]],0.0,0.0010816652457313891,67.49774603514184,0.18567255168272823,0.7901,0.01831268516206715,[[0.90784061]],0.040756944981880074,500.0,7.178570390055924,2.6589968367036465,0,6.4342112593522085,0.01831268516206715,1.0
0.0,2.56512,9,2.5014875429771397,100,6.428134217521425,0.0,0.0,1282.909090909091,[[0.00120984]],[[0.91013211]],0.0,0.0012098377385509895,68.0654899891008,0.2100396164071583,0.7901,0.01835925730186276,[[0.90892227]],0.04083984515235701,500.0,7.173082089063183,2.6602254388679167,0,6.428134211190192,0.01835925730186276,1.0
0.0,2.607,10,2.495768565630206,100,6.482958080315341,0.0,0.0,1303.979797979798,[[0.00200746]],[[0.91213957]],0.0,0.002007456219056958,73.33801359692684,0.354205341569795,0.7901,0.01819184661171062,[[0.91013211]],0.04054165078362513,500.0,7.210299550945932,2.6834513224577035,0,6.482958073042735,0.01819184661171062,1.0
0.0,2.59892,11,2.490645484200683,100,6.470851098129135,0.0,0.0,1300.6868686868686,[[0.00140493]],[[0.9135445]],0.0,0.0014049329463998728,72.91515014383435,0.25226873208456624,0.7901,0.018042531627373626,[[0.91213957]],0.04027522545418233,500.0,7.186259671035528,2.682434497541366,0,6.470851093736377,0.018042531627373626,1.0
0.0,2.58392,12,2.4930159754928143,100,6.449279302308155,0.0,0.0,1291.4545454545455,[[-0.00152604]],[[0.91201846]],0.0,0.0015260409469507463,64.17955757600681,0.27384368386095304,0.7901,0.018111544186002623,[[0.9135445]],0.04039842035312943,500.0,7.173350247940317,2.6712688808130114,0,6.449279294868865,0.018111544186002623,1.0
0.0,2.6064,13,2.4940311665262973,100,6.483634583013605,0.0,0.0,1303.111111111111,[[0.00131462]],[[0.91333308]],0.0,0.0013146196127700183,61.086606657325845,0.23564501853670805,0.7901,0.018141140042406814,[[0.91201846]],0.04045122338691868,500.0,7.205151882676803,2.6866706236530002,0,6.483634575302527,0.018141140042406814,1.0
0.0,2.62188,14,2.495184430429396,100,6.518087160441584,0.0,0.0,1310.969696969697,[[0.00460104]],[[0.91793412]],0.0,0.0046010420006467045,70.40222886529304,0.8510705852561884,0.7901,0.018174790519644705,[[0.91333308]],0.04051123949010432,500.0,7.230001850146631,2.7112036562383137,0,6.518087155270722,0.018174790519644705,1.0
0.0,2.60964,15,2.4887752742137375,100,6.491645769166451,0.0,0.0,1304.5050505050506,[[-0.00130406]],[[0.91663006]],0.0,0.0013040620587826401,70.91343046953126,0.24553081315297476,0.7901,0.017988177158815954,[[0.91793412]],0.04017813048719626,500.0,7.1959501152092376,2.6976914335038393,0,6.491645767962876,0.017988177158815954,1.0
0.0,2.60616,16,2.490851596584226,100,6.485255460735433,0.0,0.0,1303.2121212121212,[[-0.00141713]],[[0.91521293]],0.0,0.0014171295794754846,66.24644419308655,0.26289220190226104,0.7901,0.018048526969045513,[[0.91663006]],0.04028593152226543,500.0,7.196712198031885,2.6919305441262784,0,6.485255457488429,0.018048526969045513,1.0
0.0,2.6096,17,2.4907151330916344,100,6.487392580918029,0.0,0.0,1305.2727272727273,[[-0.00083321]],[[0.91437972]],0.0,0.0008332126712123911,63.4875026566023,0.15271378443699746,0.7901,0.01804455744379118,[[0.91521293]],0.04027884309714182,500.0,7.200397140227643,2.690410347883757,0,6.487392576587528,0.01804455744379118,1.0
