ReturnsMean,WeightMin,DualBefore,DualReg,Eta,OmegaBefore,LossReg,Omega,DeltaOmega,Primal,NormDeltaOmega,RewardMean,TimestepsMean,ReturnsStd,ConfortViolation,TimestepsStd,RewardStd,Traj,Wins,DualAfter,NormDeltaVar,Epsilon,WeightMedian,WeightMax,WeightMean,ITERATIONS
147.36489433497624,0.779922333775452,6.67737431589715,0.0,28.683385681349815,8.0,0.0,7.999283631616425,-0.0007163683835749168,6.478994001844417,0.0007163683835749168,6.419515268602503,22.956561709951735,81.28911968464713,0,12.061311902476495,1.3761569081232803,4355,0.0,6.478993916372457,0.00578858084878536,0.001,0.9861265820885594,1.0,0.779922333775452,0
147.12507886295424,0.7798134585570234,6.6765895452215105,0.0,28.693523642701795,7.999283631616425,0.0,7.998818568747824,-0.00046506286860115154,6.477951778364952,0.00046506286860115154,6.4184535426238005,22.923571264631626,80.304578459576,0,11.920395719655422,1.3765764037625754,4361,0.0,6.47795168570487,0.00407876200562551,0.001,0.9858807190758937,1.0,0.7798134585570234,1
150.78023685915525,0.7773599223705526,6.679041255986504,0.0,28.370760341187804,7.998818568747824,0.0,7.998582503995918,-0.00023606475190618426,6.485238610637054,0.00023606475190618426,6.426380498850237,23.463145539906105,84.8348805016165,0,12.588664081030018,1.3623731274966095,4264,0.0,6.485238518321809,0.015291651003226443,0.001,0.9854503173746253,1.0,0.7773599223705526,2
148.1908354513621,0.7793139544458508,6.677365212885097,0.0,28.612205155810788,7.998582503995918,0.0,7.998763949671749,0.00018144567583089355,6.480026196584598,0.00018144567583089355,6.420688883830265,23.080101569713758,80.92428851819065,0,12.006165743962281,1.3730135429276888,4336,0.0,6.480026109636433,0.005751099010302718,0.001,0.9859482089364653,1.0,0.7793139544458508,3
148.10377575770477,0.7791646573536484,6.678048449863245,0.0,28.618954817839196,7.998763949671749,0.0,7.998055384154361,-0.0007085655173879601,6.480609622289134,0.0007085655173879601,6.4212587257347105,23.065096952908586,83.17779189584544,0,12.340128546481733,1.3733192752006256,4336,0.0,6.480609534564289,0.005114463314213077,0.001,0.9857195125786081,1.0,0.7791646573536484,4
148.58249315357142,0.7793450995998727,6.6780466191166195,0.0,28.571928748710537,7.998055384154361,0.0,7.997807029002542,-0.00024835515181909074,6.481336117672685,0.00024835515181909074,6.422078495308907,23.136637332098193,82.78370569386252,0,12.28062132067363,1.3712494863198854,4322,0.0,6.4813360322172215,0.0067301552759815,0.001,0.9863131036126056,1.0,0.7793450995998727,5
146.80963766960963,0.7795980352220123,6.67783906052788,0.0,28.7470069333674,7.997807029002542,0.0,7.9972293459669865,-0.0005776830355550544,6.4785194326661735,0.0005776830355550544,6.418914186150005,22.87162471395881,80.19248622152688,0,11.899070031394084,1.3789713282427523,4374,0.0,6.478519347187581,0.008895807356432923,0.001,0.9852329444964442,1.0,0.7795980352220123,6
147.84246843821853,0.7802437259005931,6.67836843005717,0.0,28.64317114053243,7.9972293459669865,0.0,7.996587406407298,-0.000641939559688609,6.480590315670667,0.000641939559688609,6.421191155821848,23.024879060124395,81.29445384730566,0,12.062393589439196,1.374395310679942,4345,0.0,6.480590229078143,0.006080954644849321,0.001,0.9868842997472415,1.0,0.7802437259005931,7
148.91669602006434,0.7793986837211498,6.679760855344779,0.0,28.54574257684969,7.996587406407298,0.0,7.996494598013688,-9.280839361025528e-05,6.4835145806515495,9.280839361025528e-05,6.424308175659034,23.180974477958237,82.08009275398057,0,12.178647396762166,1.3701287016640746,4314,0.0,6.483514498313468,0.005861329726733969,0.001,0.9866308977686923,1.0,0.7793986837211498,8
149.59026708611725,0.7790767733799082,6.6788467515951995,0.0,28.47766492995891,7.996494598013688,0.0,7.996358960718674,-0.00013563729501342436,6.483510498217396,0.00013563729501342436,6.424439935092268,23.285015147984154,83.91209199897506,0,12.456575015705024,1.3670965304831804,4295,0.0,6.483510409686188,0.0055422554962215,0.001,0.9867464912414217,1.0,0.7790767733799082,9
148.9019561483387,0.7790162071024145,6.680307554008165,0.0,28.55720717926825,7.996358960718674,0.0,7.996200499509627,-0.00015846120904683403,6.483899659495615,0.00015846120904683403,6.424670339459111,23.176948051948052,80.927166024375,0,12.004714486666991,1.370641091575758,4316,0.0,6.483899577525799,0.005509146522651172,0.001,0.9860924091466973,1.0,0.7790162071024145,10
150.97327466671342,0.7774782351705825,6.680956886708109,0.0,28.36687092595652,7.996200499509627,0.0,7.995221887895951,-0.0009786116136760725,6.487320206845031,0.0009786116136760725,6.428468863092261,23.485076380728554,84.36164501442519,0,12.511022659194964,1.3622436371965552,4259,0.0,6.487320120347536,0.03600814394183437,0.001,0.9857137844774436,1.0,0.7774782351705825,11
151.59297063932738,0.7772269802754823,6.6804285344500585,0.0,28.305550930620022,7.995221887895951,0.0,7.994987981783699,-0.00023390611225249103,6.487598236684551,0.00023390611225249103,6.42886919232352,23.58012744866651,84.71798736391936,0,12.565636470291164,1.3595149559303472,4241,0.0,6.487598143104215,0.007845733417395261,0.001,0.9858697024869064,1.0,0.7772269802754823,12
152.3771717757882,0.7773248932110899,6.680403489779209,0.0,28.229017807953557,7.994987981783699,0.0,7.995319190686392,0.00033120890269344727,6.488627032668285,0.00033120890269344727,6.430050288840885,23.698292220113853,82.9005910855982,0,12.299668194333476,1.356124330952657,4220,0.0,6.488626933367965,0.03022917617532313,0.001,0.9866276819199917,1.0,0.7773248932110899,13
