DualAfter,NormDeltaVar,ConfortViolation,OmegaBefore_1,OmegaBefore_2,WeightMedian,ITERATIONS,Eta,WeightMean,NormDeltaOmega,DeltaOmega_1,DeltaOmega2,Out_of_track,DualReg,Wins,TimestepsMean,DistRaced,ReturnsMean,RewardStd,LossReg,TimestepsStd,Speed,Primal,ReturnsStd,RewardMean,Epsilon,Backward,Traj,Speedx,WeightMin,Times,DualBefore,WeightMax
-57.38361627708531,1.290329735606084,0,0.65358959,0.11500694,0.9744973051742507,0,12021.57186643004,0.4993654835616476,0.7890754227844683,-0.39963758,0.68038947,0.0,0,0.0,19.992439315559093,43.51665005968962,-1649.0419386778237,584.4078475065198,0.0,13.199212199401792,11.53241024041071,-57.38361741369051,1209.742937869727,-82.48327843588646,0.001,0.0,2513,12.082171926746941,0.4993654835616476,15.983477914842815,321.4876746144195,1.0
-20.98803299902903,0.28389154464681515,0,0.62597599,0.58614868,0.9570161059024265,98,8235.21819426146,0.36140560714769654,0.056654665062353296,0.05355354,0.01848701,0.0,0,0.0,40.23449920508744,49.27058767885533,-1552.262096673851,417.7996578985457,0.0,25.99599184487499,6.421489596569657,-20.988032964690312,1226.6997579112874,-38.58037573082493,0.001,0.0,1258,6.55426849697132,0.36140560714769654,32.25944674085851,360.21043988355893,1.0
-20.05480441703014,0.20464889945059256,0,0.65224154,0.61980583,0.9591626615822515,198,8189.585363974996,0.5876703626267696,0.14469081372144577,0.07547689,-0.12344501,0.0,0,0.0,42.06384742951907,51.39721807628524,-1579.4083039603142,415.36878428862127,0.0,28.809117368848337,6.391376709825278,-20.054804411546975,1172.8590002580443,-37.54788019823255,0.001,0.0,1206,6.51884082689974,0.5876703626267696,33.71801326699834,339.96008995826054,1.0
-11.068494573706403,0.396503340078692,0,0.68592366,0.54709119,0.9575237221011254,298,6609.290725748756,0.5223361036864089,0.24983181618416883,-0.24507235,0.0485333,0.0,0,0.0,57.844925883694415,51.80758916761687,-1470.5732894339035,345.53243158083546,0.0,39.50975097114387,4.770902173110448,-11.068505508174297,1242.853017152417,-25.42268430580591,0.001,0.0,877,4.827616972608147,0.5223361036864089,46.4264378563284,281.6166977777457,1.0
-9.90046390056034,0.3130262051481988,0,0.5525489,0.36538464,0.9577586302550831,398,6411.95204809676,0.5128397613548583,0.5838578304262549,-0.38125474,0.44219316,0.0,0,0.0,61.478941034897716,52.633150661853186,-1467.2445727492914,336.9264379422501,0.0,47.957504522585694,4.606752810081742,-9.90046389118107,1289.9353401064475,-23.865807511492907,0.001,0.0,831,4.65467658802187,0.5128397613548583,49.340779783393494,270.7434741315001,1.0
-12.031377499421893,0.5007783986354158,0,0.60573303,0.37450175,0.9607389012069445,498,6297.462053103877,0.5088013521147109,0.12555843086497412,0.11176612,0.05721236,0.0,0,0.0,64.35316455696203,43.21261151898733,-1658.8840361150035,332.2260941464718,0.0,47.07535659818562,3.7471141721344616,-12.031377367386638,1257.2004129690656,-25.777816017837733,0.001,0.0,790,3.777651970951387,0.5088013521147109,51.644546835443045,244.2837388064003,1.0
-11.257352578695532,0.6429217398180564,0,0.78103013,0.36020283,0.9567199610405486,598,6238.78178251602,0.5036411243223899,0.2656517822091116,-0.06960941,0.25636965,0.0,0,0.0,65.18158567774935,44.57781649616368,-1622.6244150617629,329.9158567926548,0.0,44.103346064199215,3.800223244774776,-11.257352558729558,1253.9501943656962,-24.893908274705698,0.001,0.0,782,3.831612958831324,0.5036411243223899,52.312,268.101523865384,1.0
-10.309692670581228,0.7014255275211823,0,0.59698914,0.55385386,0.9593870469038893,698,5841.233843316097,0.4834992575683568,0.18891067365714181,-0.18668744,-0.02889711,0.0,0,0.0,73.36219336219337,41.2786387283237,-1698.4264438441537,312.10152467169917,0.0,45.347688226770664,3.1444004562959567,-10.309692278019186,1182.1037850703892,-23.151704903400905,0.001,0.0,693,3.1609925355070754,0.4834992575683568,58.87203757225433,233.72170355331951,1.0
-9.160723230213904,0.009404142306326982,0,0.61534665,0.41188497,0.9623462376384785,798,5557.921525179525,0.4683816553172488,0.030127821650486407,0.00688943,0.02932953,0.0,0,0.0,80.74803149606299,40.43705433070866,-1732.3454370128889,300.14301952495276,0.0,54.90222784285939,2.8114898846326097,-9.160723183735803,1258.6787825748722,-21.45371725993534,0.001,0.0,635,2.8197941394808144,0.4683816553172488,64.80484094488187,204.4850346210166,1.0
-8.927474102522382,0.00901071461351087,0,0.6834835,0.49003208,0.9735002656598153,898,5169.239761115097,0.4489547762852303,0.12270986615070882,0.04670813,-0.11347273,0.0,0,0.0,95.15584415584415,32.099711688311686,-1949.0543083024422,284.3645751299627,0.0,47.64901261060994,1.9961916113813465,-8.927476656940357,1177.4355075165192,-20.482759893447255,0.001,0.0,539,1.9897908001422244,0.4489547762852303,76.38661595547309,128.98932473950174,1.0
