Wins,Speed,Out_of_track,TimestepsStd,NormDeltaVar,WeightMax,DualBefore,DistRaced,Eta,Primal,LossReg,Times,TimestepsMean,DualAfter,Backward,WeightMean,ITERATIONS,RewardMean,NormDeltaOmega,WeightMedian,ReturnsStd,DeltaOmega1,DeltaOmega2,OmegaBefore_1,OmegaBefore_2,RewardStd,ReturnsMean,Traj,Speedx,ConfortViolation,WeightMin,Epsilon,DualReg
0.0,11.649736606076887,0.0,11.692421987991652,0.9394046880926037,1.0,348.97586180388055,43.05496692682927,12125.066339660978,-58.65764121966491,0.0,15.682686829268293,19.615609756097562,-58.65763379551527,0.0,0.6981218796848475,0,-83.96630194555361,0.0,0.9724942063663351,1216.8664081149147,0.,0.,0.65358959,0.11500694,589.1184776436897,-1647.0502116266348,1025,12.215433351740177,0,0.6981218796848475,0.001,0
0.0,7.026573634951026,0.0,25.031192177502408,1.0371925152847992,1.0,254.38113235763015,48.269628315412184,9112.437922970057,-27.56289264050172,0.0,28.958444444444446,36.159498207885306,-27.562892746796706,0.0,0.6246015121634474,1,-46.91295820222527,0.0,0.9725580632181431,1218.8098342950777,0.,0.,0.65358959,0.11500694,457.183400984115,-1696.3490280399628,558,7.19296799689473,0,0.6246015121634474,0.001,0
0.0,7.432613152825624,0.0,22.984101619470913,0.8114471220998859,1.0,275.8018036717552,48.387438279932546,9366.886766674013,-28.969301162675727,0.0,27.417403035413155,34.23777403035413,-28.969301280521506,0.0,0.6328403237853386,2,-48.83212507884252,0.0,0.97113938644485,1209.4106951618814,0.,0.,0.65358959,0.11500694,468.7393583163133,-1671.9032638713993,593,7.622405158981909,0,0.6328403237853386,0.001,0
0.0,7.1579678518057435,0.0,22.276165202294365,0.6784961474371956,1.0,282.3140316398007,45.5821926910299,9290.337383459737,-30.179033367001654,0.0,26.992571428571427,33.69767441860465,-30.179033482688396,0.0,0.6301116975106336,3,-49.875639366066345,0.0,0.9701551112630223,1181.3922845611976,0.,0.,0.65358959,0.11500694,464.74716557445544,-1680.693056777445,602,7.343415012475306,0,0.6301116975106336,0.001,0
0.0,6.994980500677174,0.0,23.028416091333114,0.7688762813887415,1.0,308.0734021101435,45.78092918088737,9209.144923087193,-29.57243291913474,0.0,27.642392491467575,34.508532423208194,-29.57243303135124,0.0,0.6256782611536664,4,-49.103915189249,0.0,0.9671684990019757,1212.2467130498994,0.,0.,0.65358959,0.11500694,460.98955523216904,-1694.5040494146642,586,7.170958390807493,0,0.6256782611536664,0.001,0
0.0,7.103020106270512,0.0,23.59028717399283,0.6192698644666382,1.0,300.54033932788354,46.10948474576271,9293.964908447058,-29.97938886443221,0.0,27.383928813559322,34.19322033898305,-29.97938898038484,0.0,0.6288725979685933,5,-49.68451357544639,0.0,0.9682689682040315,1189.494235560351,0.,0.,0.65358959,0.11500694,464.9642850294392,-1698.873520120433,590,7.281648414561377,0,0.6288725979685933,0.001,0
0.0,7.03018722010296,0.0,22.68844970932522,0.8390595897491242,1.0,295.5662239642165,46.164838240270726,8988.131622207879,-27.54353139579345,0.0,27.50785448392555,34.31979695431472,-27.5435314237684,0.0,0.6194064998963174,6,-46.63559677822687,0.0,0.9677762814198672,1238.9465376678697,0.,0.,0.65358959,0.11500694,451.2269578904433,-1600.52421227204,591,7.207799742321255,0,0.6194064998963174,0.001,0
0.0,7.114211536734909,0.0,21.884865386376198,0.7651333263870695,1.0,260.5854943088707,46.02975025125628,9155.806459767726,-29.33277517331879,0.0,27.16312227805695,33.904522613065325,-29.332775280294584,0.0,0.627344743213051,7,-48.74167518844505,0.0,0.9720345450466149,1155.6120928651603,0.,0.,0.65358959,0.11500694,457.91603662205426,-1652.56322862532,597,7.296216907466564,0,0.627344743213051,0.001,0
0.0,7.1074344190185625,0.0,22.25791069060831,0.5252779098983607,1.0,315.4242007238583,47.095540414507774,9044.436000790056,-27.187989466709638,0.0,27.946217616580313,34.87564766839378,-27.1879894873652,0.0,0.3973289550115231,8,-46.41650131242719,0.0,0.9658559608162506,1234.3025200072855,0.,0.,0.65358959,0.11500694,454.8320302039957,-1618.8055457717483,579,7.283026315075445,0,0.3973289550115231,0.001,0
0.0,6.946915863699,0.0,23.64685583351711,0.8095843450594467,1.0,316.54206701614146,46.50003666092943,8905.309690922717,-27.057564425215503,0.0,28.1684165232358,35.14974182444062,-27.057564424080454,0.0,0.6151639744536658,9,-45.97152376169501,0.0,0.965142210937543,1198.0122918542381,0.,0.,0.65358959,0.11500694,446.9643237508087,-1615.887191499717,581,7.117059463216085,0,0.6151639744536658,0.001,0
0.0,7.307104805174265,0.0,23.081056382383757,0.8327739845661135,1.0,273.15030475666634,48.23660017123288,8911.856197920737,-26.15227897138342,0.0,27.768931506849317,34.647260273972606,-26.15227900484632,0.0,0.6183998337080641,10,-45.07987036218511,0.0,0.9699502175498508,1241.5550787097736,0.,0.,0.65358959,0.11500694,447.2926434350389,-1561.8940015555713,584,7.490316276098028,0,0.6183998337080641,0.001,0
0.0,6.994232842530959,0.0,21.78149711306455,0.8297813104804376,1.0,258.34716654951455,45.90174094754653,9124.42129539289,-28.458645371202437,0.0,27.554067681895088,34.387478849407785,-28.45864547838238,0.0,0.626573065595002,11,-47.8315427221839,0.0,0.9721772350404877,1236.5776293886674,0.,0.,0.65358959,0.11500694,457.67440428978244,-1644.8061636936438,591,7.170268802211721,0,0.626573065595002,0.001,0
0.0,7.033760190140488,0.0,20.66165112947337,0.7263553968914487,1.0,269.60702056794446,46.04015564924115,9086.680636846206,-28.597200601144007,0.0,27.470569983136592,34.28161888701518,-28.597200703675753,0.0,0.4006576801434375,12,-47.88882131039055,0.0,0.9708954100023679,1151.1561130589598,0.,0.,0.65358959,0.11500694,455.79646017672013,-1641.7063211111797,593,7.209847124400966,0,0.4006576801434375,0.001,0
0.0,7.291741679271234,0.0,20.16041626120488,0.7528019192177774,1.0,311.62114159705027,45.40174045307443,9356.954223555696,-31.069423088404,0.0,26.151702265372165,32.64563106796116,-31.06942320268115,0.0,0.6300998619677539,13,-50.881030523723226,0.0,0.9673719487491883,1169.0393665281133,0.,0.,0.65358959,0.11500694,466.9409651134174,-1661.0433508351393,618,7.4870934727701774,0,0.6300998619677539,0.001,0
0.0,6.813293124189788,0.0,22.33586758878617,0.8587869045368727,1.0,244.60760800761085,44.270698641765705,9155.965421513562,-29.986800572226333,0.0,27.52980984719864,34.36672325976231,-29.986800680664544,0.0,0.6283325225790041,14,-49.40953357218563,0.0,0.9736898487097138,1200.1451851207557,0.,0.,0.65358959,0.11500694,458.5080591900859,-1698.0437666692387,589,6.9845591109443435,0,0.6283325225790041,0.001,0
0.0,6.9710799942272414,0.0,23.26152930195425,0.42745091254068374,1.0,263.1574862878205,46.97542181500873,9006.930420969147,-27.3392837531825,0.0,28.319867364746944,35.345549738219894,-27.339283779607513,0.0,0.6222683910677395,15,-46.47008785441789,0.0,0.9712687753883311,1212.6393008325854,0.,0.,0.65358959,0.11500694,452.10703411988817,-1642.510801597776,573,7.141043150628564,0,0.6222683910677395,0.001,0
0.0,7.185928096910856,0.0,21.41643493336444,1.0051281981518994,1.0,294.52091848008666,45.99298592715232,9306.893880066189,-30.13757206102353,0.0,26.823662251655634,33.485099337748345,-30.137572176288757,0.0,0.6297142027221083,16,-49.860386577651354,0.0,0.9689915974093432,1181.8077519718595,0.,0.,0.65358959,0.11500694,465.1884242918859,-1669.5799975711898,604,7.372812681835893,0,0.6297142027221083,0.001,0
0.0,6.702568281163417,0.0,24.748905175411974,0.5862918628045571,1.0,300.41051181947387,47.53760678899082,8553.481444363748,-23.79126210178262,0.0,29.899082568807337,37.293577981651374,-23.791262129920767,0.0,0.6041525348287367,17,-42.01731316893385,0.0,0.9655035205770882,1231.7310128938336,0.,0.,0.65358959,0.11500694,431.9089518864113,-1566.9759452451017,545,6.855935213755928,0,0.6041525348287367,0.001,0
0.0,6.956480960975684,0.0,24.285537685427368,0.8163007089844257,1.0,313.86505427805497,48.07710143112701,9232.246243616302,-27.685640779581888,0.0,29.04375313059034,36.2737030411449,-27.685640897560575,0.0,0.6253372439899219,18,-47.304451875237845,0.0,0.9666036264321074,1257.87701136677,0.,0.,0.65358959,0.11500694,463.80786685878087,-1715.9076398465077,559,7.119658075737751,0,0.6253372439899219,0.001,0
0.0,6.875121351954766,0.0,25.911225028401343,0.5096171324607508,1.0,236.01019097509237,48.89264862888483,8326.77479275443,-21.81249427432676,0.0,29.959722120658135,37.354661791590495,-21.81249428504131,0.0,0.47122887051352036,19,-39.56752816926069,0.0,0.9720878103242921,1210.4751413695953,0.,0.,0.65358959,0.11500694,421.0115134565445,-1478.0316326919626,547,7.030991290080284,0,0.47122887051352036,0.001,0
0.0,6.684381862389145,0.0,23.704427157455324,0.5492656816492665,1.0,266.16778682323326,46.97365349264707,8549.10664621068,-24.233942314160814,0.0,29.827411764705882,37.2077205882353,-24.233942342130092,0.0,0.6064103003804573,20,-42.4413175105167,0.0,0.9693420112322079,1210.6968694149716,0.,0.,0.65358959,0.11500694,431.276157361484,-1579.1446833278833,544,6.8366260175959805,0,0.6064103003804573,0.001,0
0.0,6.834768797218812,0.0,25.077187982465798,0.6081627517893965,1.0,262.50429551703354,46.33819912587413,8835.637119533207,-26.777860178796015,0.0,28.60024825174825,35.68706293706294,-26.777860215701253,0.0,0.6166335361489732,21,-45.5466509032163,0.0,0.9707779335461798,1189.3505169827445,0.,0.,0.65358959,0.11500694,443.5947357547887,-1625.426197355515,572,6.997872047614133,0,0.6166335361489732,0.001,0
0.0,6.6171116613117755,0.0,23.816749813550395,0.737928319909744,1.0,265.6816163919829,46.37742090909091,8837.478062222506,-26.477957595810658,0.0,29.665625454545456,37.061705989110706,-26.477957632494793,0.0,0.6163261389571659,22,-45.26990107039287,0.0,0.9703910597244166,1185.7289472234804,0.,0.,0.65358959,0.11500694,444.5146649213783,-1677.6976040969553,551,6.767835905242511,0,0.6163261389571659,0.001,0
0.0,6.674943897350613,0.0,25.367527483325688,0.625914127204933,1.0,259.34426187373083,47.56792185185186,8487.972572970359,-23.640551815939503,0.0,29.99221481481481,37.40555555555556,-23.640551839201123,0.0,0.6047567395285063,23,-41.71655786070961,0.0,0.9699498134626154,1200.4974770649048,0.,0.,0.65358959,0.11500694,428.1441331991424,-1560.431022645321,540,6.825765006760814,0,0.6047567395285063,0.001,0
0.0,6.549678264924719,0.0,24.566212356195223,0.7265846922986092,1.0,266.8648202914527,45.99897459165154,8528.802331420226,-24.461752592006462,0.0,29.444540834845732,36.71687840290381,-24.461752618449225,0.0,0.6052688286814121,24,-42.62482266871615,0.0,0.9691571572801964,1219.9859507228487,0.,0.,0.65358959,0.11500694,430.21035234459833,-1565.0504308725892,551,6.698302451019976,0,0.6052688286814121,0.001,0
0.0,6.416120384809924,0.0,25.84573661688326,0.7436385595387597,1.0,254.05139883980164,47.16993930635838,8206.191850498428,-22.273270287142395,0.0,31.16982273603083,38.86897880539499,-22.273271790651904,0.0,0.5947733441111904,25,-39.76757615969984,0.0,0.9694371772715848,1175.1473993598938,0.,0.,0.65358959,0.11500694,414.7368470010017,-1545.7250748933043,519,6.55377294056789,0,0.5947733441111904,0.001,0
0.0,6.558112784737927,0.0,24.783579260677513,0.6274671531276654,1.0,282.6900962229408,46.58416573556797,8811.824081103956,-26.096789368323783,0.0,30.146450651769086,37.62942271880819,-26.096789405458367,0.0,0.614617962377217,26,-44.84976004352375,0.0,0.9683463975465805,1217.671880550837,0.,0.,0.65358959,0.11500694,443.90688248284005,-1687.6705795148687,537,6.703330913926095,0,0.614617962377217,0.001,0
0.0,6.133464736052995,0.0,26.831675183713827,0.5630920839189187,1.0,258.9407242360647,49.717624579831934,7996.707585103768,-19.316431331457185,0.0,34.205323529411764,42.65966386554622,-19.316431637390792,0.0,0.5863405045304431,27,-36.43067393387838,0.0,0.9680041034645883,1252.4185504014922,0.,0.,0.65358959,0.11500694,407.04182160361654,-1554.120304414568,476,6.249985809051871,0,0.5863405045304431,0.001,0
0.0,6.554367774786772,0.0,25.806494142317412,0.672653607382435,1.0,256.3739505038487,47.30652819548872,8822.5189756371,-25.50512038231384,0.0,30.53858646616541,38.11654135338346,-25.505120418855824,0.0,0.3918278615733692,28,-44.30444399854736,0.0,0.971318190212845,1240.049293024019,0.,0.,0.65358959,0.11500694,445.52792743307594,-1688.7321718092921,532,6.698447156856231,0,0.3918278615733692,0.001,0
0.0,6.411794900089084,0.0,26.656151422831933,0.7806199932487892,1.0,283.69960739841434,48.365352465483234,8442.048514881613,-22.990861661489056,0.0,31.945333333333338,39.85996055226825,-22.990861680848468,0.0,0.6015080381272342,29,-40.987323031647854,0.0,0.9668885795795081,1175.9642869971442,0.,0.,0.65358959,0.11500694,426.6097482815486,-1633.7530791845593,507,6.545230366927515,0,0.6015080381272342,0.001,0
0.0,6.245687724414425,0.0,27.775727848215606,0.7006277297690935,1.0,310.6063795405914,48.83518639175258,8204.402893624767,-21.021325268604723,0.0,33.27421030927835,41.51340206185567,-21.021326791480476,0.0,0.5895310809045604,30,-38.55551266533712,0.0,0.9627131053200308,1223.1068394726324,0.,0.,0.65358959,0.11500694,416.53930698429247,-1600.5704989771084,485,6.369240345565594,0,0.5895310809045604,0.001,0
0.0,6.225534388667109,0.0,29.404686060581863,0.40229145230384383,1.0,271.62905025403376,48.026335714285715,8630.314336927404,-23.673999933320694,0.0,32.9338,41.109979633401224,-23.673999966038878,0.0,0.4832025079528208,31,-42.098029016135705,0.0,0.9688602100290116,1245.0462258200894,0.,0.,0.65358959,0.11500694,437.2527807569677,-1730.563376093041,491,6.34977808949402,0,0.4832025079528208,0.001,0
0.0,6.14762147988268,0.0,27.29806748083074,0.5635579730977043,1.0,267.2939870822577,48.190655214723925,8287.328417592795,-21.916310424442667,0.0,33.300817995910016,41.54601226993865,-21.916310430316912,0.0,0.5968584179648398,32,-39.619335083239584,0.0,0.968172300760707,1214.0931593356056,0.,0.,0.65358959,0.11500694,420.3782181591982,-1646.0253814950825,489,6.267538691881382,0,0.5968584179648398,0.001,0
0.0,6.246083952141526,0.0,30.076894714315745,0.4517106010259132,1.0,252.04077865452282,49.41775888429752,8075.525128450564,-19.82650750917946,0.0,33.62402479338843,41.93388429752066,-19.826508122634436,0.0,0.4597762947045878,33,-37.11141468320117,0.0,0.9691910095624371,1208.938932725648,0.,0.,0.65358959,0.11500694,411.1538310980602,-1556.2257694426673,484,6.367916696534166,0,0.4597762947045878,0.001,0
0.0,6.125307063187497,0.0,27.03510285507588,0.3510618420119968,1.0,249.97144975140444,48.34462800829875,8146.882559437101,-20.7004582603026,0.0,33.70095850622407,42.03941908713693,-20.70045930694897,0.0,0.5902552772613983,34,-38.12541544302937,0.0,0.9695975704222926,1199.3096814344765,0.,0.,0.65358959,0.11500694,414.21101287225895,-1602.7703176807138,482,6.242991962328398,0,0.5902552772613983,0.001,0
0.0,6.221634581714457,0.0,27.249084701690254,0.5400987518554233,1.0,254.8715043449789,47.939005252525256,8456.685695216556,-22.61581002944933,0.0,32.77827070707071,40.8969696969697,-22.615810049480615,0.0,0.47645205031873195,35,-40.680645414198395,0.0,0.9701980017768899,1229.6972044762174,0.,0.,0.65358959,0.11500694,428.9725277968622,-1663.7151227576412,495,6.345991970480593,0,0.47645205031873195,0.001,0
0.0,6.090582962772043,0.0,27.337723739251896,0.7139092574749938,1.0,268.24252350479526,47.55085824847251,8194.749312618751,-21.46190030724007,0.0,33.20605702647658,41.41751527494908,-21.461901739843483,0.0,0.5933186589239245,36,-38.97590863220685,0.0,0.9676255297185503,1195.6762208591,0.,0.,0.65358959,0.11500694,416.0704892681166,-1614.2852911294472,491,6.211028335640168,0,0.5933186589239245,0.001,0
0.0,6.03466305868242,0.0,29.24655814659843,0.3732251932258836,1.0,234.6670799075855,49.2816014893617,7986.939430034616,-19.323329542916852,0.0,34.785995744680854,43.38936170212766,-19.32332982311368,0.0,0.5877513202587514,37,-36.43067143533666,0.0,0.9708507452723647,1217.5893045880491,0.,0.,0.65358959,0.11500694,407.15207128679367,-1580.7035799591927,470,6.146612091761727,0,0.5877513202587514,0.001,0
0.0,6.113558888583164,0.0,28.009677627854384,0.4288217250556666,1.0,332.45247102443574,47.63272714285714,8230.045982902238,-21.75128536937757,0.0,33.0734,41.25714285714286,-21.751285374482677,0.0,0.5900128961721154,38,-39.32649197357244,0.0,0.9602590047020422,1180.5479691176813,0.,0.,0.65358959,0.11500694,417.23411843274255,-1622.49869742396,490,6.234612168467974,0,0.5900128961721154,0.001,0
0.0,6.047235408216802,0.0,29.032121041558824,0.5036656198330605,1.0,279.22560972564713,50.162264362850976,7939.487362328561,-18.69407633961822,0.0,35.222911447084236,43.93520518358531,-18.69407651118246,0.0,0.5826114377943358,39,-35.70159921899074,0.0,0.9652579418133053,1219.4136129780354,0.,0.,0.65358959,0.11500694,404.80844283175617,-1568.5570870684871,463,6.158688591805196,0,0.5826114377943358,0.001,0
