WeightMean,RewardStd,OmegaBefore,DualReg,DeltaOmega,ReturnsStd,WeightMin,LossReg,Primal,Wins,WeightMedian,Traj,DualAfter,TimestepsMean,TimestepsStd,RewardMean,DualBefore,ConfortViolation,Omega,NormDeltaOmega,Epsilon,ITERATIONS,WeightMax,NormDeltaVar,ReturnsMean,Eta
0.01579561815360497,2.4307290754833213,[[0.8]],0.0,[[0.0743187]],55.52047377190095,0.01579561815360497,0.0,6.484632606284224,0.0,0.03621006473028658,100,6.48463499749619,500.0,0.0,2.34796,7.433744216912887,0,[[0.8743187]],0.07431869585878914,0.9301,0,1.0,7.905731686647147,1173.111111111111,2.4107871871545665
0.012952205634756367,2.5809835641475907,[[0.8743187]],0.0,[[0.04152104]],60.16195534837327,0.012952205634756367,0.0,6.664902990427808,0.0,0.030894059929710616,100,6.664903915839371,500.0,0.0,2.49804,7.330496669560657,0,[[0.91583973]],0.04152103643753813,0.9301,1,1.0,6.391755365228882,1249.5353535353536,2.3007074381060955
0.01136173471353119,2.703016992621393,[[0.91583973]],0.0,[[0.02200557]],74.32053336340145,0.01136173471353119,0.0,6.836287130301597,0.0,0.027819909683458405,100,6.836287259071053,500.0,0.0,2.62124,7.347751571670204,0,[[0.9378453]],0.022005567334208553,0.9301,2,1.0,4.669144433630443,1310.6464646464647,2.233387086215946
0.010342664421561254,2.7755962311546685,[[0.9378453]],0.0,[[0.01052774]],68.66054159742545,0.010342664421561254,0.0,6.947611817514326,0.0,0.025805123805109867,100,6.947611820486572,500.0,0.0,2.70704,7.3768498034974765,0,[[0.94837304]],0.010527741147362657,0.9301,3,1.0,2.8106480154800835,1353.5151515151515,2.1874764617513445
0.009979106402261647,2.802758275413704,[[0.94837304]],0.0,[[0.00374323]],76.13189678170944,0.009979106402261647,0.0,6.987012188177723,0.0,0.02507686965966443,100,6.987015500339174,500.0,0.0,2.73636,7.388578826251278,0,[[0.95211627]],0.003743225713138787,0.9301,4,1.0,1.1315339397846955,1367.2929292929293,2.170486632349996
0.009698797276660669,2.8177539966434257,[[0.95211627]],0.0,[[0.00183676]],69.7721860275786,0.009698797276660669,0.0,7.013341639619215,0.0,0.02451174926357621,100,7.01334162514849,500.0,0.0,2.76012,7.396251478776756,0,[[0.95395303]],0.0018367634544427247,0.9301,5,1.0,0.5863024247086557,1379.3939393939395,2.157146671034099
0.009780228799729049,2.8174278641342356,[[0.95395303]],0.0,[[0.00033355]],75.58355771270998,0.009780228799729049,0.0,7.005645479261796,0.0,0.024676252860999254,100,7.005645464334866,500.0,0.0,2.74952,7.391921516110714,0,[[0.95428658]],0.00033354760606918443,0.9301,6,1.0,0.10885125387758876,1375.4545454545455,2.161044306249745
0.00975817190362913,2.8198022330652908,[[0.95428658]],0.0,[[0.00015529]],68.4253130573267,0.00975817190362913,0.0,7.0111385191357405,0.0,0.024631721845065048,100,7.0111385047120205,500.0,0.0,2.75392,7.396302336009535,0,[[0.95444187]],0.00015528812562526362,0.9301,7,1.0,0.050935549509404154,1376.3434343434344,2.1599904022375247
0.009586190158121977,2.830863821804221,[[0.95444187]],0.0,[[0.00114874]],79.36923562513368,0.009586190158121977,0.0,7.0318713942707936,0.0,0.024283810309048085,100,7.031871380198026,500.0,0.0,2.77168,7.406194068753239,0,[[0.95559061]],0.0011487432117317509,0.9301,8,1.0,0.3820154489889376,1384.828282828283,2.1517260621545025
0.009713009259770627,2.823026855274317,[[0.95559061]],0.0,[[-0.00116046]],75.26951201404704,0.009713009259770627,0.0,7.022108788186687,0.0,0.024540479386704762,100,7.02210877590252,500.0,0.0,2.76412,7.405732047253583,0,[[0.95443015]],0.001160458941626863,0.9301,9,1.0,0.3858640485727989,1380.4444444444443,2.1578282487000666
0.009587035224443905,2.835593809839484,[[0.95443015]],0.0,[[0.00189915]],73.28510532560794,0.009587035224443905,0.0,7.035462856019404,0.0,0.02428552287673326,100,7.035462842398221,500.0,0.0,2.77116,7.40855432148503,0,[[0.9563293]],0.0018991541708159865,0.9301,10,1.0,0.6365266537506571,1385.79797979798,2.151766876027686
0.009333481019398559,2.854372022004139,[[0.9563293]],0.0,[[0.0019183]],79.44883598283003,0.009333481019398559,0.0,7.070016073884176,0.0,0.02377031401174747,100,7.070016378892332,500.0,0.0,2.7994,7.4276221046192346,0,[[0.9582476]],0.0019183004722802544,0.9301,11,1.0,0.6703481145474939,1399.939393939394,2.1394276857733465
0.009508469786383752,2.843668634422794,[[0.9582476]],0.0,[[-0.00110656]],80.48655732233216,0.009508469786383752,0.0,7.049863910379229,0.0,0.024126176722325164,100,7.049863899616341,500.0,0.0,2.78176,7.418031597155689,0,[[0.95714104]],0.0011065606505576975,0.9301,12,1.0,0.39018929423382076,1391.0707070707072,2.147963625148004
0.009450707926943837,2.844144320107543,[[0.95714104]],0.0,[[-2.62264938e-05]],75.43032348228923,0.009450707926943837,0.0,7.053275552248524,0.0,0.024008856355220203,100,7.05327298310748,500.0,0.0,2.78692,7.418476212363506,0,[[0.95711482]],2.6226493793135575e-05,0.9301,13,1.0,0.00913056748739649,1392.6060606060605,2.1451560020241422
0.009469559373444788,2.8481679093761305,[[0.95711482]],0.0,[[0.00055303]],73.18221343766778,0.009469559373444788,0.0,7.057040126545662,0.0,0.024047161334322747,100,7.057036407693047,500.0,0.0,2.7866,7.422580407241194,0,[[0.95766784]],0.0005530252015581993,0.9301,14,1.0,0.19367129311027753,1392.6666666666667,2.1460733856856886
0.009603001831565431,2.8303266104108906,[[0.95766784]],0.0,[[-0.00209495]],79.89870129818007,0.009603001831565431,0.0,7.03063095126994,0.0,0.02431787430616687,100,7.030630936757191,500.0,0.0,2.77028,7.405954626395859,0,[[0.9555729]],0.0020949450617085974,0.9301,15,1.0,0.7213232073409728,1385.5555555555557,2.1525376248870938
0.009663478209710625,2.8306407560126745,[[0.9555729]],0.0,[[4.02845042e-05]],70.5349362147127,0.009663478209710625,0.0,7.029300013333988,0.0,0.02444031378034263,100,7.029299998235905,500.0,0.0,2.76652,7.407996783822956,0,[[0.95561318]],4.028450423798624e-05,0.9301,16,1.0,0.013561757952267328,1382.7878787878788,2.155450377492713
