DeltaOmega,NormDeltaVar,WeightMax,TimestepsStd,ITERATIONS,OmegaBefore,DualBefore,Omega,Primal,Eta,ReturnsMean,WeightMin,DualReg,WeightMean,NormDeltaOmega,RewardStd,WeightMedian,ConfortViolation,ReturnsStd,TimestepsMean,Wins,Epsilon,LossReg,RewardMean,DualAfter,Traj
[[0.]],0.0,1.0,0.0,10,[[0.99999999]],8.26279942379469,[[0.99999999]],8.00000000000057,0.00513320522371103,1495.4141414141413,0.0,0.0,0.0,0.0,2.9927802148503995,0.0,0,83.63086401671347,500.0,0.0,1.6501,0.0,2.99184,8.001321623676269,100
[[0.]],0.0,1.0,0.0,11,[[0.99999999]],8.274069147375327,[[0.99999999]],7.999999999999879,0.005082323385348822,1503.4545454545455,0.0,0.0,0.0,0.0,3.0056673867878327,0.0,0,80.53298122631142,500.0,0.0,1.6501,0.0,3.0066,8.001366296144026,100
[[0.]],0.0,1.0,0.0,12,[[0.99999999]],8.258148601839027,[[0.99999999]],8.000000000000306,0.005154707543349027,1491.3131313131314,0.0,0.0,0.0,0.0,2.989160491107829,0.0,0,84.34041729316247,500.0,0.0,1.6501,0.0,2.98328,8.001303033445307,100
[[0.]],0.0,1.0,0.0,13,[[0.99999999]],8.258307201307359,[[0.99999999]],8.000000000000398,0.0051539136246841295,1492.2222222222222,0.0,0.0,0.0,0.0,2.989614308502018,0.0,0,81.77964424747485,500.0,0.0,1.6501,0.0,2.98308,8.001303666451273,100
[[0.]],0.0,1.0,0.0,14,[[0.99999999]],8.260878007244802,[[0.99999999]],7.999999999999881,0.005142044390312624,1494.2828282828282,0.0,0.0,0.0,0.0,2.991218052900858,0.0,0,71.86182594649577,500.0,0.0,1.6501,0.0,2.9884,8.001313954328607,100
[[0.]],0.0,1.0,0.0,15,[[0.99999999]],8.26963948190552,[[0.99999999]],8.000000000000277,0.005102007811645086,1499.959595959596,0.0,0.0,0.0,0.0,3.000666515559501,0.0,0,73.14299253799034,500.0,0.0,1.6501,0.0,3.00068,8.001348794755,100
[[0.]],0.0,1.0,0.0,16,[[0.99999999]],8.272340125669063,[[0.99999999]],7.999999999999621,0.00509015820965705,1504.040404040404,0.0,0.0,0.0,0.0,3.0023123672263017,0.0,0,78.65946541152343,500.0,0.0,1.6501,0.0,3.00636,8.001359480836173,100
[[0.]],0.0,1.0,0.0,17,[[0.99999999]],8.25901998480139,[[0.99999999]],7.9999999999995275,0.005150338776529304,1490.828282828283,0.0,0.0,0.0,0.0,2.991748224433333,0.0,0,86.70442538821075,500.0,0.0,1.6501,0.0,2.98204,8.001306509571119,100
[[0.]],0.0,1.0,0.0,18,[[0.99999999]],8.248309663430316,[[0.99999999]],7.9999999999996625,0.00520216147076021,1483.878787878788,0.0,0.0,0.0,0.0,2.9791780009928917,0.0,0,77.745930774968,500.0,0.0,1.6501,0.0,2.96872,8.00126343838387,100
[[0.]],0.0,1.0,0.0,19,[[0.99999999]],8.259493227059044,[[0.99999999]],8.000000000000203,0.005147931201376453,1489.2727272727273,0.0,0.0,0.0,0.0,2.9934257095174424,0.0,0,76.59493590109791,500.0,0.0,1.6501,0.0,2.98096,8.001308394394085,100
