DeltaOmega,NormDeltaVar,WeightMax,TimestepsStd,ITERATIONS,OmegaBefore,DualBefore,Omega,Primal,Eta,ReturnsMean,WeightMin,DualReg,WeightMean,NormDeltaOmega,RewardStd,WeightMedian,ConfortViolation,ReturnsStd,TimestepsMean,Wins,Epsilon,LossReg,RewardMean,DualAfter,Traj
[[0.16761293]],28.72540923992211,1.0,0.0,0,[[0.8]],8.116139751962429,[[0.96761293]],7.892040092713472,1.6252251273489018,1174.0,0.002127104276807231,0.0,0.002127104276807231,0.1676129342425613,2.4199284720007737,0.007281670528223269,0,60.72424839744288,500.0,0.0,1.6501,0.0,2.34852,7.892037189812939,100
[[0.03236435]],104.21682549402126,1.0,0.0,1,[[0.96761293]],8.144316499374291,[[0.99997728]],8.104814040394778,0.5867190944158014,1405.3535353535353,3.9620015426362764e-08,0.0,3.9620015426362764e-08,0.0323643459516586,2.8609843092194684,1.1976549456951279e-06,0,66.17138951640338,500.0,0.0,1.6501,0.0,2.81268,8.10481410247011,100
[[2.27122621e-05]],114.43296930526634,1.0,0.0,2,[[0.99997728]],8.275261215707909,[[0.99999999]],8.000000000000457,0.005077283282254298,1504.4444444444443,0.0,0.0,0.0,2.271226212224864e-05,3.005603819800607,0.0,0,84.84498309272323,500.0,0.0,1.6501,0.0,3.01028,8.001370999768413,100
[[0.]],0.0,1.0,0.0,3,[[0.99999999]],8.26287964588628,[[0.99999999]],8.000000000000435,0.005132843658431696,1495.7777777777778,0.0,0.0,0.0,0.0,2.992807484353112,0.0,0,74.28522095024948,500.0,0.0,1.6501,0.0,2.99204,8.001321943808184,100
[[0.]],0.0,1.0,0.0,4,[[0.99999999]],8.255028128006924,[[0.99999999]],8.000000000000316,0.005169879465269522,1490.4444444444443,0.0,0.0,0.0,0.0,2.9837950857255593,0.0,0,83.21934291252465,500.0,0.0,1.6501,0.0,2.98192,8.001290534135782,100
[[0.]],0.0,1.0,0.0,5,[[0.99999999]],8.275646451654168,[[0.99999999]],7.999999999999658,0.005075406041308273,1505.1515151515152,0.0,0.0,0.0,0.0,3.0074447562008513,0.0,0,89.35960306156511,500.0,0.0,1.6501,0.0,3.00872,8.001372510035937,100
[[0.]],0.0,1.0,0.0,6,[[0.99999999]],8.272023071269306,[[0.99999999]],8.000000000000396,0.0050915488607671195,1502.909090909091,0.0,0.0,0.0,0.0,3.0020737536576276,0.0,0,80.02286174715235,500.0,0.0,1.6501,0.0,3.00576,8.001358228023593,100
[[0.]],0.0,1.0,0.0,7,[[0.99999999]],8.25579949871881,[[0.99999999]],7.999999999999443,0.005165347614942984,1488.3636363636363,0.0,0.0,0.0,0.0,2.9897215321832236,0.0,0,89.28373278661803,500.0,0.0,1.6501,0.0,2.9754,8.001293592461973,100
[[0.]],0.0,1.0,0.0,8,[[0.99999999]],8.283115664034506,[[0.99999999]],7.999999999999606,0.005043491965810798,1510.969696969697,0.0,0.0,0.0,0.0,3.01413067905159,0.0,0,75.52181496939683,500.0,0.0,1.6501,0.0,3.02136,8.001401814395411,100
[[0.]],0.0,1.0,0.0,9,[[0.99999999]],8.27541254835355,[[0.99999999]],7.999999999999682,0.0050764837760311635,1505.3535353535353,0.0,0.0,0.0,0.0,3.0067788412186216,0.0,0,76.05305340317192,500.0,0.0,1.6501,0.0,3.009,8.001371591017051,100
