TimestepsMean,Wins,OmegaBefore,NormDeltaOmega,DeltaOmega,ReturnsStd,ConfortViolation,Omega,NormDeltaVar,RewardStd,Traj,ITERATIONS,RewardMean,ReturnsMean,Theta,TimestepsStd
500.0,0.0,0.8,0.011318787769512895,-0.011318787769512895,60.247738546770364,0,0.7886812122304871,0.9899999717080554,2.401696725234058,20,0,2.3278,1163.9,0.1891420815082544,0.0
500.0,0.0,0.7886812122304871,0.011773060078012265,-0.011773060078012265,82.91344884878448,0,0.7769081521524749,0.9432187256688955,2.3876641639895677,20,1,2.3272,1163.6,0.1792231385887609,0.0
500.0,0.0,0.7769081521524749,0.003718839993349987,-0.003718839993349987,59.14144063176007,0,0.7731893121591249,0.8116461616616597,2.4250914292042682,20,2,2.3466,1173.3,0.17101725238963478,0.0
500.0,0.0,0.7731893121591249,0.0005012884745142498,0.0005012884745142498,56.62826149547591,0,0.7736906006336391,0.6908078222042704,2.412869461864856,20,3,2.3436,1171.8,0.1642703747966182,0.0
500.0,0.0,0.7736906006336391,0.005986368163582556,0.005986368163582556,64.08307108745647,0,0.7796769687972217,0.3979907499843982,2.3880615067455864,20,4,2.3168,1158.4,0.16048137076523175,0.0
500.0,0.0,0.7796769687972217,0.004870526039161938,0.004870526039161938,60.67775539685034,0,0.7845474948363836,0.4243585273651824,2.4268409012541388,20,5,2.3482,1174.1,0.1565195373196604,0.0
500.0,0.0,0.7845474948363836,0.005172697884846755,0.005172697884846755,43.62522206247207,0,0.7897201927212304,0.45542324242050825,2.4579249459656007,20,6,2.3636,1181.8,0.15235668749477807,0.0
500.0,0.0,0.7897201927212304,0.00578424821280632,0.00578424821280632,48.20373429517676,0,0.7955044409340367,0.28655125948594673,2.423613830625663,20,7,2.364,1182.0,0.1497842630001141,0.0
500.0,0.0,0.7955044409340367,0.005103763477646295,0.005103763477646295,75.21462623718874,0,0.800608204411683,0.32127993737228167,2.4267136955149864,20,8,2.3508,1175.4,0.14694273711280276,0.0
500.0,0.0,0.800608204411683,0.005018121056208358,0.005018121056208358,71.60139663442327,0,0.8056263254678914,0.24551906362219356,2.4444810983110505,20,9,2.3596,1179.8,0.1448014657345351,0.0
500.0,0.0,0.8056263254678914,0.005249269915882482,0.005249269915882482,63.81065741708042,0,0.8108755953837739,0.24405262795196592,2.426387438147503,20,10,2.362,1181.0,0.1426987355105192,0.0
500.0,0.0,0.8108755953837739,0.006024220280412718,0.006024220280412718,63.30015797768596,0,0.8168998156641866,0.003940287804287124,2.4331598467836018,20,11,2.3646,1182.3,0.14273248151602144,0.0
500.0,0.0,0.8168998156641866,0.00621520294272504,0.00621520294272504,45.05507740532692,0,0.8231150186069116,0.0808139944905868,2.4705263892539175,20,12,2.3956,1197.8,0.14342606901930216,0.0
500.0,0.0,0.8231150186069116,0.0049844707488940765,0.0049844707488940765,67.86044503243401,0,0.8280994893558057,0.02631115166598974,2.4595367368673315,20,13,2.3648,1182.4,0.14319994556936974,0.0
