ITERATIONS,NormDeltaVar,Wins,OmegaBefore,TimestepsMean,ReturnsStd,NormDeltaOmega,DeltaOmega,ReturnsMean,RewardStd,TimestepsStd,Traj,RewardMean,Theta,Omega,ConfortViolation
0,0.9899998722598937,0.0,0.8,500.0,63.77860142712445,0.010857918150093071,0.010857918150093071,1168.3,2.4084643323080375,0.0,20,2.3366,0.21131878661304382,0.8108579181500931,0
1,0.9676799692840525,0.0,0.8108579181500931,500.0,62.56069053327336,0.01039002721113269,0.01039002721113269,1169.6,2.4179626465270303,0.0,20,2.3392,0.22282882162848097,0.8212479453612258,0
2,0.4002835200267185,0.0,0.8212479453612258,500.0,64.67727576204798,0.008457794238056815,0.008457794238056815,1188.5,2.448156653484413,0.0,20,2.377,0.21801415992203835,0.8297057395992826,0
3,0.20642707566036833,0.0,0.8297057395992826,500.0,61.476743570231505,0.008199152921494757,0.008199152921494757,1153.1,2.372728716056684,0.0,20,2.3062,0.21556072379668215,0.8379048925207774,0
4,0.048951339240982605,0.0,0.8379048925207774,500.0,59.05624437771166,0.008256143956919648,0.008256143956919648,1148.6,2.3756414207535617,0.0,20,2.2972,0.21614070597805685,0.846161036477697,0
5,0.07269489348758285,0.0,0.846161036477697,500.0,51.2221631718146,0.004536936092762511,0.004536936092762511,1148.7,2.3599900931995452,0.0,20,2.2974,0.2152798136872828,0.8506979725704595,0
6,0.28416330388939315,0.0,0.8506979725704595,500.0,59.73976899854903,0.00338281194989698,0.00338281194989698,1185.4,2.4428072703346864,0.0,20,2.3708,0.21193850004533518,0.8540807845203565,0
7,0.10795558245532177,0.0,0.8540807845203565,500.0,60.621448349573434,0.004814617125058929,0.004814617125058929,1183.2,2.4446167470587286,0.0,20,2.3664,0.21067909136050808,0.8588954016454154,0
8,0.05061851427418418,0.0,0.8588954016454154,500.0,69.28463033025434,0.0055912423475296125,0.0055912423475296125,1185.8,2.43875243516024,0.0,20,2.3716,0.2112689221890571,0.8644866439929451,0
9,0.1937243231608754,0.0,0.8644866439929451,500.0,44.73209138862166,0.004850647191458224,0.004850647191458224,1201.2,2.486055960753901,0.0,20,2.4024,0.2090180905132852,0.8693372911844033,0
10,0.29619036292096723,0.0,0.8693372911844033,500.0,55.95748386051682,0.005157292385786771,0.005157292385786771,1153.4,2.3693614667247376,0.0,20,2.3068,0.2056109370887753,0.87449458357019,0
11,0.31592368775003266,0.0,0.87449458357019,500.0,41.33521501093227,0.005587669552623797,0.005587669552623797,1187.0,2.445265629742503,0.0,20,2.374,0.20202234673928995,0.8800822531228139,0
12,0.24085310210724842,0.0,0.8800822531228139,500.0,70.77541946184424,0.0030995387873254954,0.0030995387873254954,1184.2,2.43431334055417,0.0,20,2.3684,0.19931805317254842,0.8831817919101393,0
13,0.20451886212626746,0.0,0.8831817919101393,500.0,65.85620699675924,0.003708920988699349,0.003708920988699349,1209.6,2.499974271867613,0.0,20,2.4192,0.19704313794543646,0.8868907128988387,0
14,0.23834977611927144,0.0,0.8868907128988387,500.0,59.72637608293341,0.0027940862499873376,0.0027940862499873376,1205.4,2.4803313004516148,0.0,20,2.4108,0.19441670326819763,0.889684799148826,0
15,0.33630068238103306,0.0,0.889684799148826,500.0,44.122556589572184,0.003116740239816007,0.003116740239816007,1206.0,2.4770660063873953,0.0,20,2.412,0.1907562330251675,0.892801539388642,0
16,0.34569887081663,0.0,0.892801539388642,500.0,53.75648798052194,0.0039913348856610575,0.0039913348856610575,1218.8,2.511196177123564,0.0,20,2.4376,0.18704861331419026,0.8967928742743031,0
17,0.2915739135134885,0.0,0.8967928742743031,500.0,62.8708994686731,0.003230476374608937,0.003230476374608937,1210.5,2.505346083877435,0.0,20,2.421,0.18396481755128402,0.900023350648912,0
18,0.41746034034346735,0.0,0.900023350648912,500.0,49.499090900742814,0.003914839186359709,0.003914839186359709,1201.2,2.4611530305935876,0.0,20,2.4024,0.17961837555589522,0.9039381898352717,0
19,0.5195789361110101,0.0,0.9039381898352717,500.0,67.95263055982454,0.003723272842477643,0.003723272842477643,1214.2,2.504011469622294,0.0,20,2.4284,0.17432128242171552,0.9076614626777494,0
20,0.5417207713584986,0.0,0.9076614626777494,500.0,67.85838194357423,0.0033519779470115862,0.0033519779470115862,1241.8,2.5703951135963514,0.0,20,2.4836,0.16893048526381627,0.911013440624761,0
21,0.4849367613267397,0.0,0.911013440624761,500.0,60.08327554319921,0.0035640107508099206,0.0035640107508099206,1236.0,2.5511597362768175,0.0,20,2.472,0.16421817623688417,0.9145774513755709,0
22,0.3421398324284546,0.0,0.9145774513755709,500.0,65.4518907289927,0.004081671713544233,0.004081671713544233,1236.5,2.555909035940051,0.0,20,2.473,0.16095743266674126,0.9186591230891151,0
23,0.4265706093484063,0.0,0.9186591230891151,500.0,69.35531702760791,0.002886329038718549,0.002886329038718549,1242.8,2.5630046117789176,0.0,20,2.4856,0.15696555286140293,0.9215454521278337,0
24,0.19242116152447153,0.0,0.9215454521278337,500.0,70.69342260776457,0.0012808056330225748,0.0012808056330225748,1248.2,2.5788344343908554,0.0,20,2.4964,0.1551913961580491,0.9228262577608563,0
25,0.007433169672111717,0.0,0.9228262577608563,500.0,69.01267999433148,0.0020689967204707838,0.0020689967204707838,1242.5,2.5401525544738455,0.0,20,2.485,0.1551231905422217,0.924895254481327,0
26,0.02944456213272062,0.0,0.924895254481327,500.0,54.76641306494337,0.0018782816334946828,0.0018782816334946828,1251.2,2.5991526003680505,0.0,20,2.5024,0.15485325224495894,0.9267735361148217,0
27,0.01929237586143273,0.0,0.9267735361148217,500.0,70.66116330771806,0.002517121001289757,0.002517121001289757,1237.0,2.567824760375988,0.0,20,2.474,0.15503007519002013,0.9292906571161115,0
28,0.1036331252155378,0.0,0.9292906571161115,500.0,66.52849013768463,0.0029678403088713168,0.0029678403088713168,1260.6,2.61525344087337,0.0,20,2.5212,0.15598274001111856,0.9322584974249828,0
29,0.0666563559711939,0.0,0.9322584974249828,500.0,61.984756190534455,0.003332605290063073,0.003332605290063073,1230.7,2.556307892253983,0.0,20,2.4614,0.15659800806476368,0.9355911027150459,0
30,0.06892407389449673,0.0,0.9355911027150459,500.0,57.697400288054574,0.0026431610008856854,0.0026431610008856854,1246.1,2.570085438268541,0.0,20,2.4922,0.15723628496919498,0.9382342637159315,0
31,0.05859234109629696,0.0,0.9382342637159315,500.0,51.66381712572156,0.002829420538719485,0.002829420538719485,1266.5,2.621204112616948,0.0,20,2.533,0.157780546776387,0.941063684254651,0
32,0.0822460928676243,0.0,0.941063684254651,500.0,69.65227921611753,0.0020906270477303313,0.0020906270477303313,1263.6,2.5942359491765585,0.0,20,2.5272,0.1570169993400046,0.9431543113023814,0
33,0.08370961466729909,0.0,0.9431543113023814,500.0,49.042430608606665,0.0016099762016967833,0.0016099762016967833,1242.2,2.557451199925426,0.0,20,2.4844,0.15624295528801785,0.9447642875040781,0
34,0.031438373092466776,0.0,0.9447642875040781,500.0,66.30980319681245,0.001908535848096804,0.001908535848096804,1258.1,2.5864913608980022,0.0,20,2.5162,0.15653329367097127,0.946672823352175,0
35,0.00911025512412067,0.0,0.946672823352175,500.0,47.35092396141812,0.0011955170512286672,0.0011955170512286672,1269.7,2.6030458390124447,0.0,20,2.5394,0.15661751039983174,0.9478683404034036,0
36,0.1001060407610126,0.0,0.9478683404034036,500.0,62.48679860578552,0.0011176420645871987,0.0011176420645871987,1263.0,2.6060168840588886,0.0,20,2.526,0.15754533890266523,0.9489859824679908,0
37,0.046579156890363294,0.0,0.9489859824679908,500.0,63.92894493107172,0.0014722577890657895,0.0014722577890657895,1242.3,2.565767495312075,0.0,20,2.4846,0.15797857693337486,0.9504582402570566,0
38,0.04511980891988543,0.0,0.9504582402570566,500.0,40.84739893799849,0.0010116598307686742,0.0010116598307686742,1276.7,2.632061633016978,0.0,20,2.5534,0.15755889779423343,0.9514699000878253,0
39,0.1251944818908477,0.0,0.9514699000878253,500.0,76.26866984548768,0.0010671966099904395,0.0010671966099904395,1274.3,2.619052889882142,0.0,20,2.5486,0.15872562199879175,0.9525370966978157,0
40,0.19851798880095117,0.0,0.9525370966978157,500.0,51.81659965686672,0.0010858559852424676,0.0010858559852424676,1258.8,2.5980165973295857,0.0,20,2.5176,0.16059002630835048,0.9536229526830582,0
41,0.07759173868814528,0.0,0.9536229526830582,500.0,57.88989549135497,0.0003767264674156001,0.0003767264674156001,1259.4,2.597931207711243,0.0,20,2.5188,0.16132353708689953,0.9539996791504738,0
42,0.04109366651743329,0.0,0.9539996791504738,500.0,60.85425211108917,6.1879107778883835e-06,6.1879107778883835e-06,1238.6,2.5544236453650364,0.0,20,2.4772,0.1617131094398309,0.9540058670612517,0
43,0.0030425532895037577,0.0,0.9540058670612517,500.0,68.34003219197369,0.0007968009200508552,0.0007968009200508552,1273.8,2.630918896507454,0.0,20,2.5476,0.16168423970164092,0.9548026679813025,0
44,0.031010584829939347,0.0,0.9548026679813025,500.0,45.21271944928771,0.0008072424007586898,0.0008072424007586898,1271.9,2.613327679415653,0.0,20,2.5438,0.1613902282008182,0.9556099103820612,0
45,0.07120424091504418,0.0,0.9556099103820612,500.0,47.857601277122114,0.0011395284154959162,0.0011395284154959162,1265.5,2.6000074999891822,0.0,20,2.531,0.16071677440826182,0.9567494387975571,0
46,0.11085694986823924,0.0,0.9567494387975571,500.0,55.61106005103661,0.0011872200744786898,0.0011872200744786898,1247.1,2.571102168331706,0.0,20,2.4942,0.16176625270938644,0.9579366588720358,0
47,0.06389160751661649,0.0,0.9579366588720358,500.0,66.01817931448882,0.00162019762640786,0.00162019762640786,1272.0,2.615963302494895,0.0,20,2.544,0.16237362036516265,0.9595568564984437,0
48,0.029254256577708304,0.0,0.9595568564984437,500.0,62.66450350876483,0.0017230423305948372,0.0017230423305948372,1278.6,2.633159349526724,0.0,20,2.5572,0.16265233074650615,0.9612798988290385,0
49,0.0038220070677965623,0.0,0.9612798988290385,500.0,80.91130946907236,0.001831318998357756,0.001831318998357756,1278.4,2.629443621757272,0.0,20,2.5568,0.16268877212765795,0.9631112178273963,0
50,0.1311697884058063,0.0,0.9631112178273963,500.0,62.46559052790584,0.0020912866188356194,0.0020912866188356194,1271.5,2.6211354409873593,0.0,20,2.543,0.1639434159638096,0.9652025044462319,0
51,0.03203706252170946,0.0,0.9652025044462319,500.0,52.406106514413,0.0013237779502272007,0.0013237779502272007,1242.0,2.5686074048012864,0.0,20,2.484,0.16425103104423797,0.9665262823964591,0
52,0.25680678438355997,0.0,0.9665262823964591,500.0,76.55919278571321,0.00171767754067631,0.00171767754067631,1260.3,2.5947207248565305,0.0,20,2.5206,0.16673362608364148,0.9682439599371354,0
53,0.2201459664678076,0.0,0.9682439599371354,500.0,59.97632866389873,0.0016436489000166699,0.0016436489000166699,1277.8,2.625891970359786,0.0,20,2.5556,0.16888563141050772,0.9698876088371521,0
54,0.0039452111746065555,0.0,0.9698876088371521,500.0,53.21691460428723,0.0014849262314766687,0.0014849262314766687,1264.6,2.6056759890669445,0.0,20,2.5292,0.16884687156178851,0.9713725350686288,0
55,0.0633670146883567,0.0,0.9713725350686288,500.0,55.6074635278395,0.0013439772084301582,0.0013439772084301582,1274.1,2.6284361814584734,0.0,20,2.5482,0.16947028051841437,0.9727165122770589,0
56,0.19369753653698396,0.0,0.9727165122770589,500.0,72.85437529757564,0.0012158741044189236,0.0012158741044189236,1235.2,2.546433553030591,0.0,20,2.4704,0.1713872486219948,0.9739323863814778,0
57,0.08950342423920787,0.0,0.9739323863814778,500.0,75.16508497966326,0.0010146828026982302,0.0010146828026982302,1263.1,2.6058997601596268,0.0,20,2.5262,0.1722788309466069,0.9749470691841761,0
58,0.07075916704438612,0.0,0.9749470691841761,500.0,77.7145417537799,0.001188352549147731,0.001188352549147731,1263.5,2.6032808146644495,0.0,20,2.527,0.17298629011968022,0.9761354217333238,0
59,0.10355771669364344,0.0,0.9761354217333238,500.0,68.8252134032289,0.0012493235526823687,0.0012493235526823687,1270.7,2.614743972170124,0.0,20,2.5414,0.1740258122194276,0.9773847452860062,0
60,0.0708633102244427,0.0,0.9773847452860062,500.0,66.55403819453784,0.0011713488777492786,0.0011713488777492786,1247.6,2.5798404911932056,0.0,20,2.4952,0.17473998211477554,0.9785560941637554,0
61,0.08298442987796051,0.0,0.9785560941637554,500.0,59.7912200912475,0.0007477936308348809,0.0007477936308348809,1273.9,2.6167757183220726,0.0,20,2.5478,0.1739038849645982,0.9793038877945903,0
62,0.2374302520507925,0.0,0.9793038877945903,500.0,96.1995841986856,0.00038128167407580627,0.00038128167407580627,1260.2,2.598534941077375,0.0,20,2.5204,0.17152914205356828,0.9796851694686661,0
63,0.33492416691552407,0.0,0.9796851694686661,500.0,61.80056634044708,0.0004613474421656383,0.0004613474421656383,1269.3,2.623415720010841,0.0,20,2.5386,0.16822310062075768,0.9801465169108318,0
64,0.27119790385165743,0.0,0.9801465169108318,500.0,70.4170433914972,0.0004974938426698383,0.0004974938426698383,1254.8,2.6023658159451757,0.0,20,2.5096,0.16558350674652036,0.9806440107535016,0
65,0.11583672522685617,0.0,0.9806440107535016,500.0,65.47633160157952,0.0006527050001019497,0.0006527050001019497,1267.5,2.6062568944752935,0.0,20,2.535,0.16446621693743343,0.9812967157536036,0
66,0.1495961562153738,0.0,0.9812967157536036,500.0,59.622478982343566,0.0007567456423928087,0.0007567456423928087,1258.6,2.60470807577356,0.0,20,2.5172,0.1630322736798252,0.9820534613959964,0
67,0.44340246627508506,0.0,0.9820534613959964,500.0,68.29721809854337,0.00030475212506908544,0.00030475212506908544,1248.7,2.567370880881841,0.0,20,2.4974,0.15884119994480878,0.9823582135210654,0
68,0.2768450503670188,0.0,0.9823582135210654,500.0,53.3044088232859,0.0003042250075985242,0.0003042250075985242,1264.8,2.6091231937185335,0.0,20,2.5296,0.15626902429720965,0.982662438528664,0
69,0.3664000104746563,0.0,0.982662438528664,500.0,81.58400578544791,0.0002845470744103906,0.0002845470744103906,1258.5,2.6085074276298315,0.0,20,2.517,0.15291709502428513,0.9829469856030744,0
70,0.5282255807738849,0.0,0.9829469856030744,500.0,74.53717193454553,0.00013529266580891708,0.00013529266580891708,1258.9,2.58864504326105,0.0,20,2.5178,0.14818871419903554,0.9830822782688833,0
