RewardMean,Omega,ITERATIONS,ReturnsMean,TimestepsMean,ReturnsStd,Wins,RewardStd,TimestepsStd,OmegaBefore,ConfortViolation,Theta,DeltaOmega,NormDeltaOmega,NormDeltaVar,Traj
2.348,0.8108579185944578,0,1174.0,500.0,61.01803012225157,0.0,2.425633113230441,0.0,0.8,0,0.21131878708046947,0.010857918594457727,0.010857918594457727,0.9899999123257892,20
2.333,0.8199406831409755,1,1166.5,500.0,64.41389601631002,0.0,2.4107905342439024,0.0,0.8108579185944578,0,0.2150163908753613,0.009082764546517685,0.009082764546517685,0.31493988057223987,20
2.3416,0.8292319988289629,2,1170.8,500.0,52.54483799575368,0.0,2.4295080654321772,0.0,0.8199406831409755,0,0.22265799725076346,0.009291315687987467,0.009291315687987467,0.6386444817153176,20
2.3402,0.8381146489226714,3,1170.1,500.0,53.387170743541,0.0,2.421376459784806,0.0,0.8292319988289629,0,0.23114665698320733,0.008882650093708477,0.008882650093708477,0.6913658522475004,20
2.329,0.8466270421909675,4,1164.5,500.0,60.205896721168436,0.0,2.404695198980528,0.0,0.8381146489226714,0,0.236621639201772,0.008512393268296115,0.008512393268296115,0.4365209218012964,20
2.327,0.8543441252354176,5,1163.5,500.0,44.4156503948777,0.0,2.396136682244984,0.0,0.8466270421909675,0,0.2388163975525067,0.007717083044450068,0.007717083044450068,0.1730262838017005,20
2.3094,0.8609415296863909,6,1154.7,500.0,68.87169229806975,0.0,2.3864349226408836,0.0,0.8543441252354176,0,0.2350681882612691,0.006597404450973343,0.006597404450973343,0.29616445936174784,20
2.333,0.8671368226310301,7,1166.5,500.0,45.42631396008265,0.0,2.410790534243902,0.0,0.8609415296863909,0,0.2303532362382576,0.006195292944639164,0.006195292944639164,0.3772380103040618,20
2.3542,0.8735236869888791,8,1177.1,500.0,41.78265190243434,0.0,2.425807568625343,0.0,0.8671368226310301,0,0.22478965110851182,0.006386864357848965,0.006386864357848965,0.45216583944222677,20
2.3792,0.8766504895618196,9,1189.6,500.0,51.05918134870554,0.0,2.4645095577010854,0.0,0.8735236869888791,0,0.21796755619240604,0.0031268025729405124,0.0031268025729405124,0.5654381648088105,20
