Traj,ReturnsMean,TimestepsMean,RewardMean,Theta,TimestepsStd,ConfortViolation,Wins,NormDeltaVar,ITERATIONS,RewardStd,DeltaOmega,Omega,NormDeltaOmega,ReturnsStd,OmegaBefore
20,1186.1,500.0,2.3722,0.21131878790644854,0.0,0,0.0,0.9899999831254895,0,2.451176688857823,0.010857918737997019,0.8108579187379971,0.010857918737997019,61.827097619086075,0.8
20,1197.4,500.0,2.3948,0.21355273123104213,0.0,0,0.0,0.19074963346520946,1,2.4748601899905376,0.005759457817431368,0.8166173765554284,0.005759457817431368,55.67800283774554,0.8108579187379971
20,1174.0,500.0,2.348,0.21166542155896453,0.0,0,0.0,0.16105537010358617,2,2.425633113230441,0.004143914739010102,0.8207612912944385,0.004143914739010102,61.36774397026503,0.8166173765554284
20,1173.0,500.0,2.346,0.20713828179361443,0.0,0,0.0,0.39066380415729185,3,2.4303670504678916,0.001962744476930789,0.8227240357713693,0.001962744476930789,53.62275636332023,0.8207612912944385
20,1202.7,500.0,2.4054,0.20146724720552178,0.0,0,0.0,0.4983847324225472,4,2.487579313308422,0.0017706660382971195,0.8244947018096664,0.0017706660382971195,61.11718252668393,0.8227240357713693
20,1178.3,500.0,2.3566,0.19700769046981592,0.0,0,0.0,0.3993315629681611,5,2.4451659330196795,0.0028367183403738006,0.8273314201500402,0.0028367183403738006,60.782481028664826,0.8244947018096664
20,1190.8,500.0,2.3816,0.19544294283271038,0.0,0,0.0,0.14172901847512875,6,2.4748295779709757,0.00471419248056526,0.8320456126306055,0.00471419248056526,64.05747419310255,0.8273314201500402
20,1186.1,500.0,2.3722,0.19516926745114355,0.0,0,0.0,0.02487661154566112,7,2.4570443952033103,0.005288795360631093,0.8373344079912366,0.005288795360631093,69.44487022091695,0.8320456126306055
20,1189.3,500.0,2.3786,0.1950504098333962,0.0,0,0.0,0.010812178424469465,8,2.445620992713302,0.006051393802493643,0.8433858017937302,0.006051393802493643,34.42252169728418,0.8373344079912366
20,1174.6,500.0,2.3492,0.1925573087562863,0.0,0,0.0,0.22795210443452874,9,2.4420604742716754,0.0037202135804665915,0.8471060153741968,0.0037202135804665915,53.21315626797569,0.8433858017937302
20,1212.3,500.0,2.4246,0.18916947022345787,0.0,0,0.0,0.313393169773974,10,2.507770890651696,0.0022351796331316898,0.8493411950073285,0.0022351796331316898,65.04852035211869,0.8471060153741968
20,1208.6,500.0,2.4172,0.18625968241324045,0.0,0,0.0,0.27262380430549626,11,2.486351576105037,0.0030605331583819506,0.8524017281657105,0.0030605331583819506,85.4683567175595,0.8493411950073285
20,1196.1,500.0,2.3922,0.18256333505967107,0.0,0,0.0,0.3510974075610349,12,2.467585694560576,0.0010759285379930983,0.8534776567037036,0.0010759285379930983,53.85712580522655,0.8524017281657105
20,1211.8,500.0,2.4236,0.1781369168373163,0.0,0,0.0,0.4277870558368626,13,2.5032305207471404,0.0007825804784058477,0.8542602371821094,0.0007825804784058477,76.56604991770178,0.8534776567037036
