Iterations, Theta_mean, Theta_std, Theta_low, Theta_sup, Omega_mean, Omega_std, Omega_low, Omega_sup, Ret_mean, Ret_std, Rets_low, Rets_sup
0.000000000000000000e+00,2.024481052221637489e-01,1.086432196903003994e-02,1.946762374731258738e-01,2.102199729712016241e-01,8.042049066296611537e-01,1.016264317494369740e-02,7.969349896517333720e-01,8.114748236075889354e-01,1.167059999999999945e+03,1.732802354569034264e+01,1.154664278690081574e+03,1.179455721309918317e+03
1.000000000000000000e+00,2.035451929221918088e-01,1.983463119254576246e-02,1.893563525215818943e-01,2.177340333228017233e-01,8.068690403554319435e-01,1.934450693520241293e-02,7.930308137270875024e-01,8.207072669837763845e-01,1.173599999999999909e+03,1.291557199662487854e+01,1.164360756377886673e+03,1.182839243622113145e+03
2.000000000000000000e+00,2.027252322027746079e-01,2.491974597270073602e-02,1.848987198266193455e-01,2.205517445789298703e-01,8.115238462742082604e-01,2.363080185961483060e-02,7.946193889707359181e-01,8.284283035776806026e-01,1.173500000000000000e+03,8.559789717043276625e+00,1.167376695312411357e+03,1.179623304687588643e+03
3.000000000000000000e+00,2.018503068913874987e-01,3.017491205433720999e-02,1.802644751668058543e-01,2.234361386159691432e-01,8.165469157015993185e-01,2.696670851969609761e-02,7.972560945312245906e-01,8.358377368719740463e-01,1.164860000000000127e+03,8.863543309534870573e+00,1.158519403082314739e+03,1.171200596917685516e+03
4.000000000000000000e+00,2.003741521501019585e-01,3.411766543048949663e-02,1.759678445694219662e-01,2.247804597307819507e-01,8.224317742702382805e-01,2.753316752061346281e-02,8.027357327416183574e-01,8.421278157988582036e-01,1.172199999999999818e+03,1.948840681020383769e+01,1.158258833602307277e+03,1.186141166397692359e+03
5.000000000000000000e+00,1.989069876180336038e-01,3.805808881704544205e-02,1.716818709554037981e-01,2.261321042806634096e-01,8.266215889942051254e-01,2.812542045049487571e-02,8.065018752421239112e-01,8.467413027462863395e-01,1.174609999999999900e+03,2.035806719705971801e+01,1.160046716038736804e+03,1.189173283961262996e+03
6.000000000000000000e+00,1.966334119537366809e-01,4.097380931506138663e-02,1.673225144970236777e-01,2.259443094104496841e-01,8.308376062473437074e-01,2.777210142905003898e-02,8.109706416972574106e-01,8.507045707974300042e-01,1.180639999999999873e+03,1.459843827263724414e+01,1.170196906365546511e+03,1.191083093634453235e+03
7.000000000000000000e+00,1.945028395220679274e-01,4.228114559138468342e-02,1.642567300316847279e-01,2.247489490124511269e-01,8.355799180474230425e-01,2.802591930983237140e-02,8.155313831234649591e-01,8.556284529713811260e-01,1.178309999999999945e+03,1.166768614593314801e+01,1.169963440139019440e+03,1.186656559860980451e+03
8.000000000000000000e+00,1.917905949581813763e-01,4.250251305793222023e-02,1.613861287218501805e-01,2.221950611945125720e-01,8.402245853912824192e-01,2.825579152642306718e-02,8.200116097896995582e-01,8.604375609928652802e-01,1.182109999999999900e+03,1.704250275047654739e+01,1.169918527962730877e+03,1.194301472037268923e+03
9.000000000000000000e+00,1.878586477788635467e-01,4.253680738790175525e-02,1.574296488567536456e-01,2.182876467009734478e-01,8.438169090524784144e-01,2.777090123594596477e-02,8.239508030688176277e-01,8.636830150361392011e-01,1.186789999999999964e+03,1.948683914851254428e+01,1.172849955039924680e+03,1.200730044960075247e+03
1.000000000000000000e+01,1.842212741284104671e-01,4.314228247707951186e-02,1.533591444198749987e-01,2.150834038369459356e-01,8.476923513431099400e-01,2.723126952521688973e-02,8.282122746303902661e-01,8.671724280558296138e-01,1.186130000000000109e+03,1.844548996367402083e+01,1.172934891370807009e+03,1.199325108629193210e+03
1.100000000000000000e+01,1.809712196096057713e-01,4.266720243917639099e-02,1.504489416870645191e-01,2.114934975321470234e-01,8.517654432053266556e-01,2.637373263136091883e-02,8.328988114317359415e-01,8.706320749789173696e-01,1.189889999999999873e+03,1.619317448803664661e+01,1.178306100800687773e+03,1.201473899199311973e+03
