ConfortViolation,Epsilon,TimestepsMean,DualReg,OmegaBefore,DualBefore,ReturnsStd,Traj,ITERATIONS,WeightMedian,WeightMean,RewardMean,NormDeltaVar,TimestepsStd,DeltaOmega,LossReg,Wins,Omega,NormDeltaOmega,WeightMax,WeightMin,Primal,ReturnsMean,Eta,DualAfter,RewardStd
0,0.0095001,500.0,0.0,[[0.8]],6.542861275481275,42.50207751154976,20,0,0.6569881736891153,0.591489364421536,2.346,21.575428884437912,0.0,[[-0.33095677]],0.0,0.0,[[0.46904323]],0.33095676859124007,1.0,0.591489364421536,2.6957024904600893,1179.6842105263158,19.043571783836768,2.695702403520337,2.445461919556303
0,0.0095001,500.0,0.0,[[0.46904323]],7.860265078263609,66.59556688763804,20,1,0.7105931717893459,0.6524185301104913,2.6674,1.5386193516772646,0.0,[[-0.02670776]],0.0,0.0,[[0.44233547]],0.02670776405591635,1.0,0.6524185301104913,3.0979031470501504,1327.3684210526317,23.415419680960696,3.097903141524581,3.013665084245427
0,0.0095001,500.0,0.0,[[0.44233547]],8.015987403826982,86.9690300530347,20,2,0.7221934565018546,0.6657588318511991,2.805,1.500802807376198,0.0,[[-0.02573515]],0.0,0.0,[[0.41660032]],0.025735147442292272,1.0,0.6657588318511991,3.258299614672872,1404.421052631579,24.580425148312475,3.258299729444528,3.1836417826131127
0,0.0095001,500.0,0.0,[[0.41660032]],8.100274804762634,77.89402560130482,20,3,0.7276263503298396,0.6720251443414812,2.8666,0.6897260436075525,0.0,[[-0.01168507]],0.0,0.0,[[0.40491525]],0.011685067360313883,1.0,0.6720251443414812,3.3311336020730464,1433.6842105263158,25.15979476369998,3.331133606899093,3.2666503394149795
0,0.0095001,500.0,0.0,[[0.40491525]],8.208642818532994,95.98949619360123,20,4,0.7350687695769349,0.6806282399018531,3.0066,1.3502328590150503,0.0,[[-0.02255505]],0.0,0.0,[[0.3823602]],0.022555051110805857,1.0,0.6806282399018531,3.4876750578481306,1504.7368421052631,25.99164458787233,3.4876745396549937,3.391866217880652
0,0.0095001,500.0,0.0,[[0.3823602]],8.305566292417966,86.47969034464256,20,5,0.7416817935163424,0.6882908922653548,3.119,1.3581558179906361,0.0,[[-0.02218718]],0.0,0.0,[[0.36017303]],0.022187176229280126,1.0,0.6882908922653548,3.615508325273085,1562.0,26.770627945827037,3.6155083284553102,3.5083099920046976
0,0.0095001,500.0,0.0,[[0.36017303]],8.372220767531985,67.0779923947632,20,6,0.7455410389222216,0.6927705912215574,3.2,0.6625446025352435,0.0,[[-0.01061701]],0.0,0.0,[[0.34955601]],0.010617011821579592,1.0,0.6927705912215574,3.7058845288845057,1591.2631578947369,27.24377171573009,3.7058845609457274,3.5790501533228056
0,0.0095001,500.0,0.0,[[0.34955601]],8.420568165274583,91.66154774593355,20,7,0.7486054711271841,0.6963318273532483,3.2938,0.7848269576379714,0.0,[[-0.01238556]],0.0,0.0,[[0.33717045]],0.012385558973429245,1.0,0.6963318273532483,3.807578074532013,1644.9473684210527,27.62973086258519,3.8075778832964495,3.64034085766704
0,0.0095001,500.0,0.0,[[0.33717045]],8.51814006575771,75.08384971173645,20,8,0.75416990795103,0.7028076815454563,3.4304,1.1990032318869197,0.0,[[-0.01849368]],0.0,0.0,[[0.31867677]],0.018493680762366405,1.0,0.7028076815454563,3.958694673636327,1715.6842105263158,28.354959293079744,3.9586947687030447,3.75088734035028
0,0.0095001,500.0,0.0,[[0.31867677]],8.566780127945629,125.48189658748045,20,9,0.7568905201225978,0.7059782677443581,3.5046,0.6461930309894299,0.0,[[-0.00973964]],0.0,0.0,[[0.30893713]],0.009739641899293827,1.0,0.7059782677443581,4.040278531851467,1752.6315789473683,28.721533526355067,4.040278759959247,3.8074373061154927
0,0.0095001,500.0,0.0,[[0.30893713]],8.672251635364116,91.2299459996081,20,10,0.7626904184341103,0.7127469426366637,3.7096,1.7557655012107265,0.0,[[-0.02560579]],0.0,0.0,[[0.28333134]],0.02560579176690958,1.0,0.7127469426366637,4.261915815278048,1845.7894736842106,29.53085737898398,4.261915806178962,3.9371649495544383
0,0.0095001,500.0,0.0,[[0.28333134]],8.711316897594248,73.75770770559087,20,11,0.7649324669099569,0.7153669440293917,3.7596,0.6535383438161553,0.0,[[-0.00919652]],0.0,0.0,[[0.27413482]],0.009196521431053983,1.0,0.7153669440293917,4.318376649154424,1871.8947368421052,29.854341310451456,4.318376631946308,3.986252355283092
0,0.0095001,500.0,0.0,[[0.27413482]],8.829075293422926,112.85182597565172,20,12,0.7699455372749313,0.7212320334175901,4.0598,1.891870224488601,0.0,[[-0.02555018]],0.0,0.0,[[0.24858464]],0.025550179525715727,1.0,0.7212320334175901,4.634573156480199,2029.7894736842106,30.600282203833366,4.634573102690428,4.115437274458208
0,0.0095001,500.0,0.0,[[0.24858464]],8.932864733195764,97.25677810017456,20,13,0.773425023604664,0.7253085116975594,4.35,1.6349414833847469,0.0,[[-0.02075747]],0.0,0.0,[[0.22782717]],0.020757470773059117,1.0,0.7253085116975594,4.936730442287101,2174.5263157894738,31.137304242433007,4.93673034473271,4.214819094575709
0,0.0095001,500.0,0.0,[[0.22782717]],9.017809410275373,133.02189851586297,20,14,0.7764749109939315,0.7288854560252329,4.569,1.7055687450671186,0.0,[[-0.0203189]],0.0,0.0,[[0.20750827]],0.020318902895432145,1.0,0.7288854560252329,5.16634721061256,2280.7368421052633,31.621684829782982,5.166347086799099,4.301980822830339
0,0.0095001,500.0,0.0,[[0.20750827]],9.129912294079586,135.2958797201603,20,15,0.7786526584199178,0.731441695291454,4.9334,2.1276169258620143,0.0,[[-0.023428]],0.0,0.0,[[0.18408027]],0.023427998438233455,1.0,0.731441695291454,5.5397466831868085,2459.157894736842,31.975671130678347,5.539746773566778,4.383647390016674
0,0.0095001,500.0,0.0,[[0.18408027]],9.205093420566635,87.25661838235278,20,16,0.7795584807028366,0.7325054759398195,5.1912,1.6134590745524733,0.0,[[-0.01636211]],0.0,0.0,[[0.16771815]],0.01636211259071413,1.0,0.7325054759398195,5.802024499871918,2591.5789473684213,32.12495709498915,5.802024527923193,4.427938861366538
